"","from","to","directed","length"
"1","Apical progenitors","IPC",TRUE,1
"2","IPC","Migrating neurons",TRUE,1
"3","Migrating neurons","Immature neurons",TRUE,1
"4","Immature neurons","Layer V-VI (Hippo)",TRUE,1
"5","Layer V-VI (Hippo)","Layer V-VI",TRUE,1
"6","Layer V-VI","Layer II-IV",TRUE,1
"7","Layer II-IV","NP",TRUE,1
"8","NP","Layer 4",TRUE,1
"9","Layer 4","DL CPN",TRUE,1
"10","DL CPN","SCPN",TRUE,1
"11","Layer 4","DL_CPN_1",TRUE,1
"12","Layer 4","DL_CPN_2",TRUE,1
"13","Layer II-IV","UL CPN",TRUE,1
"14","Layer V-VI","SCPN1",TRUE,1
"15","Layer V-VI (Hippo)","CThPN",TRUE,1
"16","CThPN","Layer 6b",TRUE,1
"17","Apical progenitors","Cycling glial cells",TRUE,1
"18","Cycling glial cells","Astrocytes",TRUE,1
"19","Astrocytes","Interneurons",TRUE,1
"20","Interneurons","Endothelial cells",TRUE,1
"21","Endothelial cells","VLMC",TRUE,1
"22","VLMC","Pia",TRUE,1
"23","Endothelial cells","Red blood cells",TRUE,1
"24","Endothelial cells","Microglia",TRUE,1
"25","Endothelial cells","Pericytes",TRUE,1
"26","Immature neurons","Cajal Retzius cells",TRUE,1
"27","Cycling glial cells","Oligodendrocytes",TRUE,1
"28","Cycling glial cells","Ependymocytes",TRUE,1
