"","cell_id","from","to","percentage"
"1","c-1","Y_1","Y_3",0
"2","c-2","Y_1","Y_3",1
"3","c-3","Y_1","Y_3",0
"4","c-4","Y_1","Y_3",1
"5","c-5","Y_1","Y_3",0.634874384920371
"6","c-6","Y_1","Y_3",1
"7","c-7","Y_1","Y_3",0
"8","c-8","Y_1","Y_3",0
"9","c-9","Y_1","Y_3",1
"10","c-10","Y_1","Y_3",1
"11","c-11","Y_1","Y_3",0.903053957318477
"12","c-12","Y_1","Y_3",1
"13","c-13","Y_1","Y_3",1
"14","c-14","Y_1","Y_3",1
"15","c-15","Y_1","Y_3",1
"16","c-16","Y_1","Y_3",1
"17","c-17","Y_1","Y_3",1
"18","c-18","Y_1","Y_3",1
"19","c-19","Y_1","Y_3",1
"20","c-20","Y_1","Y_3",0.849034937206615
"21","c-21","Y_1","Y_3",1
"22","c-22","Y_1","Y_3",1
"23","c-23","Y_1","Y_3",0.903053957318477
"24","c-24","Y_1","Y_3",1
"25","c-25","Y_1","Y_3",1
"26","c-26","Y_1","Y_3",1
"27","c-27","Y_1","Y_3",1
"28","c-28","Y_1","Y_3",1
"29","c-29","Y_1","Y_3",1
"30","c-30","Y_1","Y_3",1
"31","c-31","Y_1","Y_3",1
"32","c-32","Y_1","Y_3",1
"33","c-33","Y_1","Y_3",1
"34","c-34","Y_1","Y_3",1
"35","c-35","Y_1","Y_3",1
"36","c-36","Y_1","Y_3",1
"37","c-37","Y_1","Y_3",1
"38","c-38","Y_1","Y_3",0.06295885597687
"39","c-39","Y_1","Y_3",1
"40","c-40","Y_1","Y_3",1
"41","c-41","Y_1","Y_3",1
"42","c-42","Y_1","Y_3",1
"43","c-43","Y_1","Y_3",1
"44","c-44","Y_1","Y_3",0.903053957318477
"45","c-45","Y_1","Y_3",1
"46","c-46","Y_1","Y_3",1
"47","c-47","Y_1","Y_3",1
"48","c-48","Y_1","Y_3",1
"49","c-49","Y_1","Y_3",1
"50","c-50","Y_1","Y_3",0.797431407600285
"51","c-51","Y_1","Y_3",1
"52","c-52","Y_1","Y_3",1
"53","c-53","Y_1","Y_3",1
"54","c-54","Y_1","Y_3",1
"55","c-55","Y_1","Y_3",1
"56","c-56","Y_1","Y_3",1
"57","c-57","Y_1","Y_3",1
"58","c-58","Y_1","Y_3",1
"59","c-59","Y_1","Y_3",1
"60","c-60","Y_1","Y_3",1
"61","c-61","Y_1","Y_3",1
"62","c-62","Y_1","Y_3",1
"63","c-63","Y_1","Y_3",1
"64","c-64","Y_1","Y_3",0.797431407600285
"65","c-65","Y_1","Y_3",0.903053957318477
"66","c-66","Y_1","Y_3",1
"67","c-67","Y_1","Y_3",1
"68","c-68","Y_1","Y_3",1
"69","c-69","Y_1","Y_3",1
"70","c-70","Y_1","Y_3",1
"71","c-71","Y_1","Y_3",1
"72","c-72","Y_1","Y_3",1
"73","c-73","Y_1","Y_3",1
"74","c-74","Y_1","Y_3",1
"75","c-75","Y_1","Y_3",1
"76","c-76","Y_1","Y_3",0.06295885597687
"77","c-77","Y_1","Y_3",1
"78","c-78","Y_1","Y_3",1
"79","c-79","Y_1","Y_3",1
"80","c-80","Y_1","Y_3",1
"81","c-81","Y_1","Y_3",0.958481663988364
"82","c-82","Y_1","Y_3",1
"83","c-83","Y_1","Y_3",1
"84","c-84","Y_1","Y_3",1
"85","c-85","Y_1","Y_3",1
"86","c-86","Y_1","Y_3",1
"87","c-87","Y_1","Y_3",0.06295885597687
"88","c-88","Y_1","Y_3",1
"89","c-89","Y_1","Y_3",1
"90","c-90","Y_1","Y_3",1
"91","c-91","Y_1","Y_3",1
"92","c-92","Y_1","Y_3",1
"93","c-93","Y_1","Y_3",1
"94","c-94","Y_1","Y_3",1
"95","c-95","Y_1","Y_3",1
"96","c-96","Y_1","Y_3",1
"97","c-97","Y_1","Y_3",0.849034937206615
"98","c-98","Y_1","Y_3",1
"99","c-99","Y_1","Y_3",0
"100","c-100","Y_1","Y_3",1
"101","c-101","Y_1","Y_3",1
"102","c-102","Y_1","Y_3",1
"103","c-103","Y_1","Y_3",0
"104","c-104","Y_1","Y_3",1
"105","c-105","Y_1","Y_3",1
"106","c-106","Y_1","Y_3",1
"107","c-107","Y_1","Y_3",1
"108","c-108","Y_1","Y_3",0.958481663988364
"109","c-109","Y_1","Y_3",0.797431407600285
"110","c-110","Y_1","Y_3",0
"111","c-111","Y_1","Y_3",1
"112","c-112","Y_1","Y_3",1
"113","c-113","Y_1","Y_3",1
"114","c-114","Y_1","Y_3",0.06295885597687
"115","c-115","Y_1","Y_3",1
"116","c-116","Y_1","Y_3",0.443659407825331
"117","c-117","Y_1","Y_3",0
"118","c-118","Y_1","Y_3",0.06295885597687
"119","c-119","Y_1","Y_3",1
"120","c-120","Y_1","Y_3",1
"121","c-121","Y_1","Y_3",1
"122","c-122","Y_1","Y_3",1
"123","c-123","Y_1","Y_3",1
"124","c-124","Y_1","Y_3",0.849034937206615
"125","c-125","Y_1","Y_3",0
"126","c-126","Y_1","Y_3",1
"127","c-127","Y_1","Y_3",0
"128","c-128","Y_1","Y_3",0.903053957318477
"129","c-129","Y_1","Y_3",1
"130","c-130","Y_1","Y_3",1
"131","c-131","Y_1","Y_3",1
"132","c-132","Y_1","Y_3",0.06295885597687
"133","c-133","Y_1","Y_3",1
"134","c-134","Y_1","Y_3",1
"135","c-135","Y_1","Y_3",0.797431407600285
"136","c-136","Y_1","Y_3",1
"137","c-137","Y_1","Y_3",1
"138","c-138","Y_1","Y_3",0.37335296200772
"139","c-139","Y_1","Y_3",1
"140","c-140","Y_1","Y_3",1
"141","c-141","Y_1","Y_3",1
"142","c-142","Y_1","Y_3",1
"143","c-143","Y_1","Y_3",1
"144","c-144","Y_1","Y_3",0.903053957318477
"145","c-145","Y_1","Y_3",1
"146","c-146","Y_1","Y_3",1
"147","c-147","Y_1","Y_3",1
"148","c-148","Y_1","Y_3",1
"149","c-149","Y_1","Y_3",0
"150","c-150","Y_1","Y_3",1
"151","c-151","Y_1","Y_3",1
"152","c-152","Y_1","Y_3",1
"153","c-153","Y_1","Y_3",1
"154","c-154","Y_1","Y_3",1
"155","c-155","Y_1","Y_3",1
"156","c-156","Y_1","Y_3",1
"157","c-157","Y_1","Y_3",1
"158","c-158","Y_1","Y_3",1
"159","c-159","Y_1","Y_3",1
"160","c-160","Y_1","Y_3",1
"161","c-161","Y_1","Y_3",1
"162","c-162","Y_1","Y_3",1
"163","c-163","Y_1","Y_3",1
"164","c-164","Y_1","Y_3",1
"165","c-165","Y_1","Y_3",1
"166","c-166","Y_1","Y_3",1
"167","c-167","Y_1","Y_3",1
"168","c-168","Y_1","Y_3",1
"169","c-169","Y_1","Y_3",0.958481663988364
"170","c-170","Y_1","Y_3",1
"171","c-171","Y_1","Y_3",1
"172","c-172","Y_1","Y_3",1
"173","c-173","Y_1","Y_3",1
"174","c-174","Y_1","Y_3",1
"175","c-175","Y_1","Y_3",1
"176","c-176","Y_1","Y_3",1
"177","c-177","Y_1","Y_3",1
"178","c-178","Y_1","Y_3",1
"179","c-179","Y_1","Y_3",1
"180","c-180","Y_1","Y_3",0.903053957318477
"181","c-181","Y_1","Y_3",1
"182","c-182","Y_1","Y_3",1
"183","c-183","Y_1","Y_3",0.958481663988364
"184","c-184","Y_1","Y_3",0.06295885597687
"185","c-185","Y_1","Y_3",1
"186","c-186","Y_1","Y_3",1
"187","c-187","Y_1","Y_3",1
"188","c-188","Y_1","Y_3",1
"189","c-189","Y_1","Y_3",1
"190","c-190","Y_1","Y_3",1
"191","c-191","Y_1","Y_3",1
"192","c-192","Y_1","Y_3",1
"193","c-193","Y_1","Y_3",1
"194","c-194","Y_1","Y_3",1
"195","c-195","Y_1","Y_3",1
"196","c-196","Y_1","Y_3",1
"197","c-197","Y_1","Y_3",0
"198","c-198","Y_1","Y_3",1
"199","c-199","Y_1","Y_3",1
"200","c-200","Y_1","Y_3",1
"201","c-201","Y_1","Y_3",1
"202","c-202","Y_1","Y_3",1
"203","c-203","Y_1","Y_3",1
"204","c-204","Y_1","Y_3",0.958481663988364
"205","c-205","Y_1","Y_3",1
"206","c-206","Y_1","Y_3",0.849034937206615
"207","c-207","Y_1","Y_3",1
"208","c-208","Y_1","Y_3",1
"209","c-209","Y_1","Y_3",1
"210","c-210","Y_1","Y_3",1
"211","c-211","Y_1","Y_3",1
"212","c-212","Y_1","Y_3",0
"213","c-213","Y_1","Y_3",1
"214","c-214","Y_1","Y_3",1
"215","c-215","Y_1","Y_3",1
"216","c-216","Y_1","Y_3",1
"217","c-217","Y_1","Y_3",1
"218","c-218","Y_1","Y_3",1
"219","c-219","Y_1","Y_3",1
"220","c-220","Y_1","Y_3",1
"221","c-221","Y_1","Y_3",1
"222","c-222","Y_1","Y_3",1
"223","c-223","Y_1","Y_3",1
"224","c-224","Y_1","Y_3",1
"225","c-225","Y_1","Y_3",1
"226","c-226","Y_1","Y_3",1
"227","c-227","Y_1","Y_3",1
"228","c-228","Y_1","Y_3",1
"229","c-229","Y_1","Y_3",1
"230","c-230","Y_1","Y_3",1
"231","c-231","Y_1","Y_3",1
"232","c-232","Y_1","Y_3",1
"233","c-233","Y_1","Y_3",1
"234","c-234","Y_1","Y_3",1
"235","c-235","Y_1","Y_3",0.903053957318477
"236","c-236","Y_1","Y_3",1
"237","c-237","Y_1","Y_3",0.06295885597687
"238","c-238","Y_1","Y_3",1
"239","c-239","Y_1","Y_3",1
"240","c-240","Y_1","Y_3",1
"241","c-241","Y_1","Y_3",1
"242","c-242","Y_1","Y_3",1
"243","c-243","Y_1","Y_3",0.797431407600285
"244","c-244","Y_1","Y_3",1
"245","c-245","Y_1","Y_3",0
"246","c-246","Y_1","Y_3",0
"247","c-247","Y_1","Y_3",1
"248","c-248","Y_1","Y_3",1
"249","c-249","Y_1","Y_3",0.849034937206615
"250","c-250","Y_1","Y_3",1
"251","c-251","Y_1","Y_3",1
"252","c-252","Y_1","Y_3",1
"253","c-253","Y_1","Y_3",1
"254","c-254","Y_1","Y_3",1
"255","c-255","Y_1","Y_3",1
"256","c-256","Y_1","Y_3",1
"257","c-257","Y_1","Y_3",0.958481663988364
"258","c-258","Y_1","Y_3",1
"259","c-259","Y_1","Y_3",1
"260","c-260","Y_1","Y_3",1
"261","c-261","Y_1","Y_3",1
"262","c-262","Y_1","Y_3",1
"263","c-263","Y_1","Y_3",1
"264","c-264","Y_1","Y_3",0.903053957318477
"265","c-265","Y_1","Y_3",1
"266","c-266","Y_1","Y_3",1
"267","c-267","Y_1","Y_3",1
"268","c-268","Y_1","Y_3",0.958481663988364
"269","c-269","Y_1","Y_3",1
"270","c-270","Y_1","Y_3",0.958481663988364
"271","c-271","Y_1","Y_3",1
"272","c-272","Y_1","Y_3",0
"273","c-273","Y_1","Y_3",1
"274","c-274","Y_1","Y_3",1
"275","c-275","Y_1","Y_3",1
"276","c-276","Y_1","Y_3",1
"277","c-277","Y_1","Y_3",0.06295885597687
"278","c-278","Y_1","Y_3",1
"279","c-279","Y_1","Y_3",1
"280","c-280","Y_1","Y_3",1
"281","c-281","Y_1","Y_3",0.903053957318477
"282","c-282","Y_1","Y_3",0.958481663988364
"283","c-283","Y_1","Y_3",1
"284","c-284","Y_1","Y_3",1
"285","c-285","Y_1","Y_3",0.958481663988364
"286","c-286","Y_1","Y_3",1
"287","c-287","Y_1","Y_3",1
"288","c-288","Y_1","Y_3",0.958481663988364
"289","c-289","Y_1","Y_3",0.06295885597687
"290","c-290","Y_1","Y_3",0.958481663988364
"291","c-291","Y_1","Y_3",1
"292","c-292","Y_1","Y_3",0
"293","c-293","Y_1","Y_3",0.06295885597687
"294","c-294","Y_1","Y_3",1
"295","c-295","Y_1","Y_3",1
"296","c-296","Y_1","Y_3",1
"297","c-297","Y_1","Y_3",1
"298","c-298","Y_1","Y_3",1
"299","c-299","Y_1","Y_3",1
"300","c-300","Y_1","Y_3",0.958481663988364
"301","c-301","Y_1","Y_3",1
"302","c-302","Y_1","Y_3",1
"303","c-303","Y_1","Y_3",0
"304","c-304","Y_1","Y_3",0.958481663988364
"305","c-305","Y_1","Y_3",0.958481663988364
"306","c-306","Y_1","Y_3",0
"307","c-307","Y_1","Y_3",0
"308","c-308","Y_1","Y_3",0.958481663988364
"309","c-309","Y_1","Y_3",0.958481663988364
"310","c-310","Y_1","Y_3",0.958481663988364
"311","c-311","Y_1","Y_3",1
"312","c-312","Y_1","Y_3",1
"313","c-313","Y_1","Y_3",1
"314","c-314","Y_1","Y_3",0.958481663988364
"315","c-315","Y_1","Y_3",1
"316","c-316","Y_1","Y_3",1
"317","c-317","Y_1","Y_3",0.958481663988364
"318","c-318","Y_1","Y_3",0.958481663988364
"319","c-319","Y_1","Y_3",0.958481663988364
"320","c-320","Y_1","Y_3",1
"321","c-321","Y_1","Y_3",1
"322","c-322","Y_1","Y_3",1
"323","c-323","Y_1","Y_3",0.06295885597687
"324","c-324","Y_1","Y_3",0.147070206448438
"325","c-325","Y_1","Y_3",0.304598629807657
"326","c-326","Y_1","Y_3",0.304598629807657
"327","c-327","Y_1","Y_3",0.110878728621184
"328","c-328","Y_1","Y_3",0.06295885597687
"329","c-329","Y_1","Y_3",0.06295885597687
"330","c-330","Y_1","Y_3",0.251181531927238
"331","c-331","Y_1","Y_3",0.110878728621184
"332","c-332","Y_1","Y_3",0.06295885597687
"333","c-333","Y_1","Y_3",0.06295885597687
"334","c-334","Y_1","Y_3",0.110878728621184
"335","c-335","Y_1","Y_3",0.251181531927238
"336","c-336","Y_1","Y_3",0.251181531927238
"337","c-337","Y_1","Y_3",0.584596991292685
"338","c-338","Y_1","Y_3",0.110878728621184
"339","c-339","Y_1","Y_3",0.584596991292685
"340","c-340","Y_1","Y_3",0.110878728621184
"341","c-341","Y_1","Y_3",0.584596991292685
