"","cell_id","from","to","percentage"
"1","c-1","1","5",0.595115661621094
"2","c-2","1","5",0.125918582081795
"3","c-3","3","6",0.150673076510429
"4","c-4","1","5",0.249395713210106
"5","c-5","2","4",0.281992465257645
"6","c-6","1","5",0.266864806413651
"7","c-7","3","6",0.647347331047058
"8","c-8","3","6",0.152985170483589
"9","c-9","1","5",0.240185543894768
"10","c-10","1","5",0.349484920501709
"11","c-11","1","5",0.282109469175339
"12","c-12","1","5",0.265386253595352
"13","c-13","1","5",0.301740288734436
"14","c-14","1","5",0.280896782875061
"15","c-15","1","5",0.170031517744064
"16","c-16","1","5",0.143831521272659
"17","c-17","1","5",0.36815944314003
"18","c-18","1","5",0.215029209852219
"19","c-19","1","5",0.215039625763893
"20","c-20","5","2",0.462045073509216
"21","c-21","1","5",0.204736590385437
"22","c-22","1","5",0.200613424181938
"23","c-23","1","5",0.406280994415283
"24","c-24","1","5",0.190628081560135
"25","c-25","1","5",0.23237207531929
"26","c-26","1","5",0.29581481218338
"27","c-27","1","5",0.334959656000137
"28","c-28","1","5",0.186755701899529
"29","c-29","1","5",0.200610846281052
"30","c-30","1","5",0.244450077414513
"31","c-31","1","5",0.151652500033379
"32","c-32","1","5",0.2274080067873
"33","c-33","1","5",0.26418724656105
"34","c-34","1","5",0.243466466665268
"35","c-35","1","5",0.145207658410072
"36","c-36","1","5",0.176492273807526
"37","c-37","1","5",0.192851632833481
"38","c-38","3","6",0.961715459823608
"39","c-39","1","5",0.26989933848381
"40","c-40","1","5",0.265759974718094
"41","c-41","1","5",0.203302800655365
"42","c-42","1","5",0.204441711306572
"43","c-43","1","5",0.282804131507874
"44","c-44","3","6",0.126507684588432
"45","c-45","1","5",0.326198637485504
"46","c-46","1","5",0.273870319128036
"47","c-47","1","5",0.271251350641251
"48","c-48","1","5",0.264344483613968
"49","c-49","1","5",0.109912872314453
"50","c-50","5","2",0.10904236137867
"51","c-51","1","5",0.233062237501144
"52","c-52","1","5",0.192776367068291
"53","c-53","1","5",0.315825313329697
"54","c-54","1","5",0.212806954979897
"55","c-55","1","5",0.312868356704712
"56","c-56","1","5",0.144847199320793
"57","c-57","1","5",0.294714391231537
"58","c-58","1","5",0.146338999271393
"59","c-59","1","5",0.165108889341354
"60","c-60","1","5",0.204430192708969
"61","c-61","1","5",0.199842289090157
"62","c-62","5","2",0.00116598990280181
"63","c-63","1","5",0.244044899940491
"64","c-64","1","5",0.541322767734528
"65","c-65","1","5",0.334122449159622
"66","c-66","1","5",0.197850048542023
"67","c-67","1","5",0.197219908237457
"68","c-68","1","5",0.384490936994553
"69","c-69","1","5",0.228252455592155
"70","c-70","1","5",0.205147817730904
"71","c-71","1","5",0.15706405043602
"72","c-72","1","5",0.217850178480148
"73","c-73","1","5",0.151986122131348
"74","c-74","1","5",0.231552809476852
"75","c-75","1","5",0.159579396247864
"76","c-76","3","6",0.931930780410767
"77","c-77","1","5",0.344671040773392
"78","c-78","1","5",0.148681104183197
"79","c-79","1","5",0.194772303104401
"80","c-80","1","5",0.506351232528687
"81","c-81","1","5",0.55945885181427
"82","c-82","1","5",0.199077486991882
"83","c-83","1","5",0.233300179243088
"84","c-84","1","5",0.437936425209045
"85","c-85","1","5",0.229475617408752
"86","c-86","1","5",0.420469462871552
"87","c-87","3","6",0.941042721271515
"88","c-88","1","5",0.238051518797874
"89","c-89","1","5",0.277083158493042
"90","c-90","1","5",0.260902434587479
"91","c-91","1","5",0.313434809446335
"92","c-92","1","5",0.781729221343994
"93","c-93","1","5",0.434524863958359
"94","c-94","1","5",0.319902181625366
"95","c-95","1","5",0.285693436861038
"96","c-96","1","5",0.265659272670746
"97","c-97","2","4",0.205413788557053
"98","c-98","1","5",0.264646679162979
"99","c-99","3","6",0.114094294607639
"100","c-100","1","5",0.188883736729622
"101","c-101","1","5",0.305954337120056
"102","c-102","1","5",0.38448092341423
"103","c-103","1","5",0.713854670524597
"104","c-104","1","5",0.506515085697174
"105","c-105","1","5",0.271604210138321
"106","c-106","1","5",0.17311604321003
"107","c-107","1","5",0.481059014797211
"108","c-108","1","5",0.379155099391937
"109","c-109","5","2",0.256541788578033
"110","c-110","1","5",0.791954457759857
"111","c-111","1","5",0.177967980504036
"112","c-112","1","5",0.191734686493874
"113","c-113","1","5",0.226904883980751
"114","c-114","3","6",0.842225730419159
"115","c-115","1","5",0.142798751592636
"116","c-116","1","5",0.633585095405579
"117","c-117","3","6",0.0758406147360802
"118","c-118","3","6",0.652367174625397
"119","c-119","1","5",0.266641080379486
"120","c-120","1","5",0.2319405823946
"121","c-121","1","5",0.219775915145874
"122","c-122","1","5",0.363736599683762
"123","c-123","1","5",0.486504971981049
"124","c-124","2","4",0.0307807717472315
"125","c-125","3","6",0.0853127688169479
"126","c-126","1","5",0.385809004306793
"127","c-127","3","6",0.528576016426086
"128","c-128","5","2",0.350801736116409
"129","c-129","1","5",0.302278518676758
"130","c-130","1","5",0.20592625439167
"131","c-131","1","5",0.289318799972534
"132","c-132","1","5",1
"133","c-133","1","5",0.592251658439636
"134","c-134","1","5",0.250070720911026
"135","c-135","1","5",0.434451252222061
"136","c-136","1","5",0.106909818947315
"137","c-137","1","5",0.323011487722397
"138","c-138","1","5",0.67322051525116
"139","c-139","1","5",0.293019443750381
"140","c-140","1","5",0.271109014749527
"141","c-141","1","5",0.213848277926445
"142","c-142","1","5",0.182555481791496
"143","c-143","1","5",0.233526185154915
"144","c-144","1","5",0.723709404468536
"145","c-145","1","5",0.172231301665306
"146","c-146","1","5",0.138504818081856
"147","c-147","1","5",0.390255510807037
"148","c-148","1","5",0.267373889684677
"149","c-149","3","6",0.748394012451172
"150","c-150","1","5",0.285558968782425
"151","c-151","1","5",0.271582812070847
"152","c-152","1","5",0.200621590018272
"153","c-153","1","5",0.159508019685745
"154","c-154","1","5",0.254221618175507
"155","c-155","1","5",0.313615143299103
"156","c-156","1","5",0.176632598042488
"157","c-157","1","5",0.287607997655869
"158","c-158","1","5",0.377596884965897
"159","c-159","1","5",0.193367376923561
"160","c-160","1","5",0.247584477066994
"161","c-161","1","5",0.172675997018814
"162","c-162","1","5",0.132051840424538
"163","c-163","1","5",0.599215507507324
"164","c-164","1","5",0.404208898544312
"165","c-165","1","5",0.184853866696358
"166","c-166","1","5",0.175782084465027
"167","c-167","1","5",0.169224545359612
"168","c-168","1","5",0.275837957859039
"169","c-169","1","5",0.402730643749237
"170","c-170","3","6",0
"171","c-171","1","5",0.229558810591698
"172","c-172","1","5",0.22096760571003
"173","c-173","1","5",0.17537222802639
"174","c-174","1","5",0.259273260831833
"175","c-175","1","5",0.254717499017715
"176","c-176","1","5",0.560285627841949
"177","c-177","1","5",0.16130143404007
"178","c-178","1","5",0.411583721637726
"179","c-179","1","5",0.349699586629868
"180","c-180","1","5",0.27571776509285
"181","c-181","1","5",0.197057604789734
"182","c-182","1","5",0.123884111642838
"183","c-183","1","5",0.27160769701004
"184","c-184","3","6",0.776674211025238
"185","c-185","1","5",0.234507218003273
"186","c-186","1","5",0.257445216178894
"187","c-187","1","5",0.418847411870956
"188","c-188","1","5",0.364721953868866
"189","c-189","1","5",0.258711487054825
"190","c-190","1","5",0.183151602745056
"191","c-191","1","5",0.25301405787468
"192","c-192","1","5",0.222695335745811
"193","c-193","1","5",0.228557512164116
"194","c-194","1","5",0.331803798675537
"195","c-195","1","5",0.245875060558319
"196","c-196","1","5",0.238858908414841
"197","c-197","3","6",0.141259059309959
"198","c-198","1","5",0.345482498407364
"199","c-199","1","5",0.168810471892357
"200","c-200","1","5",0.21173083782196
"201","c-201","1","5",0.140684351325035
