"","cell_id","from","to","percentage"
"1","c-1","1","2",0
"2","c-2","1","2",0.350129224989044
"3","c-3","1","2",0
"4","c-4","1","2",0
"5","c-5","2","4",0.0190980054021199
"6","c-6","1","2",0.35672312538856
"7","c-7","4","3",1
"8","c-8","1","2",0
"9","c-9","1","2",0.42864497270797
"10","c-10","1","2",0
"11","c-11","1","2",0.706366706987573
"12","c-12","1","2",0.611734775224608
"13","c-13","1","2",0.196704664018819
"14","c-14","1","2",0
"15","c-15","1","2",0
"16","c-16","1","2",0.307895523402983
"17","c-17","1","2",0.130231678384772
"18","c-18","1","2",0
"19","c-19","1","2",0.434294010993549
"20","c-20","1","2",0.760229783681435
"21","c-21","1","2",0
"22","c-22","1","2",0.0686028898682054
"23","c-23","1","2",0.717195402958402
"24","c-24","1","2",0.541232412085941
"25","c-25","1","2",0.443793331335128
"26","c-26","1","2",0.502665746546373
"27","c-27","1","2",0.122737466524996
"28","c-28","1","2",0
"29","c-29","1","2",0
"30","c-30","1","2",0
"31","c-31","1","2",0
"32","c-32","1","2",0.444633450362528
"33","c-33","1","2",0
"34","c-34","1","2",0
"35","c-35","1","2",0
"36","c-36","1","2",0.297398927112103
"37","c-37","1","2",0
"38","c-38","4","3",1
"39","c-39","1","2",0.27611295058409
"40","c-40","1","2",0.59403003243821
"41","c-41","1","2",0
"42","c-42","1","2",0
"43","c-43","1","2",0
"44","c-44","1","2",0.730598205959042
"45","c-45","1","2",0.26293305662267
"46","c-46","1","2",0
"47","c-47","1","2",0
"48","c-48","1","2",0
"49","c-49","1","2",0.479756749897848
"50","c-50","1","2",0
"51","c-51","1","2",0
"52","c-52","1","2",0
"53","c-53","1","2",0
"54","c-54","1","2",0.675217544985319
"55","c-55","1","2",0.307799796074217
"56","c-56","1","2",0.412836627621321
"57","c-57","1","2",0.0451188297159189
"58","c-58","1","2",0
"59","c-59","1","2",0.158909468314262
"60","c-60","1","2",0.145955443243158
"61","c-61","1","2",0.630714833974329
"62","c-62","1","2",0.381108940132583
"63","c-63","1","2",0.321419270404101
"64","c-64","1","2",0
"65","c-65","1","2",0.733055398288884
"66","c-66","1","2",0.180797336250684
"67","c-67","1","2",0.33324803235448
"68","c-68","1","2",0.645474688772329
"69","c-69","1","2",0
"70","c-70","1","2",0.350555935579415
"71","c-71","1","2",0.182132278154068
"72","c-72","1","2",0.607349175578597
"73","c-73","1","2",0.191123045192951
"74","c-74","1","2",0.232284195206331
"75","c-75","1","2",0.448887016621969
"76","c-76","4","3",1
"77","c-77","1","2",0
"78","c-78","1","2",0
"79","c-79","1","2",0.217489940091297
"80","c-80","1","2",0.332237812550304
"81","c-81","1","2",0.415886354142282
"82","c-82","1","2",0
"83","c-83","1","2",0
"84","c-84","1","2",0.639257925669725
"85","c-85","1","2",0
"86","c-86","1","2",0
"87","c-87","4","3",1
"88","c-88","1","2",0.276866728034545
"89","c-89","1","2",0
"90","c-90","1","2",0.238924610223859
"91","c-91","1","2",0
"92","c-92","1","2",0.0975233652966184
"93","c-93","1","2",0
"94","c-94","1","2",0
"95","c-95","1","2",0
"96","c-96","1","2",0.245595230071297
"97","c-97","1","2",0.818451198753551
"98","c-98","1","2",0.273238615445949
"99","c-99","1","2",0.213357759513408
"100","c-100","1","2",0
"101","c-101","1","2",0.279045462552375
"102","c-102","1","2",0
"103","c-103","1","2",0
"104","c-104","1","2",0.416348701550941
"105","c-105","1","2",0.343027129269811
"106","c-106","1","2",0
"107","c-107","1","2",0
"108","c-108","1","2",0.625608686623447
"109","c-109","1","2",0.580971721544142
"110","c-110","1","2",0.109487773326862
"111","c-111","1","2",0.0280845369699522
"112","c-112","1","2",0
"113","c-113","1","2",0
"114","c-114","4","3",1
"115","c-115","1","2",0.0858617463135781
"116","c-116","1","2",0
"117","c-117","1","2",0
"118","c-118","4","3",1
"119","c-119","1","2",0
"120","c-120","1","2",0
"121","c-121","1","2",0
"122","c-122","1","2",0
"123","c-123","1","2",0
"124","c-124","1","2",0.797213880866166
"125","c-125","4","3",0.88098677907192
"126","c-126","1","2",0.393369762071179
"127","c-127","4","3",1
"128","c-128","1","2",0.747001013180878
"129","c-129","1","2",0.529906474817051
"130","c-130","1","2",0
"131","c-131","1","2",0.637778978745784
"132","c-132","1","2",0
"133","c-133","1","2",0.487981674563264
"134","c-134","1","2",0
"135","c-135","1","2",0.309677562148583
"136","c-136","1","2",0.526441477493361
"137","c-137","1","2",0
"138","c-138","1","2",0
"139","c-139","1","2",0
"140","c-140","1","2",0
"141","c-141","1","2",0.469418235806508
"142","c-142","1","2",0.684858749355259
"143","c-143","1","2",0.000508480115228913
"144","c-144","1","2",0.603500315497876
"145","c-145","1","2",0.224960926979074
"146","c-146","1","2",0.178225408469356
"147","c-147","1","2",0
"148","c-148","1","2",0
"149","c-149","4","3",1
"150","c-150","1","2",0
"151","c-151","1","2",0.0784441806645093
"152","c-152","1","2",0.110944399433974
"153","c-153","1","2",0
"154","c-154","1","2",0
"155","c-155","1","2",0
"156","c-156","1","2",0
"157","c-157","1","2",0
"158","c-158","1","2",0
"159","c-159","1","2",0
"160","c-160","1","2",0.183680082865237
"161","c-161","1","2",0.281994981276359
"162","c-162","1","2",0.404849065928878
"163","c-163","1","2",0
"164","c-164","1","2",0.152033637593765
"165","c-165","1","2",0
"166","c-166","1","2",0.312158633727156
"167","c-167","1","2",0
"168","c-168","1","2",0.454585359189646
"169","c-169","1","2",0.588923776014527
"170","c-170","1","2",0
"171","c-171","1","2",0.443794675579187
"172","c-172","1","2",0.504854189684126
"173","c-173","1","2",0.191905479337648
"174","c-174","1","2",0.228011859197793
"175","c-175","1","2",0.595104363686805
"176","c-176","1","2",0.0806536499996728
"177","c-177","1","2",0.289112239976066
"178","c-178","1","2",0
"179","c-179","1","2",0.130316997757716
"180","c-180","1","2",0.647648935980296
"181","c-181","1","2",0.446933253266039
"182","c-182","1","2",0.4128231854799
"183","c-183","1","2",0.228386367205355
"184","c-184","4","3",1
"185","c-185","1","2",0
"186","c-186","1","2",0
"187","c-187","1","2",0
"188","c-188","1","2",0.346546387356029
"189","c-189","1","2",0
"190","c-190","1","2",0
"191","c-191","1","2",0
"192","c-192","1","2",0.493892939739242
"193","c-193","1","2",0.171647792236778
"194","c-194","1","2",0.136883162167923
"195","c-195","1","2",0.306508351127927
"196","c-196","1","2",0
"197","c-197","1","2",0
"198","c-198","1","2",0
"199","c-199","1","2",0.320339294809441
"200","c-200","1","2",0
"201","c-201","1","2",0.281667664462258
"202","c-202","1","2",0.583547845753741
"203","c-203","1","2",0.519106746889105
"204","c-204","1","2",0.616503715122092
"205","c-205","1","2",0.348838423543517
"206","c-206","1","2",0.767425218735748
"207","c-207","1","2",0.305251902506069
"208","c-208","1","2",0
"209","c-209","1","2",0
"210","c-210","1","2",0.352244773875912
"211","c-211","1","2",0.00560728054186967
"212","c-212","4","3",1
"213","c-213","1","2",0
"214","c-214","1","2",0
"215","c-215","1","2",0.242375735400867
"216","c-216","1","2",0
"217","c-217","1","2",0.432389567221129
"218","c-218","1","2",0
"219","c-219","1","2",0
"220","c-220","1","2",0.338083266791041
"221","c-221","1","2",0.0176025526765118
"222","c-222","1","2",0.02195203891017
"223","c-223","1","2",0
"224","c-224","1","2",0
"225","c-225","1","2",0.342108826496875
"226","c-226","1","2",0.354314399849071
"227","c-227","1","2",0
"228","c-228","1","2",0.264859518332684
"229","c-229","1","2",0
"230","c-230","1","2",0
"231","c-231","1","2",0.4567306898737
"232","c-232","1","2",0
"233","c-233","1","2",0.646018403846782
"234","c-234","1","2",0.432635841382301
"235","c-235","1","2",0.675217544985319
"236","c-236","1","2",0.385452553109904
"237","c-237","4","3",1
"238","c-238","1","2",0
"239","c-239","1","2",0
"240","c-240","1","2",0
"241","c-241","1","2",0.403709453027558
"242","c-242","1","2",0.310057011276536
"243","c-243","1","2",0.0398364014008551
"244","c-244","1","2",0.0816921761217839
"245","c-245","1","2",0.355327074773417
"246","c-246","4","3",0.887239934002137
"247","c-247","1","2",0.228521736510467
"248","c-248","1","2",0
"249","c-249","1","2",0.78700192671466
"250","c-250","1","2",0
"251","c-251","1","2",0.630785796638386
"252","c-252","1","2",0
"253","c-253","1","2",0
"254","c-254","1","2",0.358101527280486
"255","c-255","1","2",0
"256","c-256","1","2",0.245426081877091
"257","c-257","1","2",0.705536900764333
"258","c-258","1","2",0.0808784266443036
"259","c-259","1","2",0.433867565489058
"260","c-260","1","2",0
"261","c-261","1","2",0.600152265035971
"262","c-262","1","2",0
"263","c-263","1","2",0.513363436177828
"264","c-264","1","2",0.670463752359427
"265","c-265","1","2",0
"266","c-266","1","2",0
"267","c-267","1","2",0
"268","c-268","1","2",0.672526419260075
"269","c-269","1","2",0.229384568175915
"270","c-270","1","2",0.654967793095959
"271","c-271","1","2",0.538258281092858
"272","c-272","1","2",0.203937054463012
"273","c-273","1","2",0.0826342982172902
"274","c-274","1","2",0
"275","c-275","1","2",0.100583571310519
"276","c-276","1","2",0
"277","c-277","4","3",1
"278","c-278","1","2",0
"279","c-279","1","2",0
"280","c-280","1","2",0.382418728020733
"281","c-281","1","2",0.753603298977596
"282","c-282","1","2",0.0426294363270917
"283","c-283","1","2",0
"284","c-284","1","2",0
"285","c-285","1","2",0.523900293498789
"286","c-286","1","2",0.165397426751976
"287","c-287","1","2",0.163595787725736
"288","c-288","1","2",0.672611192983962
"289","c-289","4","3",0.712416696782355
"290","c-290","1","2",0.496414389357064
"291","c-291","1","2",0
"292","c-292","1","2",0
"293","c-293","4","3",1
"294","c-294","1","2",0
"295","c-295","1","2",0
"296","c-296","1","2",0
"297","c-297","1","2",0.332762882329619
"298","c-298","1","2",0.39561842931685
"299","c-299","1","2",0.525777239814528
"300","c-300","1","2",0.612839660470752
"301","c-301","1","2",0
"302","c-302","1","2",0.423355873336847
"303","c-303","1","2",0.201775861814767
"304","c-304","1","2",0.656804053803708
