"","cell_id","from","to","percentage"
"1","c-1","3","5",0.276624590158463
"2","c-2","5","8",0.416499525308609
"3","c-3","1","3",0.921112239360809
"4","c-4","1","6",0.555699169635773
"5","c-5","2","1",0.757332324981689
"6","c-6","3","4",0.0211709570139647
"7","c-7","1","3",0.210753664374352
"8","c-8","3","5",0.0243257228285074
"9","c-9","1","3",0.599824666976929
"10","c-10","3","5",0.0355061441659927
"11","c-11","3","5",0.152226611971855
"12","c-12","1","3",0.605602741241455
"13","c-13","1","6",0.236133590340614
"14","c-14","4","7",0.976855933666229
"15","c-15","4","7",0.189533621072769
"16","c-16","1","3",0.949275195598602
"17","c-17","4","7",0.879774630069733
"18","c-18","3","4",0.0734555870294571
"19","c-19","2","1",0.507043898105621
"20","c-20","1","3",0.806152045726776
"21","c-21","3","5",0.117044605314732
"22","c-22","3","5",0.0294420477002859
"23","c-23","1","3",0.637390851974487
"24","c-24","4","7",0.535727143287659
"25","c-25","1","6",0.203585982322693
"26","c-26","2","1",0.853186726570129
"27","c-27","4","7",0.911414742469788
"28","c-28","4","7",0.380616694688797
"29","c-29","1","3",0.676101744174957
"30","c-30","1","3",0.649693787097931
"31","c-31","1","6",0.351080447435379
"32","c-32","2","1",0.141067117452621
"33","c-33","5","8",0.0214570257812738
"34","c-34","3","5",0.159867569804192
"35","c-35","3","5",0.295270562171936
"36","c-36","1","3",0.897615969181061
"37","c-37","1","6",0.4447081387043
"38","c-38","3","5",0.0334044359624386
"39","c-39","3","5",0.0519609525799751
"40","c-40","3","4",0.0300025083124638
"41","c-41","1","3",0.616810500621796
"42","c-42","3","5",0.625102341175079
"43","c-43","3","4",0.0418539047241211
"44","c-44","4","7",0.649684250354767
"45","c-45","3","5",0.162779569625854
"46","c-46","2","1",0.391484528779984
"47","c-47","4","7",0.108211927115917
"48","c-48","1","3",0.919968724250793
"49","c-49","4","7",0.419345945119858
"50","c-50","1","6",0.238616943359375
"51","c-51","4","7",0.913330972194672
"52","c-52","3","4",0.0270868744701147
"53","c-53","5","8",0.887491405010223
"54","c-54","4","7",0.596699178218842
"55","c-55","3","5",0.826008081436157
"56","c-56","1","3",0.455540806055069
"57","c-57","2","1",0.637583494186401
"58","c-58","1","3",0.281339257955551
"59","c-59","3","5",0.0793822482228279
"60","c-60","4","7",0.995176553726196
"61","c-61","3","5",0.0375949181616306
"62","c-62","1","3",0.279907882213593
"63","c-63","3","4",0.0170206129550934
"64","c-64","1","3",0.786878347396851
"65","c-65","2","1",0.357194423675537
"66","c-66","3","4",0.0529581531882286
"67","c-67","3","4",0.0108747463673353
"68","c-68","4","7",0.36756506562233
"69","c-69","3","4",0.0893909633159637
"70","c-70","1","3",0.564318954944611
"71","c-71","1","3",0.158750936388969
"72","c-72","4","7",0.347732216119766
"73","c-73","3","5",0.0287599172443151
"74","c-74","4","7",0.475520133972168
"75","c-75","5","8",0.246867775917053
"76","c-76","2","1",0.159766629338264
"77","c-77","3","5",0.0658419132232666
"78","c-78","3","5",0.0435930900275707
"79","c-79","1","6",0.743777871131897
"80","c-80","1","3",0.532969236373901
"81","c-81","5","8",0.871242642402649
"82","c-82","1","3",0.540073573589325
"83","c-83","3","4",0.0317027680575848
"84","c-84","1","3",0.363347351551056
"85","c-85","3","4",0.0693578496575356
"86","c-86","2","1",0.535993456840515
"87","c-87","2","1",0.537810862064362
"88","c-88","3","5",0.940469205379486
"89","c-89","1","6",0.270381599664688
"90","c-90","3","4",0.300166547298431
"91","c-91","3","5",0.145993277430534
"92","c-92","3","4",0.216038584709167
"93","c-93","2","1",1
"94","c-94","3","5",0.939807653427124
"95","c-95","3","5",0.0168289206922054
"96","c-96","5","8",0.165377169847488
"97","c-97","4","7",0.56591385602951
"98","c-98","3","4",0.837678849697113
"99","c-99","3","5",0.050581268966198
"100","c-100","3","4",0.0446811802685261
"101","c-101","3","4",0.0462675578892231
"102","c-102","3","4",0.308622628450394
"103","c-103","3","5",0.0496241375803947
"104","c-104","1","3",0.753866136074066
"105","c-105","3","4",0.0827005878090858
"106","c-106","1","3",0.612371146678925
"107","c-107","1","3",0.0470591112971306
"108","c-108","1","3",0.649803042411804
"109","c-109","2","1",0.516806721687317
"110","c-110","2","1",0.482756495475769
"111","c-111","1","6",0.103490218520164
"112","c-112","2","1",0.0979997962713242
"113","c-113","3","5",0.0271081384271383
"114","c-114","3","5",0.0558163747191429
"115","c-115","3","5",0.0179728288203478
"116","c-116","3","4",0.0781071856617928
"117","c-117","3","5",0.0266300775110722
"118","c-118","2","1",0.545932233333588
"119","c-119","4","7",0.783508121967316
