"","cell_id","from","to","percentage"
"1","c-1","1","2",0.134903145038968
"2","c-2","2","9",0.318050385408635
"3","c-3","3","5",0.428847774338556
"4","c-6","3","5",0.290661258680342
"5","c-8","5","1",0.341522184555107
"6","c-9","3","5",0.98204780917958
"7","c-10","5","1",0.342261845663076
"8","c-11","1","2",0.0776044916187743
"9","c-12","3","5",0.905482866922244
"10","c-14","6","8",0
"11","c-15","8","7",0.799503624005391
"12","c-16","3","5",0.478856289091237
"13","c-17","6","8",0.10760159504732
"14","c-18","7","3",0.90418357964184
"15","c-20","3","5",0.680511289707701
"16","c-21","1","2",0.0420507921245005
"17","c-22","3","5",0.933449931914591
"18","c-23","5","1",0.00741874287126218
"19","c-24","8","7",0.0308472365676688
"20","c-27","6","8",0
"21","c-28","8","7",0.615972773779083
"22","c-29","3","5",0.886675698922611
"23","c-30","5","1",0.0208261095882379
"24","c-33","1","2",0.650376643587674
"25","c-34","1","2",0.11623934512417
"26","c-35","1","2",0.21599792205184
"27","c-36","3","5",0.474580145639243
"28","c-38","5","1",0.486561939202212
"29","c-39","5","1",0.844517864095962
"30","c-40","3","5",0.319406741431304
"31","c-41","5","1",0.173560369790403
"32","c-42","1","2",0.365958443566624
"33","c-43","7","3",0.983271839291241
"34","c-44","6","8",0.764066387495405
"35","c-45","1","2",0.110980573209928
"36","c-47","8","7",0.864435401558305
"37","c-48","3","5",0.537287473810692
"38","c-49","8","7",0.350510841758128
"39","c-51","6","8",0
"40","c-52","3","5",0.0630577911795252
"41","c-53","2","9",1
"42","c-54","6","8",0.809608708382012
"43","c-55","1","2",0.554719692336278
"44","c-58","5","1",0.0526898149876037
"45","c-59","1","2",0.0605051872894519
"46","c-60","6","8",0
"47","c-61","5","1",0.637231117515296
"48","c-63","3","5",0.346042187889644
"49","c-64","3","5",0.676385437736469
"50","c-66","3","5",0.0364543076062037
"51","c-67","3","5",0.352765494106559
"52","c-68","8","7",0.653087066784672
"53","c-69","7","3",0.939984388228984
"54","c-70","3","5",0.912976594447866
"55","c-72","8","7",0.505713682471967
"56","c-73","5","1",0.508552366352744
"57","c-74","8","7",0.268233754976697
"58","c-75","2","9",0.121921319363634
"59","c-77","1","2",0.00252339820686688
"60","c-78","5","1",0.605292723072326
"61","c-80","3","5",0.995252355779333
"62","c-81","2","9",1
"63","c-82","3","5",0.97178116802877
"64","c-83","3","5",0.210830312679956
"65","c-84","3","5",0.973123788010341
"66","c-85","7","3",0.949154681048153
"67","c-88","1","2",0.583293217980859
"68","c-90","7","3",0.604585810340699
"69","c-91","1","2",0.0875354757963133
"70","c-92","7","3",0.656291778720791
"71","c-94","1","2",0.556905602491935
"72","c-95","5","1",0.446414591811741
"73","c-96","2","9",0.0373820468078153
"74","c-97","8","7",0.0296045093739997
"75","c-98","7","3",0.165652296991534
"76","c-99","5","1",0.690075804334444
"77","c-100","3","5",0.239782178493323
"78","c-101","3","5",0.0423358950555812
"79","c-102","7","3",0.613523678167464
"80","c-103","5","1",0.899699069591433
"81","c-104","3","5",0.766035569308321
"82","c-105","7","3",0.879215373379277
"83","c-106","3","5",0.996160612853665
"84","c-108","3","5",0.922772239239516
"85","c-113","5","1",0.387650207790376
"86","c-114","5","1",0.299132817683524
"87","c-115","5","1",0.0562769656713801
