"","cell_id","from","to","percentage"
"1","c-1","Y_27","Y_35",0
"2","c-2","Y_34","Y_40",0
"3","c-3","Y_59","Y_62",0.0583189245871477
"4","c-4","Y_21","Y_35",0.151187883683814
"5","c-5","Y_34","Y_40",0
"6","c-6","Y_44","Y_47",0
"7","c-7","Y_27","Y_35",0.239589945462152
"8","c-8","Y_27","Y_35",0.202777278569446
"9","c-9","Y_44","Y_47",0.118746291872687
"10","c-10","Y_34","Y_40",0
"11","c-11","Y_35","Y_40",0.427799851656424
"12","c-12","Y_44","Y_47",0.936754215945226
"13","c-13","Y_27","Y_35",0.754343267527219
"14","c-14","Y_21","Y_35",0.690553163470504
"15","c-15","Y_34","Y_40",0
"16","c-16","Y_27","Y_35",0
"17","c-17","Y_76","Y_84",0.144633216856135
"18","c-18","Y_44","Y_47",0
"19","c-19","Y_35","Y_40",0.172465817889993
"20","c-20","Y_59","Y_62",0.288631776681719
"21","c-21","Y_44","Y_47",0.249937605765888
"22","c-22","Y_27","Y_35",0.275517383193148
"23","c-23","Y_27","Y_35",0.845335085114929
"24","c-24","Y_95","Y_100",0
"25","c-25","Y_35","Y_40",0.172465817889993
"26","c-26","Y_44","Y_47",0.871550772327686
"27","c-27","Y_59","Y_62",1
"28","c-28","Y_27","Y_35",0.162034912805043
"29","c-29","Y_27","Y_35",0
"30","c-30","Y_59","Y_62",0.815907437407301
"31","c-31","Y_59","Y_62",0
"32","c-32","Y_44","Y_47",0.871550772327686
"33","c-33","Y_3","Y_40",0.230217769067923
"34","c-34","Y_27","Y_35",0.162034912805043
"35","c-35","Y_27","Y_35",0.162034912805043
"36","c-36","Y_34","Y_40",0
"37","c-37","Y_21","Y_35",0.690553163470504
"38","c-38","Y_21","Y_35",0
"39","c-39","Y_44","Y_47",0.249937605765888
"40","c-40","Y_27","Y_35",0
"41","c-41","Y_27","Y_35",0.754343267527219
"42","c-42","Y_95","Y_100",0
"43","c-43","Y_27","Y_35",0.754343267527219
"44","c-44","Y_3","Y_40",0.564666547061877
"45","c-45","Y_21","Y_35",0.570887836068621
"46","c-46","Y_76","Y_77",1
"47","c-47","Y_76","Y_80",1
"48","c-48","Y_95","Y_100",0
"49","c-49","Y_27","Y_35",0.417482622968286
"50","c-50","Y_59","Y_62",0.854553078138663
"51","c-51","Y_27","Y_35",0.63524502810587
"52","c-52","Y_76","Y_77",0.757768391566354
"53","c-53","Y_27","Y_35",0.133343451095945
"54","c-54","Y_44","Y_47",0.249937605765888
"55","c-55","Y_59","Y_62",0.401018640756544
"56","c-56","Y_34","Y_40",0
"57","c-57","Y_59","Y_62",0.961533646738827
"58","c-58","Y_34","Y_40",0
"59","c-59","Y_27","Y_35",0
"60","c-60","Y_27","Y_35",0.275517383193148
