"","cell_id","from","to","percentage"
"1","c-1","Y_3","Y_37",0.942123454459611
"2","c-2","Y_3","Y_37",0.404677816168283
"3","c-3","Y_3","Y_37",0.337869232171603
"4","c-4","Y_20","Y_35",0.514793176290892
"5","c-5","Y_3","Y_37",0.337869232171603
"6","c-6","Y_7","Y_20",0.273438595514002
"7","c-7","Y_3","Y_37",0.337869232171603
"8","c-8","Y_3","Y_37",0.282669706970458
"9","c-9","Y_3","Y_7",1
"10","c-10","Y_3","Y_37",0.282669706970458
"11","c-11","Y_3","Y_37",0.337869232171603
"12","c-12","Y_3","Y_37",0.337869232171603
"13","c-13","Y_3","Y_37",0.337869232171603
"14","c-14","Y_3","Y_37",0.0497200002272988
"15","c-15","Y_3","Y_37",0.235095092684167
"16","c-16","Y_3","Y_37",0.282669706970458
"17","c-17","Y_3","Y_37",0.337869232171603
"18","c-18","Y_3","Y_37",0.404677816168283
"19","c-19","Y_3","Y_37",0.120759272840786
"20","c-20","Y_3","Y_37",0.337869232171603
"21","c-21","Y_3","Y_37",0.337869232171603
"22","c-22","Y_3","Y_37",0.337869232171603
"23","c-23","Y_9","Y_20",0.302851547942414
"24","c-24","Y_3","Y_37",0.0497200002272988
"25","c-25","Y_7","Y_20",0.273438595514002
"26","c-26","Y_3","Y_7",0
"27","c-27","Y_3","Y_37",0.176208352823333
"28","c-28","Y_9","Y_20",0.574847177134036
"29","c-29","Y_3","Y_37",0.176208352823333
"30","c-30","Y_3","Y_37",0.120759272840786
"31","c-31","Y_3","Y_37",0.235095092684168
"32","c-32","Y_3","Y_37",0.282669706970458
"33","c-33","Y_3","Y_37",0.235095092684168
"34","c-34","Y_7","Y_20",0.273438595514002
"35","c-35","Y_7","Y_20",0.788261644213757
"36","c-36","Y_3","Y_37",0.337869232171603
"37","c-37","Y_7","Y_20",0.273438595514002
"38","c-38","Y_3","Y_37",0.235095092684167
"39","c-39","Y_9","Y_20",0.574847177134036
"40","c-40","Y_9","Y_20",0.772298795236878
"41","c-41","Y_7","Y_20",0.788261644213757
"42","c-42","Y_7","Y_20",0.52953134984676
"43","c-43","Y_3","Y_37",0.235095092684168
"44","c-44","Y_9","Y_20",0.574847177134036
"45","c-45","Y_3","Y_7",1
"46","c-46","Y_3","Y_37",0.0497200002272988
"47","c-47","Y_3","Y_37",0.120759272840786
"48","c-48","Y_3","Y_37",0.235095092684168
"49","c-49","Y_3","Y_37",0.235095092684168
"50","c-50","Y_3","Y_37",0.476862098369958
"51","c-51","Y_7","Y_20",0.788261644213757
"52","c-52","Y_9","Y_20",0.574847177134036
