"","cell_id","from","to","percentage"
"1","c-1","1","1-0a",0.222690910100937
"2","c-2","1","1-0a",0.302051723003387
"3","c-3","1","1-0a",0.475552618503571
"4","c-4","1","1-0a",0.732482314109802
"5","c-5","1","1-0a",0.343165874481201
"6","c-6","1","1-0a",0.247309595346451
"7","c-7","1","1-0a",0.392722368240356
"8","c-8","1","1-0a",0.636733651161194
"9","c-9","1","1-0a",0.291092395782471
"10","c-10","1","1-0a",0.454081147909164
"11","c-11","1","1-0a",0.501248896121979
"12","c-12","1","1-0a",0.430466651916504
"13","c-13","1","1-0a",0.386835306882858
"14","c-14","1","1-0a",0.127954810857773
"15","c-15","1","1-0a",0.514234840869904
"16","c-16","1","1-0a",0.458077102899551
"17","c-17","1","1-0a",0.480088591575623
"18","c-18","1","1-0a",0.441739648580551
"19","c-19","1","1-0a",0.231811597943306
"20","c-20","1","1-0a",0.594197750091553
"21","c-21","1","1-0a",0.402682363986969
"22","c-22","1","1-0a",0.418420732021332
"23","c-23","1","1-0a",0.324894368648529
"24","c-24","1","1-0a",0.45597830414772
"25","c-25","1","1-0a",0.241809740662575
"26","c-26","1","1-0a",0.282636106014252
"27","c-27","1","1-0a",0.295036166906357
"28","c-28","1","1-0a",0.228527098894119
"29","c-29","1","1-0a",0.384695768356323
"30","c-30","1","1-0a",0.678539335727692
"31","c-31","1","1-0a",0.29360443353653
"32","c-32","1","1-0a",0.742868781089783
"33","c-33","1","1-0a",0.408557951450348
"34","c-34","1","1-0a",0.189858362078667
"35","c-35","1","1-0a",0.194339886307716
"36","c-36","1","1-0a",0.465900421142578
"37","c-37","1","1-0a",0.188146367669106
"38","c-38","1","1-0a",0.355754256248474
"39","c-39","1","1-0a",0.176223650574684
"40","c-40","1","1-0a",0.220226347446442
"41","c-41","1","1-0a",0.236047863960266
"42","c-42","1","1-0a",0.312517791986465
"43","c-43","1","1-0a",0.405758112668991
"44","c-44","1","1-0a",0.0143597573041916
"45","c-45","1","1-0a",0.158731058239937
"46","c-46","1","1-0a",0.317832589149475
"47","c-47","1","1-0a",0.178896188735962
"48","c-48","1","1-0a",0.214969247579575
"49","c-49","1","1-0a",0.0767637342214584
"50","c-50","1","1-0a",0.366175591945648
"51","c-51","1","1-0a",0.0679261609911919
"52","c-52","2","1",0.306595683097839
"53","c-53","2","1",0.29822763800621
"54","c-54","2","1",0.297823697328568
"55","c-55","2","1",0.216171830892563
"56","c-56","2","1",0.383839547634125
"57","c-57","2","1",0.0696071907877922
"58","c-58","2","1",0.17108727991581
"59","c-59","2","1",0.230392158031464
"60","c-60","2","1",0.265079289674759
"61","c-61","2","1",0.155568212270737
"62","c-62","2","1",0.51473480463028
"63","c-63","2","1",0.215553507208824
"64","c-64","2","1",0.0689208060503006
"65","c-65","2","1",0.146153375506401
"66","c-66","2","1",0.0836308002471924
"67","c-67","2","1",0.208436071872711
"68","c-68","2","1",0.262787699699402
"69","c-69","2","1",0.247599437832832
"70","c-70","2","1",0.188458830118179
"71","c-71","2","1",0.262295752763748
"72","c-72","2","1",0.191848769783974
"73","c-73","2","1",0.150867328047752
"74","c-74","2","1",0.128196597099304
"75","c-75","2","1",0.0524039790034294
"76","c-76","2","1",0.131759524345398
"77","c-77","2","1",0.115167111158371
"78","c-78","2","1",0.107344828546047
"79","c-79","2","1",0.267307639122009
"80","c-80","2","1",0.178879529237747
"81","c-81","2","1",0.30301496386528
"82","c-82","2","1",0.219330132007599
"83","c-83","2","1",0.164992794394493
"84","c-84","2","1",0.10020063072443
"85","c-85","2","1",0.154484391212463
"86","c-86","2","1",0.161180377006531
"87","c-87","2","1",0.158786490559578
"88","c-88","2","1",0.331404805183411
"89","c-89","2","1",0.135165601968765
"90","c-90","2","1",0.211833313107491
"91","c-91","2","1",0.382887631654739
