"","cell_id","from","to","percentage"
"1","c-1","2","1",0.629080320382395
"2","c-2","2","1",0.16473864298117
"3","c-3","2","1",0
"4","c-4","2","1",0.318757894371006
"5","c-5","2","1",0.180000649685341
"6","c-6","2","1",0.512026427467871
"7","c-7","2","1",0.0169429254511448
"8","c-8","2","1",0.162898921748311
"9","c-9","2","1",0.43601848211111
"10","c-10","2","1",0
"11","c-11","2","1",0
"12","c-12","2","1",0
"13","c-13","2","1",0.114447790656187
"14","c-14","2","1",0.37323848177833
"15","c-15","2","1",0
"16","c-16","2","1",0
"17","c-17","2","1",0
"18","c-18","2","1",0.117600773231361
"19","c-19","2","1",0.366112849047859
"20","c-20","2","1",0
"21","c-21","2","1",0
"22","c-22","2","1",0
"23","c-23","3","5",0.0470037313263462
"24","c-24","2","1",0.207344334095108
"25","c-25","2","1",0.434816495782626
"26","c-26","2","1",0.236081730827972
"27","c-27","2","1",0.0103166111118872
"28","c-28","3","5",0.0641545963886807
"29","c-29","2","1",0
"30","c-30","2","1",0.320299736646532
"31","c-31","2","1",0.0368059065572048
"32","c-32","2","1",0
"33","c-33","2","1",0.0410080938735297
"34","c-34","2","1",0.4058190114166
"35","c-35","3","5",0.0818266679404714
"36","c-36","2","1",0
"37","c-37","2","1",0.410913834782733
"38","c-38","2","1",0
"39","c-39","3","5",0.105607870401638
"40","c-40","3","5",0.0815821105948451
"41","c-41","2","1",0.492807388088635
"42","c-42","2","1",0.463699459734701
"43","c-43","2","1",0
"44","c-44","2","1",0.944736953015268
"45","c-45","2","1",0.553925412488146
"46","c-46","2","1",0.568897934137053
"47","c-47","2","1",0.359058082985964
"48","c-48","2","1",0
"49","c-49","2","1",0.141733946614795
"50","c-50","2","1",0.251894395413831
"51","c-51","2","1",0.914687772643108
"52","c-52","2","1",0.888252481064458
"53","c-53","3","5",0.247161086240982
"54","c-54","2","1",0.822400114765422
"55","c-55","3","5",0.271633384676631
"56","c-56","2","1",0.494662321659087
"57","c-57","2","1",0.519115103569735
"58","c-58","2","1",0.60236631661551
"59","c-59","2","1",0.159043366499498
"60","c-60","2","1",0.7765488441615
"61","c-61","2","1",0.487619171953526
"62","c-62","2","1",0.597228626796775
"63","c-63","2","1",0.0878689643169456
"64","c-64","2","1",0.468424971272537
"65","c-65","2","1",0.0949945872824677
"66","c-66","2","1",0.902032705627331
"67","c-67","2","1",0.590184274863464
"68","c-68","2","1",0.133790992510931
"69","c-69","2","1",0.255040245268604
"70","c-70","2","1",0.930894400082607
"71","c-71","3","5",0.208277120217707
"72","c-72","2","1",0
"73","c-73","2","1",0.826460528916452
"74","c-74","2","1",0.340441904382027
"75","c-75","3","5",0.247118306478035
"76","c-76","2","1",0.622948060920877
"77","c-77","2","1",0.482067813981309
"78","c-78","2","1",0.913851501075899
"79","c-79","2","1",0.199504083093344
"80","c-80","3","5",0.0798926882105144
"81","c-81","2","1",0.128347038028816
"82","c-82","2","1",0.899060317645762
"83","c-83","3","5",0.0209818216315864
"84","c-84","2","1",0.924984708315333
"85","c-85","2","1",0.697287901829508
"86","c-86","3","5",0.0329737892617783
"87","c-87","1","3",0.760588472401927
"88","c-88","2","1",0.89139416815127
"89","c-89","3","5",0.0236612492357058
"90","c-90","2","1",0.597790110278857
"91","c-91","2","1",0.805397427421943
"92","c-92","2","1",0.552787763409042
"93","c-93","2","1",0.654103721315765
"94","c-94","3","5",0.168072056194045
"95","c-95","3","5",0.131895487065123
"96","c-96","3","5",0.235201979537807
"97","c-97","2","1",0.680076523027972
"98","c-98","2","1",0
"99","c-99","3","5",0.0707442223415121
"100","c-100","3","5",0.0580719774520176
"101","c-101","2","1",0
"102","c-102","2","1",0
"103","c-103","2","1",0.781357901999937
"104","c-104","2","1",0.659870538842422
"105","c-105","2","1",0.0884982077632702
"106","c-106","2","1",0.345632826437562
"107","c-107","2","1",0
"108","c-108","2","1",0
"109","c-109","2","1",0.0201400959879736
"110","c-110","2","1",0.188813631312384
"111","c-111","2","1",0
"112","c-112","2","1",0.324777892216781
"113","c-113","2","1",0
"114","c-114","2","1",0
"115","c-115","2","1",0
"116","c-116","2","1",0.739600674634355
"117","c-117","2","1",0.387810288160613
"118","c-118","2","1",0.00762281892127231
"119","c-119","2","1",0.246219915794431
"120","c-120","2","1",0.235795926143384
"121","c-121","2","1",0
"122","c-122","2","1",0.399892523486803
"123","c-123","2","1",0.608033035410993
"124","c-124","2","1",0
"125","c-125","2","1",0
"126","c-126","2","1",0.416680323400768
"127","c-127","2","1",0.31240884128639
"128","c-128","2","1",0.334834687251557
"129","c-129","2","1",0.117091646716603
"130","c-130","2","1",0.560268155942618
"131","c-131","2","1",0.937683053515129
"132","c-132","2","1",0
"133","c-133","2","1",0
"134","c-134","2","1",0
"135","c-135","2","1",0.109190912597487
"136","c-136","2","1",0.0100628448020097
"137","c-137","2","1",0
"138","c-138","2","1",0.617850649998317
"139","c-139","2","1",0.237721699689962
"140","c-140","2","1",0.829227642099671
"141","c-141","2","1",0.07831009885094
"142","c-142","2","1",0.0557456190070131
"143","c-143","2","1",0.177794006820085
"144","c-144","2","1",0.322403951903229
"145","c-145","2","1",0.755192869298906
"146","c-146","3","5",0.072369512437336
"147","c-147","2","1",0
"148","c-148","2","1",0
"149","c-149","2","1",0.639896468939093
"150","c-150","2","1",0.537381958591353
"151","c-151","3","5",0.095875424387731
"152","c-152","2","1",0.762445875014466
"153","c-153","2","1",0
"154","c-154","2","1",0.315850467157562
"155","c-155","3","5",0.152732193146703
"156","c-156","2","1",0
"157","c-157","2","1",0.478382973264023
"158","c-158","2","1",0
"159","c-159","2","1",0.287978641058267
"160","c-160","2","1",0
"161","c-161","3","5",0.126444567972545
"162","c-162","2","1",0.0883058241892375
"163","c-163","2","1",0
"164","c-164","2","1",0.454747383281952
"165","c-165","2","1",0.29690168218825
"166","c-166","2","1",0
"167","c-167","2","1",0.458788934462075
"168","c-168","2","1",0.143038623003289
"169","c-169","2","1",0.198095491689976
"170","c-170","2","1",0.477320784677834
"171","c-171","2","1",0.792244372306548
"172","c-172","2","1",0.267627334559114
"173","c-173","3","5",0.0602642237259861
"174","c-174","3","5",0.237425925415429
"175","c-175","2","1",0.545084421756192
"176","c-176","2","1",0.855424705971002
"177","c-177","3","5",0.113392608262572
"178","c-178","3","5",0.0591626052273116
"179","c-179","2","1",0.411382073943529
"180","c-180","2","1",0
"181","c-181","2","1",0.453637090255944
"182","c-182","3","5",0.202033376758075
"183","c-183","2","1",0.953401462569165
"184","c-184","2","1",0
"185","c-185","2","1",0.504628477934395
"186","c-186","2","1",0.347560878487977
"187","c-187","3","5",0.0260307706067279
"188","c-188","2","1",0.491969750214876
"189","c-189","3","5",0.172298718104965
"190","c-190","2","1",0.197136044696337
"191","c-191","2","1",0.680864481815899
"192","c-192","2","1",0.649237871817871
"193","c-193","2","1",0.919998741438771
"194","c-194","3","5",0.0303540104457876
"195","c-195","2","1",0.666290804692178
"196","c-196","2","1",0.41940375753501
"197","c-197","3","5",0.0273322260536012
"198","c-198","3","5",0.0960339928479706
"199","c-199","2","1",0.670993159652572
"200","c-200","2","1",0.602666544773076
"201","c-201","2","1",0.933717818037044
"202","c-202","3","5",0.0453689601369259
"203","c-203","2","1",0.297175223053175
"204","c-204","2","1",0.384163326700197
"205","c-205","3","5",0.216037918363285
"206","c-206","2","1",0.505813712469924
"207","c-207","3","5",0.0656879708803314
"208","c-208","3","5",0.269039808752465
"209","c-209","3","5",0.0904621465990348
"210","c-210","2","1",0.720288075402034
"211","c-211","3","5",0.108201357580881
"212","c-212","2","1",0.70264654877745
"213","c-213","3","5",0.0226769549123757
"214","c-214","3","5",0.114091166306167
"215","c-215","3","5",0.328961967154166
"216","c-216","2","1",0.312419742661524
