"","cell_id","from","to","percentage"
"1","c-112","Y_1","Y_19",0.899583924983426
"2","c-129","Y_1","Y_19",0.899583924983426
"3","c-144","Y_1","Y_19",0.899583924983426
"4","c-145","Y_1","Y_19",0.899583924983426
"5","c-153","Y_1","Y_19",0.899583924983426
"6","c-25","Y_1","Y_19",0.72514185054344
"7","c-98","Y_1","Y_19",0.652232770929792
"8","c-210","Y_1","Y_19",0.652232770929792
"9","c-214","Y_1","Y_19",0.72514185054344
"10","c-228","Y_1","Y_19",0.652232770929792
"11","c-240","Y_1","Y_19",0.652232770929792
"12","c-248","Y_1","Y_19",0.652232770929792
"13","c-198","Y_1","Y_19",0.48963666553427
"14","c-209","Y_1","Y_19",0.48963666553427
"15","c-219","Y_1","Y_19",0.48963666553427
"16","c-220","Y_1","Y_19",0.48963666553427
"17","c-236","Y_1","Y_19",0.48963666553427
"18","c-241","Y_1","Y_19",0.48963666553427
"19","c-9","Y_1","Y_19",0.270675374257847
"20","c-35","Y_1","Y_19",0.270675374257847
"21","c-40","Y_1","Y_19",0.270675374257847
"22","c-56","Y_1","Y_19",0.270675374257847
"23","c-89","Y_1","Y_19",0.777795068196597
"24","c-90","Y_1","Y_19",0.777795068196597
"25","c-100","Y_1","Y_19",0.826243739827226
"26","c-109","Y_1","Y_19",0.826243739827226
"27","c-114","Y_1","Y_19",0.826243739827226
"28","c-125","Y_1","Y_19",0.826243739827226
"29","c-126","Y_1","Y_19",0.826243739827226
"30","c-134","Y_1","Y_19",0.777795068196597
"31","c-254","Y_1","Y_19",0.777795068196597
"32","c-4","Y_1","Y_19",0.030292045910684
"33","c-10","Y_1","Y_19",0.030292045910684
"34","c-31","Y_1","Y_19",0.030292045910684
"35","c-77","Y_1","Y_19",0.030292045910684
"36","c-78","Y_1","Y_19",0.030292045910684
"37","c-62","Y_1","Y_19",0.59427372965781
"38","c-84","Y_1","Y_19",0.59427372965781
"39","c-187","Y_1","Y_19",0.59427372965781
"40","c-189","Y_1","Y_19",0.542543364396211
"41","c-191","Y_1","Y_19",0.542543364396211
"42","c-202","Y_1","Y_19",0.59427372965781
"43","c-205","Y_1","Y_19",0.542543364396211
"44","c-217","Y_1","Y_19",0.542543364396211
"45","c-222","Y_1","Y_19",0.542543364396211
"46","c-223","Y_1","Y_19",0.542543364396211
"47","c-224","Y_1","Y_19",0.542543364396211
"48","c-226","Y_1","Y_19",0.59427372965781
"49","c-227","Y_1","Y_19",0.542543364396211
"50","c-230","Y_1","Y_19",0.542543364396211
"51","c-245","Y_1","Y_19",0.542543364396211
"52","c-249","Y_1","Y_19",0.59427372965781
"53","c-7","Y_1","Y_19",0.332714459559317
"54","c-14","Y_1","Y_19",0.332714459559317
"55","c-21","Y_1","Y_19",0.380394200576349
"56","c-23","Y_1","Y_19",0.380394200576349
"57","c-24","Y_1","Y_19",0.332714459559317
"58","c-28","Y_1","Y_19",0.380394200576349
"59","c-32","Y_1","Y_19",0.332714459559317
"60","c-64","Y_1","Y_19",0.332714459559317
"61","c-91","Y_1","Y_19",0.380394200576349
"62","c-206","Y_1","Y_19",0.332714459559317
"63","c-238","Y_1","Y_19",0.332714459559317
"64","c-1","Y_1","Y_19",0.0765307855004085
"65","c-8","Y_1","Y_19",0.114899469983732
"66","c-19","Y_1","Y_19",0.0765307855004085
"67","c-29","Y_1","Y_19",0.0765307855004085
"68","c-49","Y_1","Y_19",0.0765307855004085
"69","c-51","Y_1","Y_19",0.0765307855004085
"70","c-57","Y_1","Y_19",0.0765307855004085
"71","c-61","Y_1","Y_19",0.0765307855004085
"72","c-74","Y_1","Y_19",0.0765307855004085
"73","c-82","Y_1","Y_19",0.114899469983732
"74","c-113","Y_1","Y_19",0.0765307855004085
"75","c-15","Y_1","Y_19",1
"76","c-93","Y_1","Y_19",1
"77","c-94","Y_1","Y_19",1
"78","c-99","Y_1","Y_19",1
"79","c-101","Y_1","Y_19",1
"80","c-103","Y_1","Y_19",1
"81","c-106","Y_1","Y_19",1
"82","c-110","Y_1","Y_19",1
"83","c-116","Y_1","Y_19",1
"84","c-122","Y_1","Y_19",1
"85","c-124","Y_1","Y_19",1
"86","c-127","Y_1","Y_19",1
"87","c-132","Y_1","Y_19",1
"88","c-136","Y_1","Y_19",1
