"","cell_id","from","to","percentage"
"1","c-1","1","2",0.187270388007164
"2","c-2","1","2",0.192863747477531
"3","c-3","1","2",0.299328237771988
"4","c-4","1","2",0.189696401357651
"5","c-5","1","2",0.501500010490417
"6","c-6","1","2",0.271965682506561
"7","c-7","1","2",0.630425989627838
"8","c-8","1","2",0.52238392829895
"9","c-9","1","2",0.681122660636902
"10","c-10","1","2",0.315158396959305
"11","c-11","1","2",0.137240186333656
"12","c-12","1","2",0.726503551006317
"13","c-13","1","2",0.391714781522751
"14","c-14","1","2",0.473853349685669
"15","c-15","1","2",0.640788793563843
"16","c-16","1","2",0.524728238582611
"17","c-17","1","2",0.119171433150768
"18","c-18","1","2",0.316630333662033
"19","c-19","1","2",0.237686365842819
"20","c-20","1","2",0.752849936485291
"21","c-21","1","2",0.778530895709991
"22","c-22","1","2",0.742721676826477
"23","c-23","1","2",0.863532960414886
"24","c-24","1","2",0.75970447063446
"25","c-25","1","2",0.76022744178772
"26","c-26","1","2",0.463742405176163
"27","c-27","1","2",0.278660744428635
"28","c-28","1","2",0.774358749389648
"29","c-29","1","2",0.178252145648003
"30","c-30","1","2",0.68010151386261
"31","c-31","1","2",0.222792997956276
"32","c-32","1","2",1
"33","c-33","1","2",0.432211577892303
"34","c-34","1","2",0.809038996696472
"35","c-35","1","2",0.481884777545929
"36","c-36","1","2",0.591247141361237
"37","c-37","1","2",0.181406632065773
"38","c-38","1","2",0.622126996517181
"39","c-39","1","2",0.839760601520538
"40","c-40","1","2",0.670179188251495
"41","c-41","1","2",0.509364724159241
"42","c-42","1","2",0
"43","c-43","1","2",0.21096396446228
"44","c-44","1","2",0.241415366530418
"45","c-45","1","2",0.334298580884933
"46","c-46","1","2",0.370537251234055
"47","c-47","1","2",0.211602941155434
"48","c-48","1","2",0.460035294294357
"49","c-49","1","2",0.360628336668015
"50","c-50","1","2",0.245596557855606
"51","c-51","1","2",0.269307792186737
"52","c-52","1","2",0.543368101119995
"53","c-53","1","2",0.369141429662704
"54","c-54","1","2",0.159675464034081
"55","c-55","1","2",0.27710422873497
"56","c-56","1","2",0.67824387550354
"57","c-57","1","2",0.169407427310944
"58","c-58","1","2",0.961271166801453
"59","c-59","1","2",0.779900968074799
"60","c-60","1","2",0.366792976856232
"61","c-61","1","2",0.148423403501511
"62","c-62","1","2",0.758996546268463
"63","c-63","1","2",0.53465473651886
"64","c-64","1","2",0.963113009929657
"65","c-65","1","2",0.942186117172241
"66","c-66","1","2",0.765414297580719
"67","c-67","1","2",0.149770140647888
"68","c-68","1","2",0.867274880409241
"69","c-69","1","2",0.828164756298065
"70","c-70","1","2",0.80332088470459
"71","c-71","1","2",0.803720653057098
"72","c-72","1","2",0.405978500843048
"73","c-73","1","2",0.727008640766144
"74","c-74","1","2",0.266070604324341
"75","c-75","1","2",0.351975589990616
"76","c-76","1","2",0.760759592056274
"77","c-77","1","2",0.476471215486526
"78","c-78","1","2",0.310860931873322
"79","c-79","1","2",0.744759202003479
"80","c-80","1","2",0.159992054104805
"81","c-81","1","2",0.448863685131073
"82","c-82","1","2",0.190617844462395
"83","c-83","1","2",0.743992149829865
"84","c-84","1","2",0.988451659679413
"85","c-85","1","2",0.931725561618805
"86","c-86","1","2",0.972595751285553
"87","c-87","1","2",0.220826700329781
"88","c-88","1","2",0.423804461956024
"89","c-89","1","2",0.97068864107132
"90","c-90","1","2",0.952719151973724
"91","c-91","1","2",0.953441381454468
"92","c-92","2","2-G2Ma",0.164424508810043
"93","c-93","2","2-G2Ma",0.481744647026062
"94","c-94","2","2-G2Ma",0.801937699317932
"95","c-95","2","2-G2Ma",0.0542395114898682
"96","c-96","2","2-G2Ma",0.740712940692902
"97","c-97","2","2-G2Ma",0.137578383088112
"98","c-98","2","2-G2Ma",0.706888556480408
"99","c-99","2","2-G2Ma",0.722006916999817
"100","c-100","2","2-G2Ma",0.680654644966125
"101","c-101","2","2-G2Ma",0.797778367996216
"102","c-102","2","2-G2Ma",0.744037747383118
"103","c-103","2","2-G2Ma",0.723679959774017
"104","c-104","2","2-G2Ma",0.763172924518585
"105","c-105","2","2-G2Ma",0.679900765419006
"106","c-106","2","2-G2Ma",0.774944007396698
"107","c-107","2","2-G2Ma",0.163333714008331
"108","c-108","2","2-G2Ma",0.792118489742279
"109","c-109","2","2-G2Ma",0.744246423244476
"110","c-110","2","2-G2Ma",0.710145533084869
