"","cell_id","from","to","percentage"
"1","c-1","2","1",0.991629036508743
"2","c-2","2","1",1
"3","c-3","2","1",0.846174461438418
"4","c-4","2","1",1
"5","c-5","2","1",0.666249429854103
"6","c-6","2","1",0.876407273116301
"7","c-7","2","1",0.482396963975206
"8","c-8","2","1",0.463214615109896
"9","c-9","2","1",0.377553849475491
"10","c-10","2","1",0.900060108519916
"11","c-11","2","1",1
"12","c-12","3","2",0.972330170185109
"13","c-13","2","1",0.844150335092637
"14","c-14","2","1",0.34363467772703
"15","c-15","3","4",0.292067533677601
"16","c-16","2","1",0.555475473213527
"17","c-17","2","1",1
"18","c-18","2","1",0.794362601626173
"19","c-19","2","1",1
"20","c-20","2","1",0.0583122231890674
"21","c-21","2","1",0.147805149909216
"22","c-22","3","4",0.779588408682651
"23","c-23","2","1",0.135826842708702
"24","c-24","2","1",0.145641828293377
"25","c-25","3","4",0
"26","c-26","2","1",0.663967599492951
"27","c-27","2","1",1
"28","c-28","2","1",0.143844606938541
"29","c-29","2","1",1
"30","c-30","2","1",0.269541935529903
"31","c-31","2","1",1
"32","c-32","2","1",0.0946681772607355
"33","c-33","2","1",1
"34","c-34","3","2",0.738455138240293
"35","c-35","2","1",0.430129184041999
"36","c-36","3","2",0
"37","c-37","2","1",0.980651804676542
"38","c-38","2","1",0.536821413780117
"39","c-39","3","2",0.912702035837277
"40","c-40","2","1",0.164601236907365
"41","c-41","2","1",0.559774976291798
"42","c-42","2","1",1
"43","c-43","2","1",1
"44","c-44","2","1",0.931530433681166
"45","c-45","2","1",1
"46","c-46","2","1",0.7197198775996
"47","c-47","2","1",1
"48","c-48","2","1",1
"49","c-49","2","1",0.928039924727424
"50","c-50","2","1",1
"51","c-51","2","1",0.984227582479357
"52","c-52","3","4",0
"53","c-53","3","2",0
"54","c-54","2","1",1
"55","c-55","2","1",1
"56","c-56","3","4",0.270868205363393
"57","c-57","2","1",1
"58","c-58","2","1",0.0837195254582747
"59","c-59","3","2",0.777502534355677
"60","c-60","2","1",0.835571441203651
"61","c-61","2","1",1
"62","c-62","3","4",0
