"","from","to","length","directed"
"1","Y_154","Y_166",0.344469461440824,FALSE
"2","Y_147","Y_150",0.320262172819502,FALSE
"3","Y_109","Y_124",2.95973126053667,FALSE
"4","Y_105","Y_154",6.81113418259072,FALSE
"5","Y_38","Y_218",3.99013098839059,FALSE
"6","Y_124","Y_148",1.86390146398161,FALSE
"7","Y_161","Y_218",1.6300417514868,FALSE
"8","Y_26","Y_29",2.05086206258259,FALSE
"9","Y_103","Y_147",4.47306968542488,FALSE
"10","Y_38","Y_223",5.28155175080113,FALSE
"11","Y_103","Y_223",4.95745258933227,FALSE
"12","Y_105","Y_194",2.60626295518436,FALSE
"13","Y_154","Y_223",4.50833184661926,FALSE
"14","Y_26","Y_147",1.20325736533837,FALSE
"15","Y_38","Y_67",0.69955454469267,FALSE
"16","Y_26","Y_57",2.94652770591183,FALSE
"17","Y_57","Y_160",4.48448635721673,FALSE
"18","Y_103","Y_113",0.919372058028577,FALSE
"19","Y_105","Y_124",2.5906140528574,FALSE
"20","Y_8","Y_57",0.582145958939467,FALSE
"21","Y_176","Y_218",1.55142934435235,FALSE
