"","cell_id","from","to","percentage"
"1","c-10","Y_154","Y_166",1
"2","c-23","Y_154","Y_166",1
"3","c-33","Y_154","Y_166",1
"4","c-45","Y_154","Y_166",1
"5","c-58","Y_154","Y_166",1
"6","c-60","Y_154","Y_166",1
"7","c-89","Y_154","Y_166",1
"8","c-112","Y_154","Y_166",1
"9","c-115","Y_154","Y_166",1
"10","c-116","Y_154","Y_166",1
"11","c-153","Y_154","Y_166",1
"12","c-174","Y_154","Y_166",1
"13","c-225","Y_154","Y_166",1
"14","c-241","Y_154","Y_166",1
"15","c-273","Y_154","Y_166",1
"16","c-330","Y_154","Y_166",1
"17","c-338","Y_154","Y_166",1
"18","c-457","Y_154","Y_166",1
"19","c-460","Y_154","Y_166",1
"20","c-473","Y_154","Y_166",1
"21","c-489","Y_154","Y_166",1
"22","c-500","Y_154","Y_166",1
"23","c-521","Y_154","Y_166",1
"24","c-572","Y_154","Y_166",1
"25","c-613","Y_154","Y_166",1
"26","c-646","Y_154","Y_166",1
"27","c-660","Y_154","Y_166",1
"28","c-669","Y_154","Y_166",1
"29","c-670","Y_154","Y_166",1
"30","c-673","Y_154","Y_166",1
"31","c-684","Y_154","Y_166",1
"32","c-698","Y_154","Y_166",1
"33","c-720","Y_154","Y_166",1
"34","c-724","Y_154","Y_166",1
"35","c-735","Y_154","Y_166",1
"36","c-753","Y_154","Y_166",1
"37","c-865","Y_154","Y_166",1
"38","c-951","Y_154","Y_166",1
"39","c-963","Y_154","Y_166",1
"40","c-974","Y_154","Y_166",1
"41","c-983","Y_154","Y_166",1
"42","c-1030","Y_154","Y_166",1
"43","c-1096","Y_154","Y_166",1
"44","c-1098","Y_154","Y_166",1
"45","c-1108","Y_154","Y_166",1
"46","c-1130","Y_154","Y_166",1
"47","c-1167","Y_154","Y_166",1
"48","c-1189","Y_154","Y_166",1
"49","c-1194","Y_154","Y_166",1
"50","c-1200","Y_154","Y_166",1
"51","c-1210","Y_154","Y_166",1
"52","c-1211","Y_154","Y_166",1
"53","c-1212","Y_154","Y_166",1
"54","c-1233","Y_154","Y_166",1
"55","c-1260","Y_154","Y_166",1
"56","c-1310","Y_154","Y_166",1
"57","c-1393","Y_154","Y_166",1
"58","c-1401","Y_154","Y_166",1
"59","c-1427","Y_154","Y_166",1
"60","c-1430","Y_154","Y_166",1
"61","c-1448","Y_154","Y_166",1
"62","c-1449","Y_154","Y_166",1
"63","c-1455","Y_154","Y_166",1
"64","c-1482","Y_154","Y_166",1
"65","c-1491","Y_154","Y_166",1
"66","c-1533","Y_154","Y_166",1
"67","c-1599","Y_154","Y_166",1
"68","c-1613","Y_154","Y_166",1
"69","c-1622","Y_154","Y_166",1
"70","c-1639","Y_154","Y_166",1
"71","c-1679","Y_154","Y_166",1
"72","c-1720","Y_154","Y_166",1
"73","c-1798","Y_154","Y_166",1
"74","c-1861","Y_154","Y_166",1
"75","c-1875","Y_154","Y_166",1
"76","c-1891","Y_154","Y_166",1
"77","c-1912","Y_154","Y_166",1
"78","c-1928","Y_154","Y_166",1
"79","c-1942","Y_154","Y_166",1
"80","c-1949","Y_154","Y_166",1
"81","c-1996","Y_154","Y_166",1
"82","c-1999","Y_154","Y_166",1
"83","c-53","Y_147","Y_150",1
"84","c-54","Y_147","Y_150",1
"85","c-122","Y_147","Y_150",1
"86","c-445","Y_147","Y_150",1
"87","c-471","Y_147","Y_150",1
"88","c-509","Y_147","Y_150",1
"89","c-711","Y_147","Y_150",1
"90","c-750","Y_147","Y_150",1
"91","c-809","Y_147","Y_150",1
"92","c-821","Y_147","Y_150",1
"93","c-828","Y_147","Y_150",1
"94","c-889","Y_147","Y_150",1
"95","c-907","Y_147","Y_150",1
"96","c-938","Y_147","Y_150",1
"97","c-944","Y_147","Y_150",1
"98","c-947","Y_147","Y_150",1
"99","c-1024","Y_147","Y_150",1
"100","c-1035","Y_147","Y_150",1
"101","c-1037","Y_147","Y_150",1
"102","c-1215","Y_147","Y_150",1
"103","c-1360","Y_147","Y_150",1
"104","c-1389","Y_147","Y_150",1
"105","c-1567","Y_147","Y_150",1
"106","c-1610","Y_147","Y_150",1
"107","c-1636","Y_147","Y_150",1
"108","c-1646","Y_147","Y_150",1
"109","c-1660","Y_147","Y_150",1
"110","c-1670","Y_147","Y_150",1
"111","c-1688","Y_147","Y_150",1
"112","c-1693","Y_147","Y_150",1
"113","c-1740","Y_147","Y_150",1
"114","c-1748","Y_147","Y_150",1
"115","c-1812","Y_147","Y_150",1
"116","c-1884","Y_147","Y_150",1
"117","c-1936","Y_147","Y_150",1
