"","cell_id","from","to","percentage"
"1","c-1","1","4",0.639972805976868
"2","c-2","1","2",0.0253073312342167
"3","c-3","1","4",0.459317207336426
"4","c-4","4","2",0.261406004428864
"5","c-5","1","4",0.455564707517624
"6","c-6","1","2",0.959310472011566
"7","c-7","1","4",0.465105354785919
"8","c-8","1","4",0.299935132265091
"9","c-9","4","6",0.518270134925842
"10","c-10","1","4",0.516915082931519
"11","c-11","4","2",0.466899245977402
"12","c-12","1","4",0.616466224193573
"13","c-13","1","4",0.502222120761871
"14","c-14","1","4",0.353644549846649
"15","c-15","1","4",0.526876091957092
"16","c-16","4","2",0.884916961193085
"17","c-17","1","4",0.206459492444992
"18","c-18","1","4",0.284313410520554
"19","c-19","1","4",0.874376058578491
"20","c-20","1","4",0.110165402293205
"21","c-21","1","4",0.893262326717377
"22","c-22","4","2",0.712400913238525
"23","c-23","4","2",0.05934838950634
"24","c-24","1","4",0.685423195362091
"25","c-25","4","6",0.463500827550888
"26","c-26","2","5",0.255838721990585
"27","c-27","2","5",0.448575168848038
"28","c-28","2","5",0.289663434028625
"29","c-29","1","2",0.0908947959542274
"30","c-30","1","4",0.376683682203293
"31","c-31","4","2",0.562046408653259
"32","c-32","4","6",0.975820660591125
"33","c-33","1","4",0.504670143127441
"34","c-34","1","4",0.79005229473114
"35","c-35","1","4",0.240235283970833
"36","c-36","1","4",0.775012373924255
"37","c-37","4","6",0.555921494960785
"38","c-38","4","6",0.393839627504349
"39","c-39","2","5",0.397236853837967
"40","c-40","1","4",0.303591042757034
"41","c-41","4","2",0.686906516551971
"42","c-42","1","4",0.461802631616592
"43","c-43","1","2",0.583394765853882
"44","c-44","4","6",0.617158174514771
"45","c-45","1","4",0.490030467510223
"46","c-46","4","2",0.605986535549164
"47","c-47","2","5",0.164898931980133
"48","c-48","1","4",0.515123665332794
"49","c-49","4","2",0.493049293756485
"50","c-50","1","4",0.258556813001633
"51","c-51","3","1",0.0604810453951359
"52","c-52","1","4",0.412427961826324
"53","c-53","3","1",0.244552031159401
"54","c-54","3","1",0.11693711578846
"55","c-55","4","2",0.0527075231075287
"56","c-56","4","6",0.469613373279572
"57","c-57","1","4",0.253244251012802
"58","c-58","1","4",0.496722102165222
"59","c-59","4","6",0.65411913394928
"60","c-60","1","4",0.528141379356384
"61","c-61","4","6",0.638057470321655
"62","c-62","1","4",0.471557050943375
"63","c-63","4","6",0.519482254981995
"64","c-64","1","2",0.949886322021484
"65","c-65","4","6",0.572397410869598
"66","c-66","4","2",0.577303051948547
"67","c-67","4","6",0.358915209770203
"68","c-68","1","4",0.109951637685299
"69","c-69","1","4",0.616280734539032
"70","c-70","4","6",0.607551097869873
"71","c-71","1","4",0.523643374443054
"72","c-72","3","1",0.974657714366913
"73","c-73","1","4",0.537986218929291
"74","c-74","1","4",0.180905297398567
"75","c-75","1","4",0.357728123664856
"76","c-76","1","4",0.497233748435974
"77","c-77","1","4",0.237923845648766
"78","c-78","1","4",0.534680902957916
