"","cell_id","from","to","percentage"
"1","c-1","3","1",0.66067483702764
"2","c-2","6","2",1
"3","c-3","3","1",0.134550037146983
"4","c-4","4","3",0.379388431337301
"5","c-5","4","3",0.975808041390293
"6","c-6","5","4",0
"7","c-7","4","3",0.861603494162848
"8","c-8","3","1",0.118333951648261
"9","c-9","3","1",1
"10","c-10","4","3",0.797555219777058
"11","c-11","4","3",0.234011752856998
"12","c-12","3","1",0.684284456244163
"13","c-13","3","1",0.454911705332446
"14","c-14","3","1",0.1243661584144
"15","c-15","4","3",0.728088879966889
"16","c-16","5","4",0.901801514731138
"17","c-17","3","6",0.343276959100053
"18","c-18","3","6",0.152783553743564
"19","c-19","3","1",1
"20","c-20","3","6",0.494993191450662
"21","c-21","3","1",1
"22","c-22","4","3",0.0107364987228781
"23","c-23","4","3",0.723567017941439
"24","c-24","3","1",0.740448163906277
"25","c-25","3","1",0.967790892874364
"26","c-26","5","4",0.331866677769432
"27","c-27","5","4",0.0949362121475781
"28","c-28","5","4",0
"29","c-29","6","2",1
"30","c-30","3","1",0.205313723438035
"31","c-31","5","4",0.811573298418572
"32","c-32","3","1",1
"33","c-33","4","3",0.857448383858054
"34","c-34","3","1",0.947772688892483
"35","c-35","3","6",0.234270050980763
"36","c-36","3","1",0.815215525862447
"37","c-37","3","1",0.98890598469159
"38","c-38","3","1",1
"39","c-39","5","4",0.294986210220866
"40","c-40","3","6",0.138563695051608
"41","c-41","5","4",0.493492719414669
"42","c-42","4","3",0.998381174037594
"43","c-43","6","2",1
"44","c-44","3","1",1
"45","c-45","4","3",0.833875064419435
"46","c-46","5","4",0.548880859155522
"47","c-47","5","4",0.285908453314058
"48","c-48","4","3",0.797391691716594
"49","c-49","5","4",0.919491419369694
"50","c-50","3","1",0.116313196565183
"51","c-51","6","2",0.745098810862426
"52","c-52","3","1",0.120572921649847
"53","c-53","6","2",0.572533712918473
"54","c-54","6","2",0.756913679310846
"55","c-55","4","3",0.557459613165348
"56","c-56","3","1",1
"57","c-57","3","6",0.238618993887445
"58","c-58","4","3",0.898497390772968
"59","c-59","3","1",1
"60","c-60","4","3",0.754308311658087
"61","c-61","3","1",1
"62","c-62","3","1",0.131816581954218
"63","c-63","3","1",0.98861773109637
"64","c-64","5","4",0.109121464576893
"65","c-65","3","1",0.950030148276679
"66","c-66","5","4",0.885799235502517
"67","c-67","3","1",1
"68","c-68","3","6",0.51778628223157
"69","c-69","3","1",0.678687253580545
"70","c-70","3","1",1
"71","c-71","3","1",0.0483111331026859
"72","c-72","3","6",0.482239027301651
"73","c-73","3","1",0.44096001943267
"74","c-74","3","6",0.311077558449039
"75","c-75","3","1",0.156621722803856
"76","c-76","3","1",0.076792406841081
"77","c-77","3","6",0.283250955580879
"78","c-78","3","1",0.529417691835301
"79","c-79","5","4",0.747750480226448
"80","c-80","3","1",1
"81","c-81","6","2",0.202012081233095
"82","c-82","3","6",0.232614713186028
"83","c-83","3","1",0.935538953437891
"84","c-84","3","1",0.730760578013668
"85","c-85","4","3",0.708417674616131
"86","c-86","3","1",1
"87","c-87","4","3",0.0291538889691148
"88","c-88","3","6",0.470194207716209
"89","c-89","4","3",0.68186162426983
"90","c-90","3","1",0.990098689484964
"91","c-91","3","6",0.114354332877358
"92","c-92","5","4",0
"93","c-93","5","4",0
"94","c-94","3","1",0.127788049819045
"95","c-95","3","1",0.1207504717002
"96","c-96","3","1",0.976061304601625
"97","c-97","3","6",0.248902160306953
"98","c-98","5","4",0.74545432255395
"99","c-99","3","6",0.184947747075925
"100","c-100","5","4",0
"101","c-101","3","1",0.584853055374123
"102","c-102","3","1",0.139377695915463
"103","c-103","3","1",0.798693395070397
"104","c-104","3","1",0.540290903439867
"105","c-105","5","4",0.797890061802681
"106","c-106","6","2",0.380584916706477
"107","c-107","4","3",0.27658504019672
"108","c-108","6","2",0.0961030921986828
"109","c-109","6","2",0.457456287198201
"110","c-110","3","1",1
"111","c-111","4","3",0.0976050549660512
"112","c-112","4","3",0.691179722835309
"113","c-113","4","3",0.820580165899953
"114","c-114","6","2",1
"115","c-115","4","3",0.871700600089757
"116","c-116","3","1",0.0952090644178644
"117","c-117","3","1",0.566907625905712
"118","c-118","6","2",1
"119","c-119","6","2",1
"120","c-120","3","6",0.19013257524141
"121","c-121","6","2",0.538428804774456
"122","c-122","6","2",0.58402734412471
"123","c-123","3","6",0.158355620950631
"124","c-124","3","1",0.116827031463549
"125","c-125","3","1",1
"126","c-126","3","1",1
"127","c-127","3","1",0.167980228687403
"128","c-128","4","3",0.978960953832479
"129","c-129","5","4",0.546398335725884
"130","c-130","3","1",1
"131","c-131","3","1",0.964930041761617
"132","c-132","5","4",0.885872917077913
"133","c-133","3","1",1
"134","c-134","5","4",0.486240296931242
"135","c-135","4","3",0.647549057946932
"136","c-136","6","2",0.369940409279015
"137","c-137","3","1",0.0841758242093438
"138","c-138","3","1",0.98034999463495
"139","c-139","3","1",0.830263564784499
"140","c-140","3","1",1
"141","c-141","3","1",1
"142","c-142","3","6",0.203845015238159
"143","c-143","6","2",0.0166591890380418
"144","c-144","5","4",0
"145","c-145","3","1",1
"146","c-146","3","1",1
"147","c-147","3","1",1
"148","c-148","6","2",0.835452791632517
"149","c-149","3","6",0.139597814284087
"150","c-150","5","4",0.787547301118031
"151","c-151","3","1",0.121786047872886
"152","c-152","3","6",0.126478342497676
"153","c-153","4","3",0.692766658207824
"154","c-154","6","2",1
"155","c-155","6","2",1
"156","c-156","6","2",0.820726199105097
"157","c-157","6","2",1
"158","c-158","5","4",0
"159","c-159","3","6",0.115117867118702
"160","c-160","3","1",1
"161","c-161","3","1",1
"162","c-162","5","4",0
"163","c-163","3","1",1
"164","c-164","3","1",1
"165","c-165","3","1",1
"166","c-166","3","1",0.935117726941152
"167","c-167","6","2",0.117791972792812
"168","c-168","6","2",0.825324857914319
"169","c-169","6","2",1
"170","c-170","3","1",1
"171","c-171","4","3",0.0210458208296451
"172","c-172","3","6",0.355687259130338
"173","c-173","3","1",0.47675513999916
"174","c-174","4","3",0.878028294478006
"175","c-175","3","1",0.570622555365837
"176","c-176","3","1",0.931222302131321
"177","c-177","3","1",0.728397348783679
"178","c-178","4","3",0.00768641399255001
"179","c-179","3","1",0.151262435028707
"180","c-180","3","1",0.0110546216324652
"181","c-181","6","2",0.91043625763826
"182","c-182","3","1",0.255410378386615
"183","c-183","6","2",0.353116917285113
"184","c-184","3","6",0.156684098718139
"185","c-185","6","2",1
"186","c-186","5","4",0
"187","c-187","5","4",0.158742450183261
"188","c-188","5","4",0.147649180309457
"189","c-189","3","1",1
"190","c-190","4","3",0.422095117599874
"191","c-191","6","2",0.0885137586852907
"192","c-192","3","1",1
"193","c-193","3","1",1
"194","c-194","6","2",1
"195","c-195","3","1",0.843900211059767
"196","c-196","5","4",0
"197","c-197","5","4",0
"198","c-198","6","2",0.959811376552925
"199","c-199","5","4",0
"200","c-200","3","1",1
"201","c-201","6","2",1
"202","c-202","3","1",1
"203","c-203","3","1",1
"204","c-204","3","6",0.850737839469149
"205","c-205","3","1",0.655001476736856
"206","c-206","6","2",1
"207","c-207","3","1",1
"208","c-208","3","1",1
"209","c-209","5","4",0.736923312839553
"210","c-210","3","1",1
"211","c-211","4","3",0.00474768850012653
"212","c-212","4","3",0.659067043267552
"213","c-213","3","1",1
"214","c-214","6","2",1
"215","c-215","3","1",0.595060195426252
"216","c-216","6","2",0.923184321377921
"217","c-217","3","1",1
"218","c-218","3","6",0.502576834983603
"219","c-219","4","3",0.621486322337266
"220","c-220","3","1",0.0383104984480292
"221","c-221","3","1",1
"222","c-222","6","2",0.921525894070725
"223","c-223","3","1",0.68461556880148
"224","c-224","3","1",0.031756617784721
"225","c-225","4","3",0.930222315674649
"226","c-226","3","1",0.236577643439713
"227","c-227","5","4",0.791160146797642
"228","c-228","3","1",1
"229","c-229","5","4",0.350649315435757
"230","c-230","6","2",0.861555606367873
"231","c-231","6","2",1
"232","c-232","3","1",1
"233","c-233","3","1",0.0319590524686594
"234","c-234","3","6",0.437901819134887
"235","c-235","6","2",0.92693921838901
"236","c-236","3","1",0.88225538513424
