"","cell_id","from","to","percentage"
"1","c-1","2","3",0.300620704889297
"2","c-2","1","4",0.782195687294006
"3","c-3","1","4",0.810498595237732
"4","c-4","3","5",0.0269856043159962
"5","c-5","1","4",0.889710545539856
"6","c-6","3","5",0.0337734892964363
"7","c-7","2","3",0.744184076786041
"8","c-8","1","4",0.856156229972839
"9","c-9","2","3",0.770360708236694
"10","c-10","3","5",0.0269071795046329
"11","c-11","3","5",0.0475548841059208
"12","c-12","2","3",0.278928250074387
"13","c-13","3","5",0.0270902309566736
"14","c-14","3","5",0.0269336830824614
"15","c-15","1","4",0.21136699616909
"16","c-16","3","5",0.0103714838624001
"17","c-17","1","4",0.188844472169876
"18","c-18","3","5",0.0228085741400719
"19","c-19","2","3",0.767937123775482
"20","c-20","3","5",0.0500780530273914
"21","c-21","2","3",0.229202315211296
"22","c-22","1","4",0.658363938331604
"23","c-23","1","4",0.880700409412384
"24","c-24","2","3",0.677587032318115
"25","c-25","1","4",0.864496946334839
"26","c-26","1","4",0.279589116573334
"27","c-27","2","3",0.302645117044449
"28","c-28","2","3",0.692111313343048
"29","c-29","3","5",0.0411816611886024
"30","c-30","2","3",0.0901511609554291
"31","c-31","3","5",0.0314624682068825
"32","c-32","2","3",0.258457601070404
"33","c-33","2","3",0.11794201284647
"34","c-34","1","4",0.887159585952759
"35","c-35","3","5",0.985852420330048
"36","c-36","1","4",0.141179412603378
"37","c-37","2","3",0.196191966533661
"38","c-38","3","5",0.0281870644539595
"39","c-39","3","5",0.0115837883204222
"40","c-40","3","5",0.0233669728040695
"41","c-41","2","3",0.538823425769806
"42","c-42","1","4",0.658500909805298
"43","c-43","2","3",0.906899511814117
"44","c-44","3","5",0
"45","c-45","1","4",0.947577774524689
"46","c-46","2","3",0.0706545412540436
"47","c-47","3","5",0.0330750122666359
"48","c-48","3","5",1
"49","c-49","2","3",0.183510735630989
"50","c-50","3","5",0.0230337120592594
"51","c-51","2","3",0.738752007484436
"52","c-52","2","3",0.147253766655922
"53","c-53","1","4",0.930887460708618
"54","c-54","2","3",0.641259133815765
