"","cell_id","from","to","percentage"
"1","c-1","Y_1","Y_8",0
"2","c-2","Y_46","Y_68",0.529368154002562
"3","c-3","Y_1","Y_68",0.422851413044168
"4","c-4","Y_3","Y_68",0.746363491139069
"5","c-5","Y_3","Y_68",0.0584692463311453
"6","c-6","Y_1","Y_68",0.452758774126711
"7","c-7","Y_3","Y_68",0.710714492223491
"8","c-8","Y_3","Y_68",0.0871738566044996
"9","c-9","Y_3","Y_68",0.544211283800002
"10","c-10","Y_1","Y_3",0.686924401156335
"11","c-11","Y_3","Y_68",0.338741849181587
"12","c-12","Y_1","Y_3",0.686924401156335
"13","c-13","Y_3","Y_68",0.165644077501996
"14","c-14","Y_3","Y_68",0.775320336526439
"15","c-15","Y_3","Y_68",0.636777586062986
"16","c-16","Y_1","Y_68",0.682089345553
"17","c-17","Y_46","Y_68",0
"18","c-18","Y_1","Y_68",0.809350200802976
"19","c-19","Y_3","Y_68",0.103821850119023
"20","c-20","Y_1","Y_68",0.145909186576812
"21","c-21","Y_1","Y_68",0.304385387145059
"22","c-22","Y_1","Y_68",0.73044035293972
"23","c-23","Y_1","Y_68",0.51415233581345
"24","c-24","Y_3","Y_68",0.462595888995072
"25","c-25","Y_1","Y_68",0.389580508769707
"26","c-26","Y_1","Y_3",0.686924401156335
"27","c-27","Y_46","Y_68",0
"28","c-28","Y_1","Y_68",0.193048405847571
"29","c-29","Y_1","Y_68",0.0725021881625217
"30","c-30","Y_1","Y_68",0.91924269544505
"31","c-31","Y_1","Y_68",0.10294107602009
"32","c-32","Y_1","Y_68",0.73044035293972
"33","c-33","Y_46","Y_68",0.529368154002562
"34","c-34","Y_1","Y_68",0.193048405847571
"35","c-35","Y_1","Y_68",0.942744040862912
"36","c-36","Y_1","Y_8",0
"37","c-37","Y_46","Y_68",0
"38","c-38","Y_3","Y_68",0.195788860984286
"39","c-39","Y_46","Y_68",0
"40","c-40","Y_3","Y_68",0.775320336526439
"41","c-41","Y_3","Y_68",0.0314250187549597
"42","c-42","Y_1","Y_3",0.855434577933447
"43","c-43","Y_1","Y_68",0.145909186576812
"44","c-44","Y_3","Y_68",0.544211283800002
"45","c-45","Y_1","Y_3",0.193281935619546
"46","c-46","Y_1","Y_68",0.145909186576812
"47","c-47","Y_1","Y_68",0.969926034119362
"48","c-48","Y_1","Y_3",0.436988668548842
"49","c-49","Y_1","Y_68",0.145909186576812
"50","c-50","Y_1","Y_68",0.222543834099106
"51","c-51","Y_3","Y_68",0.525101182576271
"52","c-52","Y_1","Y_68",0.969926034119362
"53","c-53","Y_1","Y_68",1
"54","c-54","Y_46","Y_68",1
"55","c-55","Y_3","Y_68",0.746363491139069
"56","c-56","Y_46","Y_68",0
"57","c-57","Y_3","Y_68",0.381728806714152
"58","c-58","Y_1","Y_68",0.602730554269639
"59","c-59","Y_1","Y_68",0.193048405847571
"60","c-60","Y_3","Y_68",0.934429221778949
"61","c-61","Y_1","Y_68",0.145909186576812
"62","c-62","Y_1","Y_68",0.193048405847571
"63","c-63","Y_1","Y_68",0.969926034119362
"64","c-64","Y_3","Y_68",0.966677614807245
"65","c-65","Y_1","Y_3",0.855434577933447
"66","c-66","Y_1","Y_68",0.422851413044168
"67","c-67","Y_46","Y_68",0
"68","c-68","Y_1","Y_68",0.452758774126711
"69","c-69","Y_1","Y_3",0.686924401156335
"70","c-70","Y_3","Y_68",0.934429221778949
"71","c-71","Y_3","Y_68",0.675657173015547
"72","c-72","Y_1","Y_68",0.682089345553
"73","c-73","Y_1","Y_68",0.452758774126711
"74","c-74","Y_3","Y_68",0.121902101555835
"75","c-75","Y_1","Y_3",0.560170028202134
"76","c-76","Y_1","Y_68",0.0333577914758348
"77","c-77","Y_3","Y_68",0.338741849181587
"78","c-78","Y_46","Y_68",0
"79","c-79","Y_3","Y_68",0.259973352878079
"80","c-80","Y_1","Y_3",0.312524230326196
"81","c-81","Y_1","Y_3",0.436988668548842
"82","c-82","Y_3","Y_68",0.424859207765515
"83","c-83","Y_1","Y_68",0.193048405847571
"84","c-84","Y_3","Y_68",0.966677614807245
"85","c-85","Y_3","Y_68",0.746363491139069
"86","c-86","Y_3","Y_68",0.0871738566044996
"87","c-87","Y_3","Y_68",0.601175087615428
"88","c-88","Y_1","Y_68",0.0725021881625217
"89","c-89","Y_1","Y_68",0.389580508769707
"90","c-90","Y_3","Y_68",0.103821850119023
"91","c-91","Y_3","Y_68",0.195788860984286
"92","c-92","Y_46","Y_68",1
"93","c-93","Y_46","Y_68",0
"94","c-94","Y_3","Y_68",0.966677614807245
"95","c-95","Y_1","Y_68",0.51415233581345
"96","c-96","Y_3","Y_68",0.195788860984286
"97","c-97","Y_1","Y_68",0.540756466275002
"98","c-98","Y_1","Y_3",0.312524230326196
"99","c-99","Y_3","Y_68",0.424859207765515
"100","c-100","Y_3","Y_68",0.103821850119023
"101","c-101","Y_3","Y_68",0.710714492223491
"102","c-102","Y_3","Y_68",0.618191385637327
"103","c-103","Y_46","Y_68",0.529368154002562
"104","c-104","Y_3","Y_68",0.934429221778949
"105","c-105","Y_3","Y_68",0.141812024554207
"106","c-106","Y_3","Y_68",0.618191385637327
"107","c-107","Y_1","Y_3",0.193281935619546
"108","c-108","Y_3","Y_68",0.165644077501996
"109","c-109","Y_3","Y_68",0.710714492223491
"110","c-110","Y_1","Y_68",0.86093898680465
"111","c-111","Y_1","Y_3",0.312524230326196
"112","c-112","Y_1","Y_68",0.682089345553
"113","c-113","Y_3","Y_68",0.601175087615428
"114","c-114","Y_46","Y_68",0
"115","c-115","Y_1","Y_68",0.275156151350557
"116","c-116","Y_46","Y_68",0
"117","c-117","Y_3","Y_68",0.966677614807245
"118","c-118","Y_1","Y_68",0.942744040862912
"119","c-119","Y_3","Y_68",0.966677614807245
"120","c-120","Y_3","Y_68",0.141812024554207
"121","c-121","Y_1","Y_68",0.0725021881625217
"122","c-122","Y_3","Y_68",0.121902101555835
"123","c-123","Y_3","Y_68",0.618191385637327
"124","c-124","Y_3","Y_68",0.544211283800002
"125","c-125","Y_1","Y_3",0.686924401156335
"126","c-126","Y_3","Y_68",0.746363491139069
"127","c-127","Y_1","Y_68",0.5719115910194
"128","c-128","Y_1","Y_8",0.542314470829233
"129","c-129","Y_1","Y_68",0.145909186576812
"130","c-130","Y_1","Y_68",0.145909186576812
"131","c-131","Y_1","Y_68",0.86093898680465
"132","c-132","Y_1","Y_68",0.346204102881696
"133","c-133","Y_1","Y_3",0.686924401156335
"134","c-134","Y_1","Y_68",0.275156151350557
"135","c-135","Y_1","Y_68",0.86093898680465
"136","c-136","Y_1","Y_3",0.312524230326196
"137","c-137","Y_1","Y_68",0.602730554269639
"138","c-138","Y_3","Y_68",0.165644077501996
