"","cell_id","from","to","percentage"
"1","c-1","1","3",0
"2","c-2","6","2",0.942237132823654
"3","c-3","1","3",0.931247994149225
"4","c-4","6","2",1
"5","c-5","4","7",0.0146222845410091
"6","c-6","7","5",0.782072479662079
"7","c-7","6","2",0.0799207579978874
"8","c-8","1","3",0.126998651720746
"9","c-9","5","6",0.50867483708112
"10","c-10","6","2",1
"11","c-11","1","3",0.861091561663388
"12","c-12","7","5",0.34381826648822
"13","c-13","3","4",0.144604993947542
"14","c-14","5","6",0.737597373811349
"15","c-15","1","3",0.774793738608349
"16","c-16","3","4",0.138863766860102
"17","c-17","6","2",1
"18","c-18","3","4",0.391303758699888
"19","c-19","6","2",1
"20","c-20","5","6",0.0163373123778286
"21","c-21","6","2",0.971079531239649
"22","c-22","3","4",0.675549477162624
"23","c-23","1","3",0.153750003409936
"24","c-24","6","2",1
"25","c-25","6","2",0.980510457605047
"26","c-26","6","2",0.804433122580558
"27","c-27","3","4",0.135690244201801
"28","c-28","6","2",0.430019887548447
"29","c-29","4","7",0.013055575806877
"30","c-30","3","4",0.0162975912459119
"31","c-31","5","6",0.725410436707599
"32","c-32","6","2",0.955084455292693
"33","c-33","6","2",1
"34","c-34","3","4",0.063547353276315
"35","c-35","4","7",0.768742071656153
"36","c-36","3","4",0.0570944949062828
"37","c-37","3","4",0.508053987080858
"38","c-38","4","7",0.609886633434476
"39","c-39","6","2",1
"40","c-40","1","3",0.452839277281029
"41","c-41","7","5",0.677468961764461
"42","c-42","6","2",0.857568787327525
"43","c-43","1","3",0
"44","c-44","4","7",0.695643400401801
"45","c-45","3","4",0.933007913736837
"46","c-46","1","3",0.321296702871383
"47","c-47","3","4",0.124923905289836
"48","c-48","6","2",1
"49","c-49","7","5",0.895608384037446
"50","c-50","3","4",0.545043401709344
"51","c-51","4","7",0.926147991684306
"52","c-52","6","2",1
"53","c-53","5","6",0.803966791314461
"54","c-54","5","6",0.558616412715842
"55","c-55","7","5",0.0220923479519887
"56","c-56","4","7",0.0265304275611861
"57","c-57","6","2",1
"58","c-58","5","6",0.907377291040867
"59","c-59","5","6",0.66252181550194
"60","c-60","1","3",0.858398844523134
"61","c-61","1","3",0.0201664839093634
"62","c-62","7","5",0.433378492681636
"63","c-63","5","6",0.743748665028334
"64","c-64","6","2",1
"65","c-65","3","4",0.98715033101951
"66","c-66","5","6",0.179559658292596
"67","c-67","3","4",0.876143028614107
"68","c-68","5","6",0.193121661543187
"69","c-69","3","4",0.887885724509631
"70","c-70","6","2",0.87306390328495
"71","c-71","3","4",0.834679923276067
"72","c-72","7","5",0.545703335624524
"73","c-73","4","7",0.12399256847058
"74","c-74","1","3",0.113748894995287
"75","c-75","4","7",0.212215578747552
"76","c-76","4","7",0.867405471946746
"77","c-77","6","2",0.386232152750128
"78","c-78","6","2",0.789310471362133
"79","c-79","6","2",1
"80","c-80","1","3",0.627519784913505
"81","c-81","1","3",0.955452547391772
"82","c-82","3","4",0.121090197477333
"83","c-83","1","3",0.902378751926469
"84","c-84","5","6",0.808954201570483
"85","c-85","7","5",0.327207384113742
"86","c-86","7","5",0.916834737278751
"87","c-87","5","6",0.493190614022937
"88","c-88","1","3",0.943346069357234
"89","c-89","6","2",0.883913487362713
"90","c-90","1","3",0
"91","c-91","5","6",0.947950498737847
"92","c-92","3","4",0.0270050229769256
"93","c-93","6","2",0.235533442763951
"94","c-94","7","5",0.190532914348696
"95","c-95","4","7",0.12744966379602
"96","c-96","1","3",0.971539075470886
"97","c-97","3","4",0.552328580267172
"98","c-98","6","2",0.586267535631109
"99","c-99","6","2",0.371410843043538
"100","c-100","6","2",1
"101","c-101","3","4",0.41083005950617
"102","c-102","5","6",0.858115312948186
"103","c-103","5","6",0.873194225689898
"104","c-104","1","3",0.167349225617767
"105","c-105","5","6",0.157756813225124
"106","c-106","1","3",0.974259062204452
"107","c-107","6","2",0.129412571178959
"108","c-108","7","5",0.0613028336958124
"109","c-109","6","2",1
"110","c-110","3","4",0.811115019338676
"111","c-111","6","2",1
"112","c-112","4","7",0.784908820957348
"113","c-113","3","4",0.721690735760256
"114","c-114","4","7",0.455580915783622
"115","c-115","6","2",1
"116","c-116","1","3",0.717582375775008
"117","c-117","1","3",0.680490741079881
"118","c-118","6","2",0.546011479780953
"119","c-119","5","6",0.264888914045562
"120","c-120","1","3",0.823459888522144
"121","c-121","3","4",0.13530649894666
"122","c-122","6","2",0.805174733743913
"123","c-123","3","4",0.276767479895854
"124","c-124","4","7",0.657979887453754
"125","c-125","1","3",0
"126","c-126","5","6",0.26661228420851
"127","c-127","3","4",0.123960238522344
"128","c-128","3","4",0.140961459434302
"129","c-129","1","3",0.0405104070366091
"130","c-130","6","2",1
"131","c-131","6","2",0.42377584985585
"132","c-132","7","5",0.9068017769093
"133","c-133","6","2",0.404888437953987
"134","c-134","7","5",0.74810172879546
"135","c-135","4","7",0.219674211140244
"136","c-136","7","5",0.830209611387042
"137","c-137","6","2",0.687975202200155
"138","c-138","5","6",0.263730147390708
"139","c-139","3","4",0.814711119764621
"140","c-140","6","2",0.846120383467431
"141","c-141","3","4",0.13211415112105
"142","c-142","7","5",0.551546996726907
"143","c-143","5","6",0.559511696058068
"144","c-144","3","4",0.127421579200709
"145","c-145","6","2",0.684497218712536
"146","c-146","3","4",0.0919469771819906
"147","c-147","6","2",0.107494601769553
"148","c-148","6","2",0.0111993927339827
"149","c-149","7","5",0.325053847499518
"150","c-150","3","4",0.909179036967329
"151","c-151","3","4",0.153260295203109
"152","c-152","6","2",1
"153","c-153","7","5",0.638806482186433
"154","c-154","3","4",0.0772059648723452
"155","c-155","7","5",0.883925837839431
"156","c-156","7","5",0.421507775008333
"157","c-157","6","2",1
"158","c-158","4","7",0.672799701682843
"159","c-159","4","7",0.180436241088122
"160","c-160","6","2",1
"161","c-161","4","7",0.333521454928957
"162","c-162","5","6",0.390888628517472
"163","c-163","3","4",0.955341202908254
"164","c-164","6","2",1
"165","c-165","6","2",1
"166","c-166","4","7",0.289468204215191
"167","c-167","6","2",0.762205520551906
"168","c-168","1","3",0.695621244620159
"169","c-169","7","5",0.672426870782502
"170","c-170","1","3",0.40651923606878
"171","c-171","6","2",1
"172","c-172","3","4",0.777877314265661
"173","c-173","3","4",0.138863766860102
"174","c-174","1","3",0
"175","c-175","5","6",0.694845826661905
"176","c-176","6","2",0.999008131098655
"177","c-177","6","2",0.303533613471293
"178","c-178","3","4",0.884858170501585
"179","c-179","7","5",0.280509647303194
"180","c-180","6","2",0.0109985456090619
"181","c-181","1","3",0.925270570468125
"182","c-182","5","6",0.0336214455070471
"183","c-183","5","6",0.37252236966459
"184","c-184","7","5",0.976164430831204
"185","c-185","1","3",0.948189046306555
"186","c-186","3","4",0.21184611170179
"187","c-187","6","2",0.609308491960293
"188","c-188","6","2",0.503983506609637
"189","c-189","1","3",0.0682328912544241
"190","c-190","6","2",0.978220006469948
"191","c-191","3","4",0.102226121782663
"192","c-192","5","6",0.164124125163017
"193","c-193","4","7",0.260372399634608
"194","c-194","6","2",1
"195","c-195","6","2",1
"196","c-196","6","2",0.0706237010848468
"197","c-197","5","6",0.298158735956515
"198","c-198","6","2",0.572121112454293
"199","c-199","6","2",0.0648914271890521
"200","c-200","3","4",0.146840347050217
"201","c-201","1","3",0
"202","c-202","5","6",0.544383201231407
"203","c-203","7","5",0.649690543883367
"204","c-204","7","5",0.956111795462425
"205","c-205","1","3",0
"206","c-206","1","3",0.799610502131713
