"","cell_id","from","to","percentage"
"1","c-1","Y_2","Y_33",0
"2","c-2","Y_2","Y_33",0
"3","c-3","Y_2","Y_33",0.0224578876503383
"4","c-4","Y_2","Y_33",0
"5","c-5","Y_2","Y_33",0
"6","c-6","Y_2","Y_33",0
"7","c-7","Y_2","Y_33",0.0224578876503383
"8","c-8","Y_2","Y_33",0
"9","c-9","Y_2","Y_33",0
"10","c-10","Y_2","Y_33",0
"11","c-11","Y_2","Y_33",0
"12","c-12","Y_2","Y_33",0
"13","c-13","Y_2","Y_33",0
"14","c-14","Y_2","Y_33",0
"15","c-15","Y_2","Y_33",0
"16","c-16","Y_2","Y_33",0.0224578876503383
"17","c-17","Y_2","Y_33",0
"18","c-18","Y_2","Y_33",0.0649080364180923
"19","c-19","Y_2","Y_33",0.0649080364180923
"20","c-20","Y_2","Y_33",0
"21","c-21","Y_2","Y_33",0
"22","c-22","Y_2","Y_33",0.0224578876503383
"23","c-23","Y_2","Y_33",0.0224578876503383
"24","c-24","Y_2","Y_33",0.0649080364180923
"25","c-25","Y_2","Y_33",0
"26","c-26","Y_2","Y_33",0
"27","c-27","Y_2","Y_33",0
"28","c-28","Y_2","Y_33",0.0224578876503383
"29","c-29","Y_2","Y_33",0.0224578876503383
"30","c-30","Y_2","Y_33",0.0224578876503383
"31","c-31","Y_2","Y_33",0.0224578876503383
"32","c-32","Y_2","Y_33",0.0224578876503383
"33","c-33","Y_2","Y_33",0.0224578876503383
"34","c-34","Y_2","Y_33",0
"35","c-35","Y_2","Y_33",0
"36","c-36","Y_2","Y_33",0
"37","c-37","Y_2","Y_33",0
"38","c-38","Y_2","Y_33",0
"39","c-39","Y_2","Y_33",0
"40","c-40","Y_2","Y_33",0
"41","c-41","Y_2","Y_33",0.0649080364180923
"42","c-42","Y_2","Y_33",0
"43","c-43","Y_2","Y_33",0
"44","c-44","Y_2","Y_33",0
"45","c-45","Y_2","Y_33",0
"46","c-46","Y_2","Y_33",0
"47","c-47","Y_2","Y_33",0
"48","c-48","Y_2","Y_33",0.0224578876503383
"49","c-49","Y_2","Y_33",0.0224578876503383
"50","c-50","Y_2","Y_33",0.0224578876503383
"51","c-51","Y_2","Y_33",0.0649080364180923
"52","c-52","Y_2","Y_33",0
"53","c-53","Y_2","Y_33",0.0224578876503383
"54","c-54","Y_2","Y_33",0
