"","cell_id","from","to","percentage"
"1","c-1","4","3",0.461970627307892
"2","c-2","4","3",0.515404403209686
"3","c-3","4","3",0.222167894244194
"4","c-4","4","3",0.423759251832962
"5","c-5","4","3",0.368472993373871
"6","c-6","4","3",0.482375085353851
"7","c-7","4","3",0.145507752895355
"8","c-8","4","3",0.383199393749237
"9","c-9","4","3",0.501363694667816
"10","c-10","4","3",0.508258163928986
"11","c-11","4","3",0.433624655008316
"12","c-12","4","3",0.268118739128113
"13","c-13","4","3",0.861769378185272
"14","c-14","4","3",0.501595497131348
"15","c-15","4","3",0.302278488874435
"16","c-16","4","3",0.165242210030556
"17","c-17","4","3",0.413758993148804
"18","c-18","4","3",0.135369300842285
"19","c-19","4","3",0.072533518075943
"20","c-20","4","3",0.346800744533539
"21","c-21","4","3",0.269984304904938
"22","c-22","4","3",0.0621017627418041
"23","c-23","4","3",0.268129736185074
"24","c-24","4","3",0.0521657764911652
"25","c-25","4","3",0.344510763883591
"26","c-26","4","3",0.610237002372742
"27","c-27","4","3",0.559674680233002
"28","c-28","4","3",0.462031990289688
"29","c-29","4","3",0.205932900309563
"30","c-30","4","3",0.165030002593994
"31","c-31","4","3",0.169779375195503
"32","c-32","4","3",0.296763300895691
"33","c-33","4","3",0.125626742839813
"34","c-34","4","3",0.536099195480347
"35","c-35","4","3",0.470695555210114
"36","c-36","4","3",0.476015269756317
"37","c-37","4","3",0.446733057498932
"38","c-38","4","3",0.338502675294876
"39","c-39","4","3",0.45409619808197
"40","c-40","4","3",0.3594009578228
"41","c-41","4","3",0.0320527032017708
"42","c-42","4","3",0.180273428559303
"43","c-43","4","3",0.52635133266449
"44","c-44","4","3",0.584269642829895
"45","c-45","4","3",0.458778709173203
"46","c-46","4","3",0.490659564733505
"47","c-47","4","3",0.379045903682709
"48","c-48","4","3",0.107389129698277
"49","c-49","4","3",0.345683157444
"50","c-50","4","3",0.156615018844604
"51","c-51","4","3",0.0801387056708336
"52","c-52","4","3",0.482997417449951
"53","c-53","4","3",0.218956977128983
"54","c-54","4","3",0.155450835824013
"55","c-55","4","3",0.440268754959106
"56","c-56","4","3",0.555568873882294
"57","c-57","4","3",0.0344245992600918
