"","cell_id","from","to","percentage"
"1","c-1","1","2",0.20632497981939
"2","c-2","1","2",0
"3","c-3","1","2",0.230428682731102
"4","c-4","1","2",0.167148630416963
"5","c-5","1","2",0.208129465477728
"6","c-6","1","2",0
"7","c-7","1","2",0.608497809822725
"8","c-8","1","2",0.230195796067966
"9","c-9","1","2",0
"10","c-10","1","2",0
"11","c-11","1","2",0.152691170480195
"12","c-12","1","2",0.309612645439934
"13","c-13","1","2",0.543966695466578
"14","c-14","1","2",0
"15","c-15","1","2",0.0348619245242201
"16","c-16","1","2",0.623473988640747
"17","c-17","1","2",0
"18","c-18","1","2",0.819632931110294
"19","c-19","1","2",0.720524075077397
"20","c-20","1","2",0.0292322603135254
"21","c-21","1","2",0.295770754367396
"22","c-22","1","2",0.691927525922678
"23","c-23","1","2",0.237252599984592
"24","c-24","1","2",0.784589103744571
"25","c-25","1","2",0.065719796334904
"26","c-26","1","2",0.334240267141943
"27","c-27","1","2",0
"28","c-28","1","2",0
"29","c-29","1","2",0.57427461517107
"30","c-30","1","2",0.643575739356102
"31","c-31","1","2",0.411787165751258
"32","c-32","1","2",0.235382641357721
"33","c-33","1","2",0.606927900961425
"34","c-34","1","2",0
"35","c-35","1","2",0
"36","c-36","1","2",0
"37","c-37","1","2",0
"38","c-38","1","2",0
"39","c-39","1","2",0.00691758317811224
"40","c-40","1","2",0.242378293485845
"41","c-41","1","2",0.709212304051506
"42","c-42","1","2",0.400834779758208
"43","c-43","1","2",0
"44","c-44","1","2",0.53244874861427
"45","c-45","1","2",0.0504560196881928
"46","c-46","1","2",0.0247728562972663
"47","c-47","1","2",0.159822652121613
"48","c-48","1","2",0.534394182954902
"49","c-49","1","2",0.30783557117021
"50","c-50","1","2",0.457890092023667
"51","c-51","1","2",0.793619644968325
"52","c-52","1","2",0
"53","c-53","1","2",0.40902484348622
"54","c-54","1","2",0.504550277727992
"55","c-55","1","2",0.130701052007164
"56","c-56","1","2",0
"57","c-57","1","2",0.698039644930348
"58","c-58","1","2",0.329152790212012
"59","c-59","1","2",0
"60","c-60","1","2",0
"61","c-61","1","2",0.542288952016952
"62","c-62","1","2",0.404937077002384
"63","c-63","1","2",0
"64","c-64","1","2",0
"65","c-65","1","2",0
"66","c-66","1","2",0
"67","c-67","1","2",0
"68","c-68","1","2",0.439676292257938
"69","c-69","1","2",0
"70","c-70","1","2",0
"71","c-71","1","2",0.0519743142128473
"72","c-72","1","2",0
"73","c-73","1","2",0.259376599421437
"74","c-74","1","2",0
"75","c-75","1","2",0.241907403394783
"76","c-76","1","2",0.636900996755719
"77","c-77","1","2",0.60801835675787
"78","c-78","1","2",0
"79","c-79","1","2",0.621989009757866
"80","c-80","1","2",0
"81","c-81","1","2",0.408224072393743
"82","c-82","1","2",0.715530655291495
"83","c-83","1","2",0.31348532897342
"84","c-84","1","2",0
"85","c-85","1","2",0.330471753719577
"86","c-86","1","2",0.215600607503354
"87","c-87","1","2",0
"88","c-88","1","2",0.467224733922106
"89","c-89","1","2",0.883730659895538
"90","c-90","1","2",0.933765353955155
"91","c-91","1","2",0.811090311895969
"92","c-92","1","2",0.869378451528129
"93","c-93","1","2",0.929084534133802
"94","c-94","1","2",0.746634363150064
"95","c-95","1","2",0.916660820124867
"96","c-96","1","2",0.946304485419706
"97","c-97","1","2",0.693956886320992
"98","c-98","1","2",0.810786829714373
"99","c-99","1","2",0.891234574037946
"100","c-100","1","2",0.774838010901478
"101","c-101","1","2",0.960429342901909
"102","c-102","1","2",0.888977476158551
"103","c-103","1","2",0.906797942056708
"104","c-104","1","2",0.892175499691849
"105","c-105","1","2",0.872385565406333
"106","c-106","1","2",0.920722901967997
"107","c-107","1","2",0.863413962794282
"108","c-108","1","2",0.77806997356585
"109","c-109","1","2",0.979244084429508
"110","c-110","1","2",0.894525766400503
"111","c-111","1","2",0.93451675382302
"112","c-112","1","2",0.966786380811179
"113","c-113","1","2",0.85409658365667
