"","from","to","length","directed"
"1","1","2",0.170386761426926,TRUE
"2","2","3",0.316545605659485,TRUE
"3","2","4",0.417429208755493,TRUE
"4","2","2-d2_induceda",0.393205285072327,TRUE
"5","2","2-d2_intermediatea",0.346614211797714,TRUE
"6","2","2-d5_earlyiNa",0.141246616840363,TRUE
"7","2","2-d5_intermediatea",0.129162132740021,TRUE
"8","2-d2_induceda","2-d2_inducedb",0.00273512831756047,TRUE
"9","2-d2_inducedb","2",0.00273512831756047,TRUE
"10","2-d2_intermediatea","2-d2_intermediateb",0.00273512831756047,TRUE
"11","2-d2_intermediateb","2",0.00273512831756047,TRUE
"12","2-d5_earlyiNa","2-d5_earlyiNb",0.00273512831756047,TRUE
"13","2-d5_earlyiNb","2",0.00273512831756047,TRUE
"14","2-d5_intermediatea","2-d5_intermediateb",0.00273512831756047,TRUE
"15","2-d5_intermediateb","2",0.00273512831756047,TRUE
