"","cell_id","from","to","percentage"
"1","c-1","3","2",0.389173865318298
"2","c-2","3","2",0.388463497161865
"3","c-3","3","2",0.380234807729721
"4","c-4","1","5",0.625668346881866
"5","c-5","1","5",0.503380000591278
"6","c-6","3","2",0.59283185005188
"7","c-7","1","5",0.307018578052521
"8","c-8","3","2",0.0764373764395714
"9","c-9","3","2",0.468945235013962
"10","c-10","1","5",0.352887809276581
"11","c-11","3","2",0.0683460384607315
"12","c-12","3","2",0.507214426994324
"13","c-13","3","2",0.513642489910126
"14","c-14","3","2",0.504315614700317
"15","c-15","1","5",0.235804051160812
"16","c-16","3","2",0.468622475862503
"17","c-17","3","2",0.163238719105721
"18","c-18","3","2",0.40204131603241
"19","c-19","1","5",0.57748955488205
"20","c-20","3","2",0.271347850561142
"21","c-21","3","2",0.572213232517242
"22","c-22","1","5",0.258574187755585
"23","c-23","3","2",0.425632297992706
"24","c-24","1","5",0.649078726768494
"25","c-25","1","5",0.370566457509995
"26","c-26","1","5",0.972751557826996
"27","c-27","3","2",0.570665538311005
"28","c-28","3","2",0.503797948360443
"29","c-29","3","2",0.507611691951752
"30","c-30","1","5",0.538176953792572
"31","c-31","3","2",0.703417301177979
"32","c-32","3","2",0.224882617592812
"33","c-33","3","2",0.343633949756622
"34","c-34","3","2",0.48078989982605
"35","c-35","1","5",0.520205199718475
"36","c-36","3","2",0.179830387234688
"37","c-37","3","2",0.518184661865234
"38","c-38","3","2",0.523861825466156
"39","c-39","3","2",0.630593478679657
"40","c-40","1","5",0.380182713270187
"41","c-41","3","2",0.403112590312958
"42","c-42","3","2",0.717330455780029
"43","c-43","3","2",0
"44","c-44","1","5",0.247610971331596
"45","c-45","1","5",0.0894851610064507
"46","c-46","3","2",0.469768911600113
"47","c-47","3","2",0.444093137979507
"48","c-48","1","5",0.561695516109467
"49","c-49","3","2",0.47441029548645
"50","c-50","1","5",1
"51","c-51","3","2",0.560089886188507
"52","c-52","3","2",0.532844364643097
"53","c-53","3","2",0.390224635601044
