"","cell_id","from","to","percentage"
"1","c-2","1","2",0.0471399085344215
"2","c-4","1","2",0.608427505794681
"3","c-5","1","2",0.67276340681879
"4","c-7","1","2",0.835916153593297
"5","c-8","1","2",0.198183923093163
"6","c-10","1","2",0.795312097554014
"7","c-11","1","2",0.0150083209994642
"8","c-15","1","2",0.687793127058266
"9","c-17","1","2",0.329627149279995
"10","c-19","1","2",0.683418469948301
"11","c-20","1","2",0.0674719505283375
"12","c-22","1","2",0.987137472210169
"13","c-24","1","2",0.669151264614076
"14","c-25","1","2",0.986382067914326
"15","c-26","1","2",0.507692786148312
"16","c-27","3","1",0.944473639563536
"17","c-28","1","2",0.0476956488091961
"18","c-30","1","2",0.579226898462893
"19","c-32","1","2",0.0498061042674264
"20","c-33","1","2",0.0855776211420069
"21","c-35","1","2",0.77577214436654
"22","c-36","1","2",0.128736140528646
"23","c-37","1","2",0.0119020333990208
"24","c-40","1","2",0.808620706494705
"25","c-43","1","2",0.330699924228984
"26","c-44","1","2",0.914928021524494
"27","c-45","1","2",1
"28","c-47","1","2",0.0484460936243324
"29","c-48","1","2",0.819147318582989
"30","c-50","1","2",0.524340608531204
"31","c-53","1","2",0.0126166802300837
"32","c-54","1","2",0.12296326409899
"33","c-55","1","2",0.0423724554556034
"34","c-56","1","2",0.751099435118986
"35","c-58","1","2",0.61156514622359
"36","c-60","1","2",0.0993435636796378
"37","c-62","1","2",1
"38","c-63","3","1",0.844295280160248
"39","c-64","1","2",0.719100798517142
"40","c-67","1","2",0.806545912197214
"41","c-68","1","2",0.663901901052933
"42","c-69","1","2",1
"43","c-72","1","2",0.598995873900593
"44","c-74","1","2",0.547681534833106
"45","c-75","1","2",0.0392864661819227
"46","c-78","1","2",0.0262745282998808
"47","c-79","1","2",0.703333013999781
"48","c-80","1","2",0.755076724973782
"49","c-81","1","2",0.219626500325237
"50","c-82","1","2",0.921129249538144
"51","c-83","1","2",1
"52","c-84","1","2",1
"53","c-85","1","2",1
"54","c-86","1","2",0.969415608352438
"55","c-87","1","2",1
"56","c-88","1","2",1
"57","c-89","1","2",0.979374198353098
"58","c-90","1","2",1
"59","c-91","1","2",1
"60","c-92","1","2",1
"61","c-93","1","2",1
"62","c-94","1","2",1
"63","c-95","1","2",0.9824387502739
"64","c-96","1","2",1
"65","c-97","1","2",1
"66","c-98","1","2",1
"67","c-99","1","2",0.995905867271246
"68","c-100","1","2",0.795648053633889
"69","c-101","1","2",1
"70","c-102","1","2",0.972521070173558
"71","c-103","1","2",0.914142576725519
"72","c-104","1","2",1
"73","c-105","1","2",1
"74","c-106","1","2",1
"75","c-107","1","2",1
"76","c-108","1","2",1
"77","c-109","1","2",0.958099822245663
"78","c-110","1","2",1
"79","c-111","1","2",0.586263727245583
"80","c-112","1","2",1
"81","c-113","1","2",1
"82","c-114","1","2",1
"83","c-115","1","2",1
"84","c-116","1","2",1
"85","c-117","1","2",1
"86","c-118","1","2",0.988107454121783
"87","c-119","1","2",1
"88","c-120","1","2",1
"89","c-121","1","2",1
"90","c-122","1","2",1
"91","c-123","1","2",1
"92","c-124","1","2",1
"93","c-125","1","2",0.834177748028383
"94","c-126","1","2",0.989996366849442
"95","c-127","1","2",1
"96","c-128","1","2",0.918489428686928
"97","c-129","1","2",1
"98","c-130","1","2",1
"99","c-131","1","2",0.92180529072833
"100","c-132","1","2",1
"101","c-133","1","2",1
"102","c-134","1","2",0.962822640510396
"103","c-135","1","2",1
"104","c-136","1","2",1
"105","c-137","1","2",0.713879310579943
"106","c-138","1","2",1
"107","c-139","1","2",0.861689571413159
"108","c-140","1","2",1
"109","c-141","1","2",1
"110","c-142","1","2",0.953537858318309
"111","c-143","1","2",1
"112","c-144","1","2",1
"113","c-145","1","2",1
"114","c-146","1","2",1
"115","c-147","1","2",1
"116","c-148","1","2",0.93350606673373
"117","c-149","1","2",0.932595085481214
"118","c-150","1","2",1
"119","c-151","1","2",0.964249395391998
"120","c-152","1","2",1
"121","c-153","1","2",0.909544787237677
"122","c-156","3","1",0.0788974234264143
"123","c-157","5","3",0.910414475840152
"124","c-159","5","3",0.910886083926367
"125","c-162","3","1",0.251046894121044
"126","c-163","3","1",0.268839398639261
"127","c-165","5","3",0.925229734338837
"128","c-169","3","1",0.311916874894478
"129","c-171","5","3",0.741769458843239
"130","c-173","5","3",0.840010619868195
"131","c-176","3","1",0.112438400242941
"132","c-177","5","3",0.56678688768866
"133","c-180","3","1",0.290514087019825
"134","c-182","1","2",0.262380950039952
"135","c-184","5","3",0.781887343318004
"136","c-186","5","3",0.629629868110104
"137","c-188","5","3",0.898581331836222
"138","c-189","1","2",0.170303605932811
"139","c-190","5","3",0.762933190760673
"140","c-191","3","1",0.343826494485941
"141","c-194","5","3",0.140824792721815
