"","cell_id","from","to","percentage"
"1","c-1","Y_1","Y_53",0
"2","c-138","Y_1","Y_53",0
"3","c-139","Y_1","Y_53",0
"4","c-140","Y_1","Y_53",0
"5","c-142","Y_1","Y_53",0
"6","c-263","Y_53","Y_88",0.970492363711432
"7","c-168","Y_53","Y_88",0.425037955143037
"8","c-179","Y_53","Y_88",0.425037955143037
"9","c-180","Y_53","Y_88",0.425037955143037
"10","c-182","Y_53","Y_88",0.425037955143037
"11","c-264","Y_53","Y_88",0.425037955143037
"12","c-266","Y_53","Y_88",0.425037955143037
"13","c-267","Y_53","Y_88",0.425037955143037
"14","c-269","Y_53","Y_88",0.425037955143037
"15","c-271","Y_53","Y_88",0.425037955143037
"16","c-272","Y_53","Y_88",0.425037955143037
"17","c-43","Y_53","Y_88",0.394623397499938
"18","c-171","Y_53","Y_88",0.362704421924873
"19","c-172","Y_53","Y_88",0.394623397499938
"20","c-176","Y_53","Y_88",0.362704421924873
"21","c-178","Y_53","Y_88",0.394623397499938
"22","c-18","Y_53","Y_88",0.0294543443517246
"23","c-146","Y_53","Y_88",0.0450737168406424
"24","c-79","Y_53","Y_88",0.329639660941783
"25","c-82","Y_53","Y_88",0.329639660941783
"26","c-14","Y_53","Y_88",0.158792856351943
"27","c-31","Y_53","Y_88",0.158792856351943
"28","c-34","Y_53","Y_88",0.158792856351943
"29","c-65","Y_53","Y_88",0.158792856351943
"30","c-66","Y_53","Y_88",0.158792856351943
"31","c-75","Y_53","Y_88",0.158792856351943
"32","c-78","Y_53","Y_88",0.158792856351943
"33","c-83","Y_53","Y_88",0.158792856351943
"34","c-149","Y_53","Y_88",0.158792856351943
"35","c-151","Y_53","Y_88",0.158792856351943
"36","c-154","Y_53","Y_88",0.158792856351943
"37","c-155","Y_53","Y_88",0.158792856351943
"38","c-164","Y_53","Y_88",0.158792856351943
"39","c-166","Y_53","Y_88",0.158792856351943
"40","c-167","Y_53","Y_88",0.158792856351943
"41","c-13","Y_53","Y_88",0.123094736529448
"42","c-20","Y_53","Y_88",0.14169589915543
"43","c-35","Y_53","Y_88",0.123094736529448
"44","c-161","Y_53","Y_88",0.14169589915543
"45","c-163","Y_53","Y_88",0.14169589915543
"46","c-3","Y_53","Y_88",0.0907889129186166
"47","c-21","Y_53","Y_88",0.0907889129186166
"48","c-143","Y_53","Y_88",0.0907889129186166
"49","c-217","Y_53","Y_88",1
"50","c-218","Y_53","Y_88",1
"51","c-219","Y_53","Y_88",1
"52","c-220","Y_53","Y_88",1
"53","c-221","Y_53","Y_88",1
"54","c-222","Y_53","Y_88",1
"55","c-223","Y_53","Y_88",1
"56","c-224","Y_53","Y_88",1
"57","c-225","Y_53","Y_88",1
"58","c-226","Y_53","Y_88",1
"59","c-227","Y_53","Y_88",1
"60","c-228","Y_53","Y_88",1
"61","c-229","Y_53","Y_88",1
"62","c-230","Y_53","Y_88",1
"63","c-231","Y_53","Y_88",1
"64","c-232","Y_53","Y_88",1
"65","c-233","Y_53","Y_88",1
"66","c-234","Y_53","Y_88",1
"67","c-235","Y_53","Y_88",1
"68","c-236","Y_53","Y_88",1
"69","c-237","Y_53","Y_88",1
"70","c-238","Y_53","Y_88",1
"71","c-239","Y_53","Y_88",1
"72","c-240","Y_53","Y_88",1
"73","c-241","Y_53","Y_88",1
"74","c-242","Y_53","Y_88",1
"75","c-243","Y_53","Y_88",1
"76","c-244","Y_53","Y_88",1
"77","c-245","Y_53","Y_88",1
"78","c-246","Y_53","Y_88",1
"79","c-247","Y_53","Y_88",1
"80","c-248","Y_53","Y_88",1
"81","c-249","Y_53","Y_88",1
"82","c-250","Y_53","Y_88",1
"83","c-251","Y_53","Y_88",1
"84","c-252","Y_53","Y_88",1
"85","c-253","Y_53","Y_88",1
"86","c-254","Y_53","Y_88",1
"87","c-255","Y_53","Y_88",1
"88","c-256","Y_53","Y_88",1
"89","c-257","Y_53","Y_88",1
"90","c-258","Y_53","Y_88",1
"91","c-259","Y_53","Y_88",1
"92","c-260","Y_53","Y_88",1
"93","c-261","Y_53","Y_88",0.970492363711432
"94","c-262","Y_53","Y_88",0.970492363711432
"95","c-170","Y_53","Y_88",0.425037955143037
"96","c-181","Y_53","Y_88",0.425037955143037
"97","c-183","Y_53","Y_88",0.425037955143037
"98","c-184","Y_53","Y_88",0.425037955143037
"99","c-185","Y_53","Y_88",0.425037955143037
"100","c-186","Y_53","Y_88",0.425037955143037
"101","c-265","Y_53","Y_88",0.425037955143037
"102","c-268","Y_53","Y_88",0.425037955143037
"103","c-270","Y_53","Y_88",0.425037955143037
"104","c-189","Y_53","Y_88",0.455557021273613
"105","c-80","Y_53","Y_88",0.329639660941783
"106","c-177","Y_53","Y_88",0.362704421924873
"107","c-37","Y_53","Y_88",0.0294543443517246
"108","c-141","Y_53","Y_88",0.0157550609315288
"109","c-144","Y_53","Y_88",0.0157550609315288
"110","c-148","Y_53","Y_88",0.0157550609315288
"111","c-5","Y_53","Y_88",0.106899883396615
"112","c-23","Y_53","Y_88",0.106899883396615
"113","c-25","Y_53","Y_88",0.123094736529448
"114","c-76","Y_53","Y_88",0.123094736529448
"115","c-137","Y_53","Y_88",0.0600291626049601
"116","c-147","Y_53","Y_88",0.0600291626049601
"117","c-2","Y_53","Y_88",0.0907889129186166
"118","c-4","Y_53","Y_88",0.0753841034168217
"119","c-145","Y_53","Y_88",0.0753841034168217
"120","c-193","Y_53","Y_76",0.921225394261395
"121","c-187","Y_53","Y_76",0.888235372334281
"122","c-192","Y_53","Y_76",0.888235372334281
"123","c-212","Y_53","Y_76",0.888235372334281
"124","c-198","Y_53","Y_76",0.935404287779504
"125","c-202","Y_53","Y_76",0.935404287779504
"126","c-205","Y_53","Y_76",0.947722103427437
