"","from","to","length","directed"
"1","1","1-10Wa",0.133625537157059,TRUE
"2","1","1-11Wa",0.0605053901672363,TRUE
"3","2","1",0.0422834455966949,TRUE
"4","1","1-7Wa",0.180625602602959,TRUE
"5","1","1-8Wa",0.0758630558848381,TRUE
"6","1","3",0.87640118598938,TRUE
"7","1","1-M19Wa",0.0446692556142807,TRUE
"8","1-10Wa","1-10Wb",0.0020199621043035,TRUE
"9","1-10Wb","1",0.0020199621043035,TRUE
"10","1-11Wa","1-11Wb",0.0020199621043035,TRUE
"11","1-11Wb","1",0.0020199621043035,TRUE
"12","1-7Wa","1-7Wb",0.0020199621043035,TRUE
"13","1-7Wb","1",0.0020199621043035,TRUE
"14","1-8Wa","1-8Wb",0.0020199621043035,TRUE
"15","1-8Wb","1",0.0020199621043035,TRUE
"16","1-M19Wa","1-M19Wb",0.0020199621043035,TRUE
"17","1-M19Wb","1",0.0020199621043035,TRUE
