"","cell_id","from","to","percentage"
"1","c-1","2","1",1
"2","c-2","2","1",1
"3","c-3","2","1",0.930914843167337
"4","c-4","2","1",1
"5","c-5","2","1",1
"6","c-6","2","1",0.575791785473634
"7","c-7","2","1",1
"8","c-8","2","1",0.916960959866506
"9","c-9","2","1",0.681608050011082
"10","c-10","2","1",1
"11","c-11","2","1",0.989625203461634
"12","c-12","2","1",0.828257756825582
"13","c-13","2","1",1
"14","c-14","2","1",1
"15","c-15","2","1",0.647051176844545
"16","c-16","2","1",0.738946720855081
"17","c-17","2","1",0.918148258559252
"18","c-18","2","1",1
"19","c-19","2","1",0.799856414717564
"20","c-20","2","1",1
"21","c-21","2","1",1
"22","c-22","2","1",0.95313313824842
"23","c-23","2","1",1
"24","c-24","2","1",0.717537621540332
"25","c-25","2","1",1
"26","c-26","2","1",0.927169540359815
"27","c-27","2","1",1
"28","c-28","2","1",1
"29","c-29","2","1",1
"30","c-30","2","1",1
"31","c-31","2","1",0.900731829047385
"32","c-32","2","1",0.923920945125664
"33","c-33","2","1",0.906326023539817
"34","c-34","2","1",1
"35","c-35","2","1",0.5937863846217
"36","c-36","2","1",0.902471524531737
"37","c-37","2","1",0.935267589284325
"38","c-38","2","1",1
"39","c-39","2","1",0.750418038627637
"40","c-40","2","1",0.803092585611155
"41","c-41","2","1",1
"42","c-42","2","1",0.851419581695163
"43","c-43","2","1",0.812776347709292
"44","c-44","2","1",0.266687005890403
"45","c-45","2","1",0.562032509093818
"46","c-46","2","1",0.235663478886906
"47","c-47","2","1",0.470289512552097
"48","c-48","2","1",0.534600223492467
"49","c-49","2","1",0.526883446026398
"50","c-50","2","1",0.642379567901886
"51","c-51","2","1",0.198151796647215
"52","c-52","2","1",0.18883251003194
"53","c-53","2","1",0.425151322466654
"54","c-54","2","1",0.381525523309622
"55","c-55","2","1",0.224580824429052
"56","c-56","4","2",0.995128094417746
"57","c-57","2","1",0.635328744415474
"58","c-58","2","1",0.565259489715212
"59","c-59","2","1",0.467556046809384
"60","c-60","2","1",0.0624853119444245
"61","c-61","2","1",0.510082352656344
"62","c-62","2","1",0.676986373246756
"63","c-63","2","1",0.375233980702267
"64","c-64","2","1",1
"65","c-65","2","1",1
"66","c-66","2","1",1
"67","c-67","2","1",1
"68","c-68","2","1",1
"69","c-69","2","1",1
"70","c-70","2","1",1
"71","c-71","2","1",1
"72","c-72","2","1",0.733606881312875
"73","c-73","2","1",1
"74","c-74","2","1",0.935872366875267
"75","c-75","2","1",0.903366744425291
"76","c-76","2","1",0.923339919165479
"77","c-77","2","1",0.378719173739411
"78","c-78","2","1",0.692469297466831
"79","c-79","2","1",0.846362784514113
"80","c-80","2","1",0.601664420685538
"81","c-81","2","1",0.639058193398256
"82","c-82","2","1",0.971453821073303
"83","c-83","2","1",1
