"","from","to","length","directed"
"1","Y_36","Y_47",8.25558019344955,FALSE
"2","Y_36","Y_99",15.6873062301221,FALSE
"3","Y_22","Y_36",1.20184302839846,FALSE
"4","Y_47","Y_71",2.87040407517872,FALSE
"5","Y_47","Y_50",1.94252160888139,FALSE
"6","Y_71","Y_177",2.43085878785617,FALSE
"7","Y_71","Y_205",1.23857508972753,FALSE
"8","Y_116","Y_173",1.79638964017921,FALSE
"9","Y_116","Y_124",2.13883383787153,FALSE
"10","Y_99","Y_116",0.806255542373999,FALSE
"11","Y_99","Y_316",4.28610964971166,FALSE
"12","Y_498","Y_505",6.56068536062333,FALSE
"13","Y_246","Y_392",2.59783122546026,FALSE
"14","Y_290","Y_350",3.0603214097259,FALSE
"15","Y_290","Y_505",2.72933153240494,FALSE
"16","Y_239","Y_246",0.94556769165449,FALSE
"17","Y_246","Y_290",0.561972880455983,FALSE
"18","Y_285","Y_350",6.55015651731414,FALSE
"19","Y_392","Y_458",4.48940723307115,FALSE
"20","Y_316","Y_350",0.621603700079651,FALSE
"21","Y_333","Y_413",3.20617668059544,FALSE
"22","Y_316","Y_512",0.740311764706373,FALSE
"23","Y_381","Y_505",2.17386195098298,FALSE
"24","Y_381","Y_413",4.05081195817294,FALSE
"25","Y_351","Y_381",1.07746470465626,FALSE
"26","Y_392","Y_431",1.78437179364934,FALSE
"27","Y_413","Y_426",1.51126686395818,FALSE
