"","cell_id","from","to","percentage"
"1","c-181","Y_36","Y_47",0.510338143102921
"2","c-182","Y_36","Y_47",0.510338143102921
"3","c-184","Y_36","Y_47",0.510338143102921
"4","c-186","Y_36","Y_47",0.510338143102921
"5","c-190","Y_36","Y_47",0.510338143102921
"6","c-195","Y_36","Y_47",0.510338143102921
"7","c-460","Y_36","Y_47",0.68085791787118
"8","c-77","Y_36","Y_47",0.892291765840342
"9","c-140","Y_36","Y_47",0.892291765840342
"10","c-141","Y_36","Y_47",0.892291765840342
"11","c-142","Y_36","Y_47",0.892291765840342
"12","c-147","Y_36","Y_47",0.892291765840342
"13","c-149","Y_36","Y_47",0.892291765840342
"14","c-150","Y_36","Y_47",0.892291765840342
"15","c-151","Y_36","Y_47",0.892291765840342
"16","c-79","Y_36","Y_47",0.867581065896519
"17","c-118","Y_36","Y_47",0.747986729578899
"18","c-119","Y_36","Y_47",0.747986729578899
"19","c-120","Y_36","Y_47",0.747986729578899
"20","c-86","Y_36","Y_47",0.419243585533297
"21","c-468","Y_36","Y_47",0.419243585533297
"22","c-88","Y_36","Y_47",0.799087497728501
"23","c-112","Y_36","Y_47",0.82076069973624
"24","c-114","Y_36","Y_47",0.82076069973624
"25","c-116","Y_36","Y_47",0.82076069973624
"26","c-117","Y_36","Y_47",0.82076069973624
"27","c-57","Y_36","Y_47",0.047944039262546
"28","c-59","Y_36","Y_47",0.047944039262546
"29","c-60","Y_36","Y_47",0.047944039262546
"30","c-8","Y_36","Y_47",0.3484846820875
"31","c-9","Y_36","Y_47",0.338625103461817
"32","c-10","Y_36","Y_47",0.338625103461817
"33","c-11","Y_36","Y_47",0.3484846820875
"34","c-18","Y_36","Y_47",0.338625103461817
"35","c-66","Y_36","Y_47",0.239304821696048
"36","c-69","Y_36","Y_47",0.239304821696048
"37","c-70","Y_36","Y_47",0.239304821696048
"38","c-72","Y_36","Y_47",0.239304821696048
"39","c-85","Y_36","Y_47",0.405005726608468
"40","c-2","Y_36","Y_47",0.366220136989853
"41","c-4","Y_36","Y_47",0.366220136989853
"42","c-5","Y_36","Y_47",0.366220136989853
"43","c-180","Y_36","Y_47",0.510338143102921
"44","c-183","Y_36","Y_47",0.510338143102921
"45","c-185","Y_36","Y_47",0.510338143102921
"46","c-187","Y_36","Y_47",0.494393375547087
"47","c-188","Y_36","Y_47",0.510338143102921
"48","c-189","Y_36","Y_47",0.510338143102921
"49","c-191","Y_36","Y_47",0.510338143102921
"50","c-192","Y_36","Y_47",0.510338143102921
"51","c-193","Y_36","Y_47",0.510338143102921
"52","c-194","Y_36","Y_47",0.510338143102921
"53","c-81","Y_36","Y_47",0.63337381245432
"54","c-82","Y_36","Y_47",0.63337381245432
"55","c-84","Y_36","Y_47",0.63337381245432
"56","c-161","Y_36","Y_47",0.63337381245432
"57","c-162","Y_36","Y_47",0.63337381245432
"58","c-163","Y_36","Y_47",0.63337381245432
"59","c-164","Y_36","Y_47",0.63337381245432
"60","c-165","Y_36","Y_47",0.63337381245432
"61","c-166","Y_36","Y_47",0.63337381245432
"62","c-167","Y_36","Y_47",0.63337381245432
"63","c-168","Y_36","Y_47",0.63337381245432
"64","c-169","Y_36","Y_47",0.63337381245432
"65","c-170","Y_36","Y_47",0.63337381245432
"66","c-171","Y_36","Y_47",0.63337381245432
"67","c-172","Y_36","Y_47",0.63337381245432
"68","c-173","Y_36","Y_47",0.63337381245432
"69","c-174","Y_36","Y_47",0.63337381245432
"70","c-175","Y_36","Y_47",0.63337381245432
"71","c-176","Y_36","Y_47",0.63337381245432
"72","c-177","Y_36","Y_47",0.63337381245432
"73","c-178","Y_36","Y_47",0.63337381245432
"74","c-113","Y_36","Y_47",0.747986729578899
"75","c-461","Y_36","Y_47",0.727050826560175
"76","c-89","Y_36","Y_47",0.7990874977285
"77","c-115","Y_36","Y_47",0.7990874977285
"78","c-83","Y_36","Y_47",0.447626585912014
"79","c-179","Y_36","Y_47",0.447626585912014
"80","c-78","Y_36","Y_47",0.916518277197011
"81","c-138","Y_36","Y_47",0.892291765840342
"82","c-139","Y_36","Y_47",0.892291765840342
"83","c-143","Y_36","Y_47",0.892291765840342
"84","c-144","Y_36","Y_47",0.892291765840342
"85","c-145","Y_36","Y_47",0.892291765840342
