"","cell_id","from","to","percentage"
"1","c-1","1","2",0.0704965740442276
"2","c-2","1","2",0.0561616979539394
"3","c-3","1","2",0.0475895926356316
"4","c-4","1","2",0.0196070205420256
"5","c-5","1","2",0
"6","c-6","1","2",0.156797796487808
"7","c-7","1","2",0.107370048761368
"8","c-8","1","2",0.0909763872623444
"9","c-9","1","2",0.150459736585617
"10","c-10","1","2",0.061963215470314
"11","c-11","1","2",0.0934059470891953
"12","c-12","1","2",0.0916795134544373
"13","c-13","1","2",0.0985599532723427
"14","c-14","1","2",0.0370194651186466
"15","c-15","1","2",0.00424238014966249
"16","c-16","1","2",0.083898238837719
"17","c-17","1","2",0.0165126249194145
"18","c-18","1","2",0.141001790761948
"19","c-19","1","2",0.130212232470512
"20","c-20","1","2",0.152020081877708
"21","c-21","1","2",0.659598350524902
"22","c-22","1","2",0.61740118265152
"23","c-23","1","2",0.403505235910416
"24","c-24","1","2",0.664150297641754
"25","c-25","1","2",0.705285489559174
"26","c-26","1","2",0.681790292263031
"27","c-27","1","2",0.730101406574249
"28","c-28","1","2",0.666076600551605
"29","c-29","1","2",0.689870834350586
"30","c-30","1","2",0.597776293754578
"31","c-31","1","2",0.616830408573151
"32","c-32","1","2",0.529386222362518
"33","c-33","1","2",0.672293245792389
"34","c-34","1","2",0.663386225700378
"35","c-35","1","2",0.706129670143127
"36","c-36","1","2",0.769902467727661
"37","c-37","1","2",0.697720289230347
"38","c-38","1","2",0.628619313240051
"39","c-39","1","2",0.77329957485199
"40","c-40","1","2",0.723328113555908
"41","c-41","1","2",0.872976720333099
"42","c-42","1","2",0.963752508163452
"43","c-43","1","2",0.860902547836304
"44","c-44","1","2",0.97221964597702
"45","c-45","1","2",0.939883708953857
"46","c-46","1","2",1
"47","c-47","1","2",0.956929683685303
"48","c-48","1","2",0.463190972805023
"49","c-49","1","2",0.553734958171844
"50","c-50","1","2",0.585379719734192
"51","c-51","1","2",0.603308200836182
"52","c-52","1","2",0.640116095542908
"53","c-53","1","2",0.594646632671356
"54","c-54","1","2",0.581643640995026
"55","c-55","1","2",0.536896467208862
"56","c-56","1","2",0.404893755912781
"57","c-57","1","2",0.393416374921799
"58","c-58","1","2",0.324535638093948
"59","c-59","1","2",0.378752589225769
"60","c-60","1","2",0.389642804861069
"61","c-61","1","2",0.37627238035202
"62","c-62","1","2",0.441640466451645
"63","c-63","1","2",0.503125727176666
"64","c-64","1","2",0.436436504125595
"65","c-65","1","2",0.547053933143616
"66","c-66","1","2",0.245365038514137
"67","c-67","1","2",0.310923188924789
"68","c-68","1","2",0.265378952026367
"69","c-69","1","2",0.33070957660675
"70","c-70","1","2",0.328686624765396
"71","c-71","1","2",0.326488375663757
"72","c-72","1","2",0.371171444654465
"73","c-73","1","2",0.508928298950195
"74","c-74","1","2",0.466266512870789
"75","c-75","1","2",0.545097351074219
"76","c-76","2","3",0.906471133232117
"77","c-77","2","3",0.82050085067749
"78","c-78","2","3",0.861210405826569
"79","c-79","2","3",0.813547313213348
"80","c-80","2","3",0.884162843227386
"81","c-81","2","3",0.565015614032745
"82","c-82","2","3",0.641145169734955
"83","c-83","2","3",0.395188212394714
"84","c-84","2","3",0.687601387500763
"85","c-85","2","3",0.0890426933765411
"86","c-86","2","3",0.211555764079094
"87","c-87","2","3",0.608928263187408
"88","c-88","2","3",0.60921835899353
"89","c-89","2","3",0.58892834186554
"90","c-90","2","3",0.895343661308289
"91","c-91","2","3",0.911553800106049
"92","c-92","2","3",0.904193937778473
"93","c-93","2","3",0.909611403942108
"94","c-94","2","3",0.922468543052673
"95","c-95","2","3",0.916915118694305
"96","c-96","2","3",0.897971272468567
"97","c-97","2","3",0.92278128862381
"98","c-98","2","3",0.697073221206665
"99","c-99","2","3",0.808387696743011
"100","c-100","2","3",0.772222518920898
"101","c-101","2","3",0.737902164459229
"102","c-102","2","3",0.784918010234833
"103","c-103","2","3",0
"104","c-104","2","3",0.798522293567657
"105","c-105","2","3",0.7866171002388
"106","c-106","2","3",0.772010684013367
"107","c-107","2","3",0.00348126096650958
"108","c-108","2","3",0.786048829555511
"109","c-109","2","3",0.767379283905029
"110","c-110","2","3",0.78948962688446
"111","c-111","2","3",0.784245073795319
"112","c-112","2","3",0.648425102233887
"113","c-113","2","3",0.628982245922089
"114","c-114","2","3",0.613178193569183
"115","c-115","2","3",0.59507292509079
"116","c-116","2","3",0.693235218524933
"117","c-117","2","3",0.673683047294617
"118","c-118","2","3",0.624116182327271
"119","c-119","2","3",0.623992443084717
"120","c-120","2","3",0.619585692882538
"121","c-121","2","3",0.840447545051575
"122","c-122","2","3",0.828949332237244
"123","c-123","2","3",0.838283121585846
"124","c-124","2","3",0.825048804283142
"125","c-125","2","3",0.828999757766724
"126","c-126","2","3",0.825000703334808
"127","c-127","2","3",0.842826306819916
"128","c-128","2","3",0.84077787399292
"129","c-129","2","3",0.825835585594177
"130","c-130","2","3",0.820195555686951
"131","c-131","2","3",0.836994051933289
"132","c-132","2","3",0.821091651916504
"133","c-133","2","3",0.819420158863068
"134","c-134","2","3",0.814452171325684
"135","c-135","2","3",0.829731643199921
"136","c-136","2","3",0.834077715873718
"137","c-137","2","3",0.840877056121826
"138","c-138","2","3",0.75127637386322
"139","c-139","2","3",0.736178457736969
"140","c-140","2","3",0.746954143047333
"141","c-141","2","3",0.752080082893372
"142","c-142","2","3",0.75074303150177
"143","c-143","2","3",0.756532788276672
"144","c-144","2","3",0.739184021949768
"145","c-145","2","3",0.733554720878601
"146","c-146","2","3",0.755624353885651
"147","c-147","2","3",0.756585478782654
"148","c-148","2","3",0.756997108459473
"149","c-149","2","3",0.742599427700043
"150","c-150","2","3",0.750722885131836
"151","c-151","2","3",0.759489774703979
"152","c-152","2","3",0.959120869636536
"153","c-153","2","3",0.938785433769226
"154","c-154","2","3",0.952716708183289
"155","c-155","2","3",0.949433267116547
"156","c-156","2","3",0.98516321182251
"157","c-157","2","3",0.979645311832428
"158","c-158","2","3",0.965218007564545
"159","c-159","2","3",0.94181752204895
"160","c-160","2","3",0.934494376182556
"161","c-161","2","3",0.678885936737061
"162","c-162","2","3",0.679891228675842
"163","c-163","2","3",0.707436680793762
"164","c-164","2","3",0.719626605510712
"165","c-165","2","3",0.696549952030182
"166","c-166","2","3",0.689771950244904
"167","c-167","2","3",0.699022948741913
"168","c-168","2","3",0.668375253677368
"169","c-169","2","3",0.701856553554535
"170","c-170","2","3",0.678982734680176
"171","c-171","2","3",0.685681343078613
"172","c-172","2","3",0.714634716510773
"173","c-173","2","3",0.647643804550171
"174","c-174","2","3",0.685218334197998
"175","c-175","2","3",0.669822037220001
"176","c-176","2","3",0.680407881736755
"177","c-177","2","3",0.672743618488312
"178","c-178","2","3",0.697228074073792
"179","c-179","2","3",0.465809315443039
"180","c-180","2","3",0.631569504737854
"181","c-181","2","3",0.62899249792099
"182","c-182","2","3",0.621589362621307
"183","c-183","2","3",0.654261589050293
"184","c-184","2","3",0.636797726154327
"185","c-185","2","3",0.615972936153412
"186","c-186","2","3",0.607074677944183
"187","c-187","2","3",0.564287602901459
"188","c-188","2","3",0.620480597019196
"189","c-189","2","3",0.653640806674957
"190","c-190","2","3",0.70120632648468
"191","c-191","2","3",0.625315606594086
"192","c-192","2","3",0.636332809925079
"193","c-193","2","3",0.660085439682007
"194","c-194","2","3",0.630777478218079
"195","c-195","2","3",0.628575921058655
"196","c-196","2","3",0.916764080524445
"197","c-197","2","3",0.917867541313171
"198","c-198","2","3",0.938924491405487
"199","c-199","2","3",0.930977165699005
"200","c-200","2","3",0.918335378170013
"201","c-201","2","3",0.932922959327698
"202","c-202","2","3",0.902390658855438
"203","c-203","2","3",0.922402441501617
"204","c-204","2","3",0.917496562004089
"205","c-205","2","3",0.913223683834076
"206","c-206","2","3",0.980468392372131
"207","c-207","2","3",0.980010330677032
"208","c-208","2","3",0.988914489746094
"209","c-209","2","3",0.986300766468048
"210","c-210","2","3",0.991129755973816
"211","c-211","2","3",0.993938505649567
"212","c-212","2","3",0.979967653751373
"213","c-213","2","3",0.77939909696579
"214","c-214","2","3",1
"215","c-215","2","3",0.994758069515228
"216","c-216","2","3",0.980928361415863
"217","c-217","2","3",0.986467897891998
"218","c-218","2","3",0.981949806213379
"219","c-219","2","3",0.799927890300751
"220","c-220","2","3",0.801278054714203
"221","c-221","2","3",0.789665162563324
"222","c-222","2","3",0.761140763759613
"223","c-223","2","3",0.802025258541107
"224","c-224","2","3",0.803301572799683
"225","c-225","2","3",0.828709781169891
"226","c-226","2","3",0.805544197559357
"227","c-227","2","3",0.802162349224091
"228","c-228","2","3",0.843123316764832
"229","c-229","2","3",0.794859647750854
"230","c-230","3","4",0.714626133441925
"231","c-231","3","4",0.845696449279785
"232","c-232","3","4",0.872350752353668
"233","c-233","3","4",0.856619238853455
"234","c-234","3","4",0.845219612121582
"235","c-235","3","4",0.908771634101868
"236","c-236","3","4",0.900204122066498
"237","c-237","3","4",0.917565226554871
"238","c-238","3","4",0.912247538566589
"239","c-239","3","4",0.886802971363068
"240","c-240","3","4",0.896958529949188
"241","c-241","3","4",0.851806104183197
"242","c-242","3","4",0.89623087644577
"243","c-243","3","4",0.921536147594452
"244","c-244","3","4",0.897259116172791
"245","c-245","3","4",0.869893670082092
"246","c-246","3","4",0.872405409812927
"247","c-247","3","4",0.892005324363708
"248","c-248","3","4",0.900376856327057
"249","c-249","3","4",0.898312747478485
"250","c-250","3","4",0.890083014965057
"251","c-251","3","4",0.89135205745697
"252","c-252","3","4",0.890990436077118
"253","c-253","3","4",0.892523884773254
"254","c-254","3","4",0.880613803863525
"255","c-255","3","4",0.893750786781311
"256","c-256","3","4",0.896790742874146
"257","c-257","3","4",0.869836032390594
"258","c-258","3","4",0.876424372196198
"259","c-259","3","4",0.919736742973328
"260","c-260","3","4",0.920759201049805
"261","c-261","3","4",0.907511234283447
"262","c-262","3","4",0.918921053409576
"263","c-263","3","4",0.918116569519043
"264","c-264","3","4",0.926527976989746
"265","c-265","3","4",0.918041706085205
"266","c-266","3","4",0.908533692359924
"267","c-267","3","4",0.909532129764557
"268","c-268","3","4",0.887236475944519
"269","c-269","3","4",0.897115647792816
"270","c-270","3","4",0.837003171443939
"271","c-271","3","4",0.905042231082916
"272","c-272","3","4",0.917153298854828
"273","c-273","3","4",0.906809568405151
"274","c-274","3","4",0.886197507381439
"275","c-275","3","4",0.858841061592102
"276","c-276","3","4",0.913267314434052
"277","c-277","3","4",0.856290578842163
"278","c-278","3","4",0.935514032840729
"279","c-279","3","4",0.924476504325867
"280","c-280","3","4",0.89838182926178
"281","c-281","3","4",0.906257331371307
"282","c-282","3","4",0.906966924667358
"283","c-283","3","4",0.919882118701935
"284","c-284","3","4",0.937582492828369
