"","cell_id","from","to","percentage"
"1","c-1","1","2",0
"2","c-2","1","2",0.0132605766279761
"3","c-5","1","2",0
"4","c-6","1","2",0
"5","c-9","1","2",0
"6","c-10","1","2",0
"7","c-11","1","2",0
"8","c-13","1","2",0
"9","c-14","1","2",0
"10","c-15","1","2",0
"11","c-19","1","2",0
"12","c-20","1","2",0
"13","c-21","1","2",0.0673551368812349
"14","c-22","1","2",0.0167440704701501
"15","c-23","1","2",0
"16","c-24","1","2",0
"17","c-25","1","2",0.106138256815375
"18","c-26","1","2",0.0614963797238329
"19","c-28","1","2",0.0633608728234864
"20","c-30","1","2",0.0469045527210288
"21","c-31","1","2",0.139884626132002
"22","c-32","1","2",0.238133588515582
"23","c-33","1","2",0.21650025280189
"24","c-34","1","2",0.155833435186318
"25","c-35","1","2",0.285139372468517
"26","c-36","1","2",0.251793206521252
"27","c-37","1","2",0.326309242881339
"28","c-38","1","2",0.208818350327057
"29","c-39","1","2",0.306997701515939
"30","c-40","1","2",0.149925177464757
"31","c-41","1","2",0.0351581899904579
"32","c-42","1","2",0.218659271790797
"33","c-45","1","2",0.240665138024048
"34","c-46","1","2",0.139427564970084
"35","c-47","1","2",0.224663730330452
"36","c-48","1","2",0.22582068910599
"37","c-49","1","2",0.200507130820271
"38","c-51","1","2",0.203251837881007
"39","c-52","1","2",0.267634354476146
"40","c-54","1","2",0.359381421810963
"41","c-55","1","2",0.355664468886228
"42","c-56","1","2",0
"43","c-57","1","2",0.007523101685886
"44","c-58","1","2",0
"45","c-59","1","2",0
"46","c-60","1","2",0.00559421799019127
"47","c-61","1","2",0.0470755304518652
"48","c-62","1","2",0
"49","c-63","1","2",0
"50","c-65","1","2",0
"51","c-66","1","2",0
"52","c-68","1","2",0
"53","c-69","1","2",0
"54","c-70","1","2",0
"55","c-71","1","2",0
"56","c-72","1","2",0
"57","c-73","1","2",0
"58","c-74","1","2",0
"59","c-75","1","2",0
"60","c-76","2","4",0.214503707894026
"61","c-77","1","2",0.99952689277746
"62","c-82","1","2",0.855016780439198
"63","c-84","1","2",0.873967190448798
"64","c-88","1","2",0.584112264351695
"65","c-89","1","2",0.575957239031545
"66","c-91","2","4",0.248243356582867
"67","c-92","2","4",0.134338916631424
"68","c-93","2","4",0.272325562522854
"69","c-94","2","4",0.276840749977798
"70","c-95","2","4",0.287985271411073
"71","c-96","2","4",0.27798103884187
"72","c-97","2","4",0.239869882834151
"73","c-98","1","2",0.655911630643119
"74","c-100","1","2",0.886925825714298
"75","c-101","1","2",0.836730608528642
"76","c-102","2","4",0.0725705602974813
"77","c-104","1","2",0.992398315024461
