"","from","to","length","directed"
"1","1","9",0.320372581481934,TRUE
"2","2","14",0.0568041205406189,TRUE
"3","3","7",0.0609692335128784,TRUE
"4","4","16",0.128103375434875,TRUE
"5","5","3",0.0377183556556702,TRUE
"6","6","4",0.273006439208984,TRUE
"7","7","10",0.0686886310577393,TRUE
"8","8","1",0.282141476869583,TRUE
"9","3","13",0.0428219437599182,TRUE
"10","9","11",0.1245097219944,TRUE
"11","10","17",0.0694060325622559,TRUE
"12","11","15",0.332045495510101,TRUE
"13","11","18",0.0598246455192566,TRUE
"14","12","5",0.0484403967857361,TRUE
"15","3","2",0.0670267939567566,TRUE
"16","10","19",0.028409481048584,TRUE
"17","13","20",0.0514129400253296,TRUE
"18","4","3",0.0540920495986938,TRUE
"19","14","21",0.0435670614242554,TRUE
"20","15","4",0.0232692956924438,TRUE
