"","cell_id","from","to","percentage"
"1","c-1","8","1",0.177197396755219
"2","c-2","8","1",0.164493098855019
"3","c-3","8","1",0.14991295337677
"4","c-4","8","1",0.114731200039387
"5","c-5","8","1",0.102815248072147
"6","c-6","8","1",0.071540854871273
"7","c-7","8","1",0.015734825283289
"8","c-8","8","1",0.0452686697244644
"9","c-9","8","1",0.0681926906108856
"10","c-10","8","1",0.0410166867077351
"11","c-11","8","1",0
"12","c-12","8","1",0.112874016165733
"13","c-13","8","1",0.100064843893051
"14","c-14","8","1",0.14243471622467
"15","c-15","8","1",0.107111409306526
"16","c-16","8","1",0.19234499335289
"17","c-17","8","1",0.110291212797165
"18","c-18","8","1",0.0628857612609863
"19","c-19","8","1",0.0845457315444946
"20","c-20","8","1",0.0797656774520874
"21","c-21","8","1",0.626715004444122
"22","c-22","8","1",0.580982565879822
"23","c-23","8","1",0.348750084638596
"24","c-24","8","1",0.630745589733124
"25","c-25","8","1",0.676445662975311
"26","c-26","8","1",0.650703191757202
"27","c-27","8","1",0.703018128871918
"28","c-28","8","1",0.6337029337883
"29","c-29","8","1",0.661748468875885
"30","c-30","8","1",0.561430633068085
"31","c-31","8","1",0.581785798072815
"32","c-32","8","1",0.493693798780441
"33","c-33","8","1",0.642993450164795
"34","c-34","8","1",0.633591771125793
"35","c-35","8","1",0.679908752441406
"36","c-36","8","1",0.748893260955811
"37","c-37","8","1",0.671575009822845
"38","c-38","8","1",0.597336649894714
"39","c-39","8","1",0.752395868301392
"40","c-40","8","1",0.698870241641998
"41","c-41","8","1",0.86111855506897
"42","c-42","8","1",0.960460126399994
"43","c-43","8","1",0.848309218883514
"44","c-44","8","1",0.969659566879272
"45","c-45","8","1",0.934384644031525
"46","c-46","8","1",1
"47","c-47","8","1",0.952958643436432
"48","c-48","8","1",0.428412944078445
"49","c-49","8","1",0.517600417137146
"50","c-50","8","1",0.550095975399017
"51","c-51","8","1",0.568909645080566
"52","c-52","8","1",0.608315825462341
"53","c-53","8","1",0.560143053531647
"54","c-54","8","1",0.545640587806702
"55","c-55","8","1",0.496575653553009
"56","c-56","8","1",0.345292001962662
"57","c-57","8","1",0.334571003913879
"58","c-58","8","1",0.258256167173386
"59","c-59","8","1",0.317765146493912
"60","c-60","8","1",0.334702640771866
"61","c-61","8","1",0.318344384431839
"62","c-62","8","1",0.387825012207031
"63","c-63","8","1",0.453921735286713
"64","c-64","8","1",0.393050223588943
"65","c-65","8","1",0.502815127372742
"66","c-66","8","1",0.170006975531578
"67","c-67","8","1",0.240791916847229
"68","c-68","8","1",0.196609973907471
"69","c-69","8","1",0.263197034597397
"70","c-70","8","1",0.260370761156082
"71","c-71","8","1",0.25779989361763
"72","c-72","8","1",0.307162255048752
"73","c-73","8","1",0.463870286941528
"74","c-74","8","1",0.415011316537857
"75","c-75","8","1",0.50075626373291
"76","c-76","9","11",0.376094847917557
"77","c-77","9","11",0.0257268510758877
"78","c-78","9","11",0.191079005599022
"79","c-79","9","11",0
"80","c-80","9","11",0.283244282007217
"81","c-81","1","9",0.55776184797287
"82","c-82","1","9",0.679557263851166
"83","c-83","1","9",0.290435522794724
"84","c-84","1","9",0.754447877407074
"85","c-85","8","1",0.346005618572235
"86","c-86","1","9",0
"87","c-87","1","9",0.632340312004089
"88","c-88","1","9",0.63077712059021
"89","c-89","1","9",0.598187446594238
"90","c-90","9","11",0.330749541521072
"91","c-91","9","11",0.395811676979065
"92","c-92","9","11",0.366214662790298
"93","c-93","9","11",0.388202011585236
"94","c-94","9","11",0.440669178962708
"95","c-95","9","11",0.417538613080978
"96","c-96","9","11",0.341511070728302
"97","c-97","9","11",0.441896110773087
"98","c-98","1","9",0.770067632198334
"99","c-99","1","9",0.945787310600281
"100","c-100","1","9",0.888297200202942
"101","c-101","1","9",0.83332097530365
"102","c-102","1","9",0.908046364784241
"103","c-103","8","1",0.172523602843285
"104","c-104","1","9",0.929825901985168
"105","c-105","1","9",0.910683453083038
"106","c-106","1","9",0.887404024600983
"107","c-107","8","1",0.160583674907684
"108","c-108","1","9",0.910091638565063
"109","c-109","1","9",0.880479454994202
"110","c-110","1","9",0.916154325008392
"111","c-111","1","9",0.907156348228455
"112","c-112","1","9",0.692712366580963
"113","c-113","1","9",0.660341620445251
"114","c-114","1","9",0.636998474597931
"115","c-115","1","9",0.608904778957367
"116","c-116","1","9",0.763760507106781
"117","c-117","1","9",0.732377111911774
"118","c-118","1","9",0.652636528015137
"119","c-119","1","9",0.652459442615509
"120","c-120","1","9",0.645027935504913
"121","c-121","1","9",0.996233642101288
"122","c-122","1","9",0.977822184562683
"123","c-123","1","9",0.992648124694824
"124","c-124","1","9",0.971693575382233
"125","c-125","1","9",0.977445423603058
"126","c-126","1","9",0.971600353717804
"127","c-127","1","9",1
"128","c-128","1","9",0.996679961681366
"129","c-129","1","9",0.97262567281723
"130","c-130","1","9",0.963992655277252
"131","c-131","1","9",0.990377247333527
"132","c-132","1","9",0.965330362319946
"133","c-133","1","9",0.962748944759369
"134","c-134","1","9",0.954626619815826
"135","c-135","1","9",0.979059219360352
"136","c-136","1","9",0.985944271087646
"137","c-137","1","9",0.996712327003479
"138","c-138","1","9",0.854980289936066
"139","c-139","1","9",0.831349611282349
"140","c-140","1","9",0.848152339458466
"141","c-141","1","9",0.856306254863739
"142","c-142","1","9",0.854462563991547
"143","c-143","1","9",0.86379599571228
"144","c-144","1","9",0.835904657840729
"145","c-145","1","9",0.826966881752014
"146","c-146","1","9",0.862037479877472
"147","c-147","1","9",0.863372027873993
"148","c-148","1","9",0.864529430866241
"149","c-149","1","9",0.840612411499023
"150","c-150","1","9",0.854393541812897
"151","c-151","1","9",0.868400692939758
"152","c-152","9","11",0.586386620998383
"153","c-153","11","15",0.24178272485733
"154","c-154","9","11",0.561164081096649
"155","c-155","9","11",0.548275649547577
"156","c-156","9","11",0.692342460155487
"157","c-157","9","11",0.669899821281433
"158","c-158","9","11",0.612854242324829
"159","c-159","9","11",0.517906904220581
"160","c-160","9","11",0.488962858915329
"161","c-161","1","9",0.739404618740082
"162","c-162","1","9",0.741075217723846
"163","c-163","1","9",0.784744799137115
"164","c-164","1","9",0.803786635398865
"165","c-165","1","9",0.765981554985046
"166","c-166","1","9",0.753559052944183
"167","c-167","1","9",0.769603252410889
"168","c-168","1","9",0.722331643104553
"169","c-169","1","9",0.774429976940155
"170","c-170","1","9",0.739675104618073
"171","c-171","1","9",0.750515878200531
"172","c-172","1","9",0.796812057495117
"173","c-173","1","9",0.689226269721985
"174","c-174","1","9",0.749258458614349
"175","c-175","1","9",0.72470498085022
"176","c-176","1","9",0.74150824546814
"177","c-177","1","9",0.728816449642181
"178","c-178","1","9",0.767162203788757
"179","c-179","1","9",0.404744535684586
"180","c-180","1","9",0.663357377052307
"181","c-181","1","9",0.65846449136734
"182","c-182","1","9",0.648730099201202
"183","c-183","1","9",0.700698494911194
"184","c-184","1","9",0.671659469604492
"185","c-185","1","9",0.640394866466522
"186","c-186","1","9",0.625035583972931
"187","c-187","1","9",0.557938456535339
"188","c-188","1","9",0.646553814411163
"189","c-189","1","9",0.700760722160339
"190","c-190","1","9",0.774123311042786
"191","c-191","1","9",0.654095053672791
"192","c-192","1","9",0.671955287456512
"193","c-193","1","9",0.708663761615753
"194","c-194","1","9",0.662770390510559
"195","c-195","1","9",0.659697771072388
"196","c-196","9","11",0.412817060947418
"197","c-197","9","11",0.417705684900284
"198","c-198","9","11",0.504140496253967
"199","c-199","9","11",0.47194504737854
"200","c-200","9","11",0.418934553861618
"201","c-201","9","11",0.47844934463501
"202","c-202","9","11",0.356355041265488
"203","c-203","9","11",0.435883462429047
"204","c-204","9","11",0.415879398584366
"205","c-205","9","11",0.400012403726578
"206","c-206","9","11",0.672651946544647
"207","c-207","9","11",0.668249189853668
