"","cell_id","from","to","percentage"
"1","c-1","1","2",0
"2","c-2","1","2",0.0133465384636147
"3","c-3","1","2",0
"4","c-4","1","2",0
"5","c-5","1","2",0
"6","c-6","1","2",0
"7","c-7","1","2",0
"8","c-8","1","2",0
"9","c-9","1","2",0
"10","c-10","1","2",0
"11","c-11","1","2",0
"12","c-12","1","2",0
"13","c-13","1","2",0
"14","c-14","1","2",0
"15","c-15","1","2",0
"16","c-16","1","2",0
"17","c-17","1","2",0
"18","c-18","1","2",0
"19","c-19","1","2",0
"20","c-20","1","2",0
"21","c-21","1","2",0.0673600428085906
"22","c-22","1","2",0.0166862992470313
"23","c-23","1","2",0
"24","c-24","1","2",0
"25","c-25","1","2",0.106170690166935
"26","c-26","1","2",0.0614562928316763
"27","c-27","1","2",0.0593500979326448
"28","c-28","1","2",0.0633662136414696
"29","c-29","1","2",0.231517292704672
"30","c-30","1","2",0.046939198456364
"31","c-31","1","2",0.139932724593934
"32","c-32","1","2",0.238220384398667
"33","c-33","1","2",0.216542975937108
"34","c-34","1","2",0.155882472774045
"35","c-35","1","2",0.28522676331794
"36","c-36","1","2",0.251856070599652
"37","c-37","1","2",0.326408848316605
"38","c-38","1","2",0.208857390230385
"39","c-39","1","2",0.307106780567424
"40","c-40","1","2",0.149967206659766
"41","c-41","1","2",0.0351759871773853
"42","c-42","1","2",0.218697533035824
"43","c-43","1","2",0.284555730724063
"44","c-44","1","2",0.137102467184932
"45","c-45","1","2",0.240735120786648
"46","c-46","1","2",0.139462098829956
"47","c-47","1","2",0.224709385743861
"48","c-48","1","2",0.225866876023352
"49","c-49","1","2",0.200492538047712
"50","c-50","1","2",0.224564803069906
"51","c-51","1","2",0.203321007045373
"52","c-52","1","2",0.267696686486992
"53","c-53","1","2",0.23483955611194
"54","c-54","1","2",0.359498396607565
"55","c-55","1","2",0.355748752623155
"56","c-56","1","2",0
"57","c-57","1","2",0.00751954078668098
"58","c-58","1","2",0
"59","c-59","1","2",0
"60","c-60","1","2",0.00558474679510036
"61","c-61","1","2",0.0470938378136939
"62","c-62","1","2",0
"63","c-63","1","2",0
"64","c-64","1","2",0.136946506682034
"65","c-65","1","2",0
"66","c-66","1","2",0
"67","c-67","1","2",0
"68","c-68","1","2",0
"69","c-69","1","2",0
"70","c-70","1","2",0
"71","c-71","1","2",0
"72","c-72","1","2",0
"73","c-73","1","2",0
"74","c-74","1","2",0
"75","c-75","1","2",0
"76","c-76","2","4",0.214892821795906
"77","c-77","1","2",0.999520157167743
"78","c-78","1","2",0.998567746189139
"79","c-79","1","2",0.905413123960208
"80","c-80","2","4",0.160071767796256
"81","c-81","1","2",0.833726446158697
"82","c-82","1","2",0.855213702166194
"83","c-83","1","2",0.644238913312226
"84","c-84","1","2",0.874297228678271
"85","c-85","1","2",0.33469669845513
"86","c-86","1","2",0.422064956403361
"87","c-87","1","2",0.632182783851533
"88","c-88","1","2",0.584237539763191
"89","c-89","1","2",0.576125156353608
"90","c-90","2","4",0.0994980527203471
"91","c-91","2","4",0.248169785061941
"92","c-92","2","4",0.134304583677336
"93","c-93","2","4",0.272789315840579
"94","c-94","2","4",0.276955060984747
"95","c-95","2","4",0.288024955672225
"96","c-96","2","4",0.278706365927917
"97","c-97","2","4",0.239967786665522
"98","c-98","1","2",0.656142860622642
"99","c-99","1","2",0.969665080673053
"100","c-100","1","2",0.887079648876973
"101","c-101","1","2",0.837056310787788
"102","c-102","2","4",0.0732861878868839
"103","c-103","1","2",0.213823879275545
"104","c-104","1","2",0.99250494552039
"105","c-105","1","2",0.994374800365237
"106","c-106","1","2",0.928288241392554
"107","c-107","1","2",0.235870618418334
"108","c-108","1","2",0.912034105112933
"109","c-109","1","2",0.892344631546639
"110","c-110","1","2",0.876653442043756
"111","c-111","1","2",0.932458311256182
"112","c-112","1","2",0.746965825609279
"113","c-113","1","2",0.692389294841299
"114","c-114","1","2",0.707926030619238
"115","c-115","1","2",0.521425165519639
"116","c-116","1","2",0.796524573833247
"117","c-117","1","2",0.812162093438775
"118","c-118","1","2",0.680855624506661
"119","c-119","1","2",0.693819321228002
"120","c-120","1","2",0.69034392476047
"121","c-121","1","2",0.965050262991527
"122","c-122","1","2",0.950492789808849
"123","c-123","2","4",0.0237453509484382
"124","c-124","1","2",0.94576633911894
"125","c-125","2","4",0.0709955318587355
"126","c-126","1","2",0.990925341788771
"127","c-127","1","2",0.983373219068693
"128","c-128","1","2",0.998440302744152
"129","c-129","2","4",0.0563280222766922
"130","c-130","1","2",0.951757803559824
"131","c-131","1","2",0.995828255487897
"132","c-132","1","2",0.962930670202988
"133","c-133","1","2",0.925680378893092
"134","c-134","1","2",0.942003370085822
