"","from","to","length","directed"
"1","Y_56","Y_63",0.220813227392545,FALSE
"2","Y_49","Y_67",0.250386773758843,FALSE
"3","Y_29","Y_51",0.244961933515588,FALSE
"4","Y_27","Y_127",0.352060377724279,FALSE
"5","Y_74","Y_89",5.00073672078705,FALSE
"6","Y_51","Y_88",3.15424534816017,FALSE
"7","Y_49","Y_74",1.77070279605588,FALSE
"8","Y_27","Y_67",3.16459908842233,FALSE
"9","Y_51","Y_113",1.21964642380282,FALSE
"10","Y_43","Y_67",0.863471259067877,FALSE
"11","Y_63","Y_72",0.979548170217662,FALSE
"12","Y_27","Y_113",2.99603846570417,FALSE
"13","Y_35","Y_127",2.03066493896909,FALSE
"14","Y_43","Y_89",0.777959129751168,FALSE
"15","Y_1","Y_119",1.61063588630086,FALSE
"16","Y_1","Y_4",0.877535840575519,FALSE
"17","Y_49","Y_113",1.69767301596423,FALSE
"18","Y_56","Y_66",1.34600330937836,FALSE
"19","Y_29","Y_88",1.30530814758366,FALSE
"20","Y_66","Y_127",2.26407074561584,FALSE
"21","Y_13","Y_86",0.852140417781762,FALSE
"22","Y_13","Y_72",1.2801638168626,FALSE
"23","Y_35","Y_72",0.975945477849499,FALSE
"24","Y_4","Y_56",0.550911933847105,FALSE
"25","Y_74","Y_88",0.414392211651249,FALSE
"26","Y_4","Y_96",0.56661457932698,FALSE
"27","Y_96","Y_119",0.708482377928129,FALSE
"28","Y_57","Y_89",0.538280914115224,FALSE
"29","Y_1","Y_63",0.731806010036612,FALSE
"30","Y_57","Y_96",0.71131222763221,FALSE
"31","Y_57","Y_119",0.565412421634595,FALSE
"32","Y_13","Y_35",0.581696031646029,FALSE
"33","Y_43","Y_66",0.734837275384975,FALSE
"34","Y_164","Y_177",0.418622176533531,FALSE
"35","Y_153","Y_164",5.72316239419998,FALSE
"36","Y_136","Y_146",4.79136481668527,FALSE
"37","Y_153","Y_195",5.38415484453466,FALSE
"38","Y_146","Y_193",2.05933959972084,FALSE
"39","Y_132","Y_195",2.98691871953875,FALSE
"40","Y_164","Y_195",1.08967357320961,FALSE
"41","Y_164","Y_179",1.3129537501521,FALSE
"42","Y_146","Y_153",0.484701001318684,FALSE
"43","Y_211","Y_214",0.196438560901145,FALSE
"44","Y_214","Y_225",0.218647809291674,FALSE
"45","Y_210","Y_214",2.41157623888913,FALSE
"46","Y_210","Y_211",1.13801553110162,FALSE
"47","Y_210","Y_225",0.425126144904027,FALSE
"48","Y_232","Y_249",0.444809730090313,FALSE
