"","cell_id","from","to","percentage"
"1","c-13772","Y_56","Y_63",0
"2","c-13906","Y_56","Y_63",1
"3","c-13997","Y_56","Y_63",0
"4","c-14284","Y_56","Y_63",1
"5","c-15304","Y_56","Y_63",0
"6","c-16034","Y_56","Y_63",0
"7","c-16035","Y_56","Y_63",0
"8","c-16437","Y_56","Y_63",1
"9","c-16467","Y_56","Y_63",1
"10","c-16519","Y_56","Y_63",1
"11","c-16981","Y_56","Y_63",0
"12","c-17504","Y_56","Y_63",1
"13","c-17538","Y_56","Y_63",1
"14","c-17548","Y_56","Y_63",0
"15","c-17618","Y_56","Y_63",1
"16","c-17723","Y_56","Y_63",1
"17","c-18180","Y_56","Y_63",1
"18","c-18531","Y_56","Y_63",0
"19","c-19084","Y_56","Y_63",0
"20","c-20245","Y_56","Y_63",1
"21","c-20492","Y_56","Y_63",0
"22","c-20779","Y_56","Y_63",1
"23","c-12738","Y_49","Y_67",1
"24","c-13147","Y_49","Y_67",1
"25","c-13297","Y_49","Y_67",0
"26","c-13579","Y_49","Y_67",1
"27","c-13655","Y_49","Y_67",1
"28","c-13926","Y_49","Y_67",1
"29","c-13981","Y_49","Y_67",1
"30","c-14124","Y_49","Y_67",1
"31","c-14516","Y_49","Y_67",1
"32","c-14568","Y_49","Y_67",0
"33","c-14657","Y_49","Y_67",0
"34","c-14851","Y_49","Y_67",1
"35","c-15363","Y_49","Y_67",0
"36","c-15378","Y_49","Y_67",1
"37","c-15527","Y_49","Y_67",1
"38","c-15555","Y_49","Y_67",1
"39","c-15576","Y_49","Y_67",1
"40","c-15846","Y_49","Y_67",1
"41","c-16273","Y_49","Y_67",0
"42","c-16356","Y_49","Y_67",1
"43","c-16413","Y_49","Y_67",1
"44","c-16813","Y_49","Y_67",1
"45","c-17092","Y_49","Y_67",1
"46","c-17632","Y_49","Y_67",0
"47","c-17697","Y_49","Y_67",1
"48","c-18125","Y_49","Y_67",1
"49","c-18481","Y_49","Y_67",1
"50","c-19189","Y_49","Y_67",1
"51","c-19209","Y_49","Y_67",0
"52","c-19689","Y_49","Y_67",0
"53","c-20063","Y_49","Y_67",0
"54","c-20177","Y_49","Y_67",1
"55","c-20314","Y_49","Y_67",0
"56","c-20423","Y_49","Y_67",0
"57","c-20431","Y_49","Y_67",0
"58","c-20704","Y_49","Y_67",1
"59","c-20862","Y_49","Y_67",1
"60","c-20876","Y_49","Y_67",1
"61","c-20961","Y_49","Y_67",0
"62","c-12711","Y_29","Y_51",0
"63","c-12736","Y_29","Y_51",1
"64","c-12911","Y_29","Y_51",1
"65","c-13050","Y_29","Y_51",0
"66","c-13160","Y_29","Y_51",1
"67","c-13847","Y_29","Y_51",0
"68","c-13930","Y_29","Y_51",1
"69","c-13985","Y_29","Y_51",1
"70","c-14053","Y_29","Y_51",0
"71","c-14333","Y_29","Y_51",1
"72","c-14469","Y_29","Y_51",0
"73","c-14679","Y_29","Y_51",1
"74","c-14706","Y_29","Y_51",0
"75","c-14711","Y_29","Y_51",0
"76","c-14731","Y_29","Y_51",0
"77","c-15127","Y_29","Y_51",1
"78","c-15751","Y_29","Y_51",0
"79","c-15870","Y_29","Y_51",0
"80","c-16001","Y_29","Y_51",1
"81","c-16291","Y_29","Y_51",0
"82","c-16349","Y_29","Y_51",0
"83","c-16455","Y_29","Y_51",0
"84","c-16787","Y_29","Y_51",0
"85","c-16907","Y_29","Y_51",0
"86","c-17153","Y_29","Y_51",1
"87","c-17169","Y_29","Y_51",1
"88","c-17450","Y_29","Y_51",1
"89","c-17537","Y_29","Y_51",1
"90","c-17601","Y_29","Y_51",0
"91","c-17611","Y_29","Y_51",1
"92","c-17724","Y_29","Y_51",0
"93","c-17760","Y_29","Y_51",0
"94","c-17791","Y_29","Y_51",1
"95","c-17831","Y_29","Y_51",0
"96","c-17871","Y_29","Y_51",0
"97","c-17889","Y_29","Y_51",0
"98","c-17896","Y_29","Y_51",0
"99","c-18028","Y_29","Y_51",0
"100","c-18212","Y_29","Y_51",0
"101","c-18495","Y_29","Y_51",1
"102","c-18516","Y_29","Y_51",0
"103","c-18782","Y_29","Y_51",1
"104","c-19550","Y_29","Y_51",1
"105","c-19568","Y_29","Y_51",1
"106","c-19763","Y_29","Y_51",0
"107","c-19786","Y_29","Y_51",0
"108","c-19973","Y_29","Y_51",0
"109","c-20157","Y_29","Y_51",0
"110","c-20175","Y_29","Y_51",0
"111","c-20354","Y_29","Y_51",1
"112","c-20463","Y_29","Y_51",0
"113","c-20483","Y_29","Y_51",0
"114","c-20514","Y_29","Y_51",1
"115","c-20528","Y_29","Y_51",0
"116","c-20531","Y_29","Y_51",1
"117","c-20600","Y_29","Y_51",1
"118","c-20630","Y_29","Y_51",0
"119","c-20698","Y_29","Y_51",0
"120","c-12893","Y_27","Y_127",0
"121","c-13092","Y_27","Y_127",1
"122","c-13140","Y_27","Y_127",0
"123","c-13265","Y_27","Y_127",0
"124","c-13353","Y_27","Y_127",0
"125","c-13504","Y_27","Y_127",0
"126","c-13948","Y_27","Y_127",1
"127","c-13960","Y_27","Y_127",0
"128","c-14483","Y_27","Y_127",1
"129","c-14725","Y_27","Y_127",1
"130","c-15036","Y_27","Y_127",0
"131","c-16385","Y_27","Y_127",1
"132","c-16422","Y_27","Y_127",1
"133","c-18791","Y_27","Y_127",1
"134","c-19069","Y_27","Y_127",1
"135","c-19267","Y_27","Y_127",0
"136","c-19334","Y_27","Y_127",0
"137","c-19355","Y_27","Y_127",1
"138","c-19503","Y_27","Y_127",0
"139","c-19843","Y_27","Y_127",0
"140","c-20071","Y_27","Y_127",0
"141","c-12817","Y_74","Y_89",0.380128230029429
"142","c-13200","Y_74","Y_89",0.380128230029429
"143","c-13346","Y_74","Y_89",0.380128230029429
"144","c-13414","Y_74","Y_89",0.380128230029429
"145","c-13417","Y_74","Y_89",0.380128230029429
"146","c-13715","Y_74","Y_89",0.380128230029429
"147","c-14000","Y_74","Y_89",0.380128230029429
"148","c-14092","Y_74","Y_89",0.380128230029429
"149","c-14252","Y_74","Y_89",0.380128230029429
"150","c-14323","Y_74","Y_89",0.380128230029429
"151","c-14498","Y_74","Y_89",0.380128230029429
"152","c-14549","Y_74","Y_89",0.380128230029429
"153","c-14553","Y_74","Y_89",0.380128230029429
"154","c-15224","Y_74","Y_89",0.380128230029429
"155","c-15252","Y_74","Y_89",0.380128230029429
"156","c-15273","Y_74","Y_89",0.380128230029429
"157","c-15333","Y_74","Y_89",0.380128230029429
"158","c-15624","Y_74","Y_89",0.380128230029429
"159","c-15683","Y_74","Y_89",0.380128230029429
"160","c-15854","Y_74","Y_89",0.380128230029429
"161","c-15952","Y_74","Y_89",0.380128230029429
"162","c-16054","Y_74","Y_89",0.380128230029429
"163","c-16133","Y_74","Y_89",0.380128230029429
"164","c-16137","Y_74","Y_89",0.380128230029429
"165","c-16159","Y_74","Y_89",0.380128230029429
"166","c-16282","Y_74","Y_89",0.380128230029429
"167","c-16568","Y_74","Y_89",0.380128230029429
"168","c-16580","Y_74","Y_89",0.380128230029429
"169","c-16639","Y_74","Y_89",0.380128230029429
"170","c-16818","Y_74","Y_89",0.380128230029429
"171","c-16869","Y_74","Y_89",0.380128230029429
"172","c-17479","Y_74","Y_89",0.380128230029429
"173","c-17556","Y_74","Y_89",0.380128230029429
"174","c-17613","Y_74","Y_89",0.380128230029429
"175","c-17869","Y_74","Y_89",0.380128230029429
"176","c-18121","Y_74","Y_89",0.380128230029429
"177","c-18130","Y_74","Y_89",0.380128230029429
"178","c-18164","Y_74","Y_89",0.380128230029429
"179","c-18262","Y_74","Y_89",0.380128230029429
"180","c-18369","Y_74","Y_89",0.380128230029429
"181","c-18444","Y_74","Y_89",0.380128230029429
"182","c-18488","Y_74","Y_89",0.380128230029429
"183","c-18492","Y_74","Y_89",0.380128230029429
"184","c-19495","Y_74","Y_89",0.380128230029429
"185","c-19564","Y_74","Y_89",0.380128230029429
"186","c-19732","Y_74","Y_89",0.380128230029429
"187","c-19744","Y_74","Y_89",0.380128230029429
"188","c-19895","Y_74","Y_89",0.380128230029429
"189","c-19936","Y_74","Y_89",0.380128230029429
"190","c-20029","Y_74","Y_89",0.380128230029429
"191","c-20280","Y_74","Y_89",0.380128230029429
"192","c-20556","Y_74","Y_89",0.380128230029429
"193","c-20576","Y_74","Y_89",0.380128230029429
"194","c-20785","Y_74","Y_89",0.380128230029429
"195","c-21072","Y_74","Y_89",0.380128230029429
"196","c-12727","Y_74","Y_89",0.543545207137114
"197","c-12743","Y_74","Y_89",0.543545207137114
"198","c-13105","Y_74","Y_89",0.543545207137114
"199","c-13118","Y_74","Y_89",0.589704213316576
