"","from","to","length","directed"
"1","1","10",0.26976665854454,TRUE
"2","2","9",0.365209639072418,TRUE
"3","3","2",0.373431384563446,TRUE
"4","4","11",0.396042704582214,TRUE
"5","5","3",0.477706432342529,TRUE
"6","6","10",0.460223406553268,TRUE
"7","7","1",0.132913410663605,TRUE
"8","8","7",0.17474465072155,TRUE
"9","9","12",0.371628820896149,TRUE
"10","10","13",0.0888694301247597,TRUE
"11","11","14",0.150479227304459,TRUE
"12","10","15",0.279692232608795,TRUE
"13","1","16",0.722270846366882,TRUE
"14","7","3",0.823129713535309,TRUE
"15","1","17",0.0816111043095589,TRUE
"16","10","18",0.33026909828186,TRUE
"17","10","19",0.062316045165062,TRUE
"18","11","5",0.30592280626297,TRUE
