"","cell_id","from","to","percentage"
"1","c-1","1","1-b_cellsa",0.100793063640594
"2","c-2","1","1-b_cellsa",0.0220273602753878
"3","c-3","1","1-b_cellsa",0.0382032096385956
"4","c-4","1","1-b_cellsa",0.0293682888150215
"5","c-5","1","1-b_cellsa",0.0351533070206642
"6","c-6","1","1-b_cellsa",0.0234078373759985
"7","c-7","1","1-b_cellsa",0.0571320131421089
"8","c-8","1","1-b_cellsa",0.141742289066315
"9","c-9","1","1-b_cellsa",0.213253006339073
"10","c-10","1","1-b_cellsa",0.0475639998912811
"11","c-11","1","1-b_cellsa",0.0528546497225761
"12","c-12","1","1-b_cellsa",0.0857483670115471
"13","c-13","1","1-b_cellsa",0.0342186652123928
"14","c-14","1","1-b_cellsa",0.032112542539835
"15","c-15","1","1-b_cellsa",0.155768930912018
"16","c-16","1","1-b_cellsa",0.0436183884739876
"17","c-17","1","1-b_cellsa",0.0373896397650242
"18","c-18","1","1-b_cellsa",0.0480981729924679
"19","c-19","1","1-b_cellsa",0.139606595039368
"20","c-20","1","1-b_cellsa",0.0697604566812515
"21","c-21","1","1-b_cellsa",0.0702430754899979
"22","c-22","1","1-b_cellsa",0.178288325667381
"23","c-23","1","1-b_cellsa",0.0457663238048553
"24","c-24","1","1-b_cellsa",0.0846273228526115
"25","c-25","1","1-b_cellsa",0.0490394942462444
"26","c-26","1","1-b_cellsa",0.098093681037426
"27","c-27","1","1-b_cellsa",0.0682682991027832
"28","c-28","1","1-b_cellsa",0.0519367754459381
"29","c-29","1","1-b_cellsa",0.133327707648277
"30","c-30","1","1-b_cellsa",0.0865443050861359
"31","c-31","1","1-b_cellsa",0.114203214645386
"32","c-32","1","1-b_cellsa",0.0263211484998465
"33","c-33","1","1-b_cellsa",0.0719099044799805
"34","c-34","1","1-b_cellsa",0.0326068066060543
"35","c-35","1","1-b_cellsa",0.0293758157640696
"36","c-36","1","1-b_cellsa",0.146989285945892
"37","c-37","1","1-b_cellsa",0.0344594605267048
"38","c-38","1","1-b_cellsa",0.0264839679002762
"39","c-39","1","1-b_cellsa",0.0302361734211445
"40","c-40","1","1-b_cellsa",0.019297257065773
