"","cell_id","from","to","percentage"
"1","c-1","1","2",0
"2","c-2","1","2",0.659667898338234
"3","c-3","1","3",0.0180057591068044
"4","c-4","2","4",0.105730833417879
"5","c-5","1","2",0.596689551322774
"6","c-6","1","2",0.986840366512628
"7","c-7","1","2",0.941246456574402
"8","c-8","1","2",0.368657083181027
"9","c-9","1","2",0.944072892162105
"10","c-10","1","2",0.844807449175771
"11","c-11","2","4",0.094631328327099
"12","c-12","2","4",0.016600793954613
"13","c-13","2","4",0.0740544754695701
"14","c-14","2","4",0.0630006499971273
"15","c-15","1","2",0.852529315700693
"16","c-16","2","4",0.0569517177064494
"17","c-17","1","3",0.0691353367165315
"18","c-18","1","2",0.446773255717274
"19","c-19","1","2",0
"20","c-20","1","2",0.203763688751352
"21","c-21","2","4",0.125860340889021
"22","c-22","1","2",0.760448990031962
"23","c-23","2","4",0.0689063849469443
"24","c-24","1","2",0.499491340697769
"25","c-25","1","3",0.0465511415208849
"26","c-26","1","3",0.135123438542526
"27","c-27","1","2",0.871394318610614
"28","c-28","2","4",0.0454959024375335
"29","c-29","1","3",0.111289475049105
"30","c-30","2","4",0.00132748901396831
"31","c-31","2","4",0.0244965216008587
"32","c-32","1","2",0.898168965215507
"33","c-33","1","3",0.053647842058177
"34","c-34","1","3",0.0864628181969874
"35","c-35","1","2",0.811219154918571
"36","c-36","2","4",0.0906522472963865
"37","c-37","1","3",0.0690311125084659
"38","c-38","2","4",0.015867776662028
"39","c-39","1","2",0.912135778528757
"40","c-40","2","4",0.107128712359932
"41","c-41","2","4",0.0686969253561774
"42","c-42","1","3",0.0812199824514353
"43","c-43","1","2",0.493827462066716
"44","c-44","2","4",0.0155678081589314
"45","c-45","1","2",0
"46","c-46","2","4",0.0373216938428851
"47","c-47","1","2",0.622741723061882
"48","c-48","2","4",0.0365891306774253
"49","c-49","2","4",0.00961099760177224
"50","c-50","2","4",0.226822975381312
"51","c-51","1","2",0.991548778826501
"52","c-52","1","2",0.976132718894812
"53","c-53","1","2",0.684145006715683
"54","c-54","1","2",0.152431366659325
"55","c-55","1","2",0
"56","c-56","2","4",0.0693022220008897
"57","c-57","1","2",0
"58","c-58","1","2",0.480845301690321
"59","c-59","1","2",0.949920451431258
"60","c-60","1","2",0
"61","c-61","1","2",0.923236676701924
"62","c-62","2","4",0.0356311956508961
"63","c-63","2","4",0.0349601018656429
"64","c-64","1","2",0
"65","c-65","1","2",0.706755428982389
"66","c-66","1","2",0.66996218191096
"67","c-67","1","2",0.986449209494246
"68","c-68","2","4",0.0215997047928098
"69","c-69","1","2",0.959797833170822
"70","c-70","1","2",0.659099833422385
"71","c-71","1","2",0.876836722474266
"72","c-72","2","4",0.0623716902808691
"73","c-73","1","3",0.00898856880187306
"74","c-74","1","2",0.319853141096921
"75","c-75","1","2",0.902886001757571
"76","c-76","2","4",0.0681273583101694
"77","c-77","1","2",0.951548103918848
"78","c-78","2","4",0.0545936575723803
"79","c-79","1","2",0
"80","c-80","2","4",0.0651704918615802
"81","c-81","1","3",0.0810439226945437
"82","c-82","2","4",0.053321419166006
"83","c-83","1","2",0.614522500290278
"84","c-84","2","4",0.0623285055356915
"85","c-85","2","4",0.1150184158413
"86","c-86","1","2",0.912394518390499
"87","c-87","2","4",0.0361800122214378
"88","c-88","1","2",0.750762192540553
"89","c-89","1","2",0.923823240894732
"90","c-90","1","2",0.893647763077438
"91","c-91","2","4",0.00328922172630757
"92","c-92","2","4",0.0119257771481114
"93","c-93","1","2",0.531733749093015
"94","c-94","2","4",0.034523391661216
"95","c-95","2","4",0.0128637089817046
"96","c-96","1","2",0.747661760166168
"97","c-97","1","2",0
"98","c-98","1","2",0.48676562743902
"99","c-99","2","4",0.046109053673419
"100","c-100","1","2",0.970929066277769
"101","c-101","1","2",0.226936345468061
"102","c-102","2","4",0.0289564383136809
"103","c-103","1","3",0.092724324603678
"104","c-104","1","3",0.0776149250112771
"105","c-105","1","2",0
"106","c-106","1","2",0.880481929496238
"107","c-107","1","2",0.98862077051645
"108","c-108","2","4",0.00616639111334404
"109","c-109","1","2",0.35018336967744
"110","c-110","1","2",0.873748633000999
"111","c-111","2","4",0.00952116035354617
"112","c-112","1","3",0
"113","c-113","1","2",0.865513226188791
"114","c-114","1","2",0.80950211244573
"115","c-115","1","3",0.0318438829875604
"116","c-116","1","2",0.771735030672327
"117","c-117","1","3",0.0480254040720494
"118","c-118","2","4",0.130365640497637
"119","c-119","2","4",0.0482029295258778
"120","c-120","2","4",0.0547769444526343
"121","c-121","2","4",0.122261946702072
"122","c-122","1","2",0
"123","c-123","2","4",0.0114923541486356
"124","c-124","1","2",0.944167051469738
"125","c-125","2","4",0.0207278710237128
"126","c-126","1","2",0.480158200899104
"127","c-127","2","4",0.0183914089513539
"128","c-128","1","2",0.654494002639349
"129","c-129","1","2",0.833903410269787
"130","c-130","1","2",0
"131","c-131","1","3",0.0448855328108814
"132","c-132","1","2",0.596602038062555
"133","c-133","1","2",0.810010716465914
"134","c-134","1","2",0.851164389657128
"135","c-135","1","2",0.219025100010616
"136","c-136","1","2",0.79314790801977
"137","c-137","1","2",0.674332955282617
"138","c-138","1","3",0.143376332338184
"139","c-139","1","2",0.540154920584005
"140","c-140","1","2",0.986872253912127
"141","c-141","1","2",0.935524153048957
"142","c-142","1","2",0.348359405100144
"143","c-143","1","2",0.730710774473241
"144","c-144","2","4",0.017491531344102
"145","c-145","2","4",0.0967533610627742
"146","c-146","2","4",0.146141825870751
"147","c-147","1","2",0.890240067089728
"148","c-148","1","2",0.736279995951025
"149","c-149","1","2",0.22142663958702
"150","c-150","1","2",0.310018724038122
"151","c-151","2","4",0.113102041334672
"152","c-152","2","4",0.000824074452272269
"153","c-153","1","2",0.79577866481348
"154","c-154","2","4",0.0421637088061132
"155","c-155","1","2",0.144181761744368
"156","c-156","1","3",0
"157","c-157","1","2",0.901213923937076
"158","c-158","1","2",0
"159","c-159","1","2",0.778700774329051
"160","c-160","1","3",0.0374653493503726
"161","c-161","1","2",0.635190637479279
"162","c-162","1","2",0.327824762697805
"163","c-163","1","2",0.286043321459243
"164","c-164","2","4",0.0655142665539442
"165","c-165","1","3",0.0666047848480203
"166","c-166","1","2",0.99394952028742
"167","c-167","2","4",0.0590282687324255
"168","c-168","1","2",0.780207933795022
"169","c-169","2","4",0.110230107372602
"170","c-170","1","2",0.892451551988692
"171","c-171","1","2",0.88450949739757
"172","c-172","2","4",0.0904184725103269
"173","c-173","1","2",0
"174","c-174","2","4",0.0759659111245018
"175","c-175","1","3",0.105466228675175
"176","c-176","2","4",0.0363966037043329
"177","c-177","1","2",0.732032530075288
"178","c-178","2","4",0.0377008233533377
"179","c-179","1","2",0.423270365280443
"180","c-180","1","2",0.593316315672679
"181","c-181","2","4",0.0159051851129364
"182","c-182","1","2",0
"183","c-183","1","2",0.968460383270603
"184","c-184","2","4",0.0565365455133825
"185","c-185","2","4",0.0484874847531165
"186","c-186","1","2",0.831815715899435
"187","c-187","2","4",0.0995313200226576
"188","c-188","2","4",0.0262282919786836
"189","c-189","1","2",0.120111371860794
"190","c-190","2","4",0.0196287205688278
"191","c-191","2","4",0.0445183189293233
"192","c-192","1","2",0
"193","c-193","1","2",0.781412308299343
"194","c-194","1","2",0.750792681679511
"195","c-195","1","2",0.789688679417363
"196","c-196","2","4",0.137614926740154
"197","c-197","2","4",0.0547025118265395
"198","c-198","2","4",0.0055325585781092
"199","c-199","1","2",0.383424017265854
"200","c-200","2","4",0.0444176228465144
"201","c-201","1","2",0.773472588582975
"202","c-202","1","2",0.699067575609668
"203","c-203","1","2",0.0432706291098072
"204","c-204","2","4",0.0329598177434588
"205","c-205","2","4",0.136951163212062
"206","c-206","2","4",0.0914336367829508
"207","c-207","2","4",0.0185601673458851
"208","c-208","1","2",0.621226622264055
"209","c-209","2","4",0.00622902110212139
"210","c-210","1","2",0.750940966948073
"211","c-211","1","2",0.946328598386457
"212","c-212","2","4",0.0411348544162451
"213","c-213","1","2",0.335982800070068
"214","c-214","2","4",0.044432856731644
"215","c-215","2","4",0.0798907692030269
"216","c-216","1","2",0
"217","c-217","1","2",0.719305178859081
"218","c-218","1","2",0.916215753985525
"219","c-219","1","2",0.37301723219174
"220","c-220","1","2",0.33285559511398
"221","c-221","2","4",0.0566295171058811
"222","c-222","1","3",0.143880050604196
"223","c-223","1","2",0.798619014356843
"224","c-224","1","2",0.97238514993255
"225","c-225","1","3",0.0668949353268079
"226","c-226","1","2",0
"227","c-227","1","2",0.657604022276862
"228","c-228","2","4",0.0606410972470054
"229","c-229","2","4",0.0171532378105799
"230","c-230","1","3",0.129759195508685
"231","c-231","1","2",0.948402929484198
"232","c-232","1","2",0.516400636204498
"233","c-233","1","2",0.855382330480374
"234","c-234","1","2",0.863335038658383
"235","c-235","1","2",0.418255159190157
"236","c-236","1","2",0.773056952331224
"237","c-237","2","4",0.0317865389506338
"238","c-238","2","4",0.0832111116356742
"239","c-239","1","2",0
"240","c-240","1","3",0
"241","c-241","2","4",0.0194287982160368
"242","c-242","1","2",0.918491512805605
"243","c-243","1","2",0.831013255360945
"244","c-244","1","2",0.908309109742517
"245","c-245","1","2",0.639884620320004
"246","c-246","1","3",0
"247","c-247","2","4",0.0682139812030589
"248","c-248","1","2",0.948604217689841
"249","c-249","1","2",0.867927118206676
"250","c-250","2","4",0.0780370795774259
"251","c-251","1","3",0.0964316322468739
"252","c-252","2","4",0.065556988399651
"253","c-253","1","2",0.930334891359107
"254","c-254","1","2",0
"255","c-255","1","3",0
"256","c-256","2","4",0.00408842134889814
"257","c-257","1","2",0.219894466636327
"258","c-258","1","2",0.87430502108735
"259","c-259","1","2",0.903741094089976
"260","c-260","1","2",0.976832816265148
"261","c-261","1","2",0.99873523858894
"262","c-262","2","4",0.0427490229003837
"263","c-263","1","2",0.957603918848347
"264","c-264","1","2",0
"265","c-265","1","2",0.15587610041134
"266","c-266","1","3",0.0502907828568046
"267","c-267","1","2",0.0849473475113098
"268","c-268","1","2",0.981589587336286
"269","c-269","1","2",0.656544050809496
"270","c-270","1","3",0.10664551267081
"271","c-271","1","2",0
"272","c-272","1","2",0
"273","c-273","1","2",0.677832553180386
"274","c-274","1","2",0.925760890697707
"275","c-275","2","4",0.052169650768737
"276","c-276","1","2",0.8524286306163
"277","c-277","1","2",0.846827033613333
"278","c-278","2","4",0.0583245901486047
"279","c-279","2","4",0.0146821034121339
"280","c-280","1","2",0.93757513643163
"281","c-281","2","4",0.0534267921719289
"282","c-282","1","2",0.664197616788025
"283","c-283","2","4",0.098647154371345
"284","c-284","2","4",0.0337443894904714
"285","c-285","1","3",0.0915293469215669
"286","c-286","2","4",0.0258922349364259
"287","c-287","2","4",0.0619833013477138
"288","c-288","1","2",0.710470466418682
"289","c-289","2","4",0.00804321612267391
"290","c-290","1","2",0.865960941658374
"291","c-291","1","3",0.0827545549909696
"292","c-292","1","2",0.580474293094774
"293","c-293","1","2",0.503162373667938
"294","c-294","2","4",0.0236753315208156
"295","c-295","1","2",0.112381721232518
"296","c-296","2","4",0.073339092487219
"297","c-297","2","4",0.0139353895938589
"298","c-298","1","2",0
"299","c-299","1","2",0.639852938702263
"300","c-300","1","2",0.853779274517883
"301","c-301","1","2",0.828927379334955
"302","c-302","2","4",0.0275182480820308
"303","c-303","1","2",0.875273677619543
"304","c-304","2","4",0.143702280051009
"305","c-305","1","3",0.131325918364412
"306","c-306","1","2",0.904376765913405
"307","c-307","1","3",0.0516134742993763
"308","c-308","2","4",0.013619364178665
"309","c-309","2","4",0.0126729227435618
"310","c-310","2","4",0.0507579994133784
"311","c-311","2","4",0.0315870149763669
"312","c-312","1","2",0.663568418558204
"313","c-313","1","2",0.680192982960463
"314","c-314","1","2",0.944951052519544
"315","c-315","1","3",0.10926339192409
"316","c-316","1","2",0.988916193826056
"317","c-317","1","3",0
"318","c-318","1","2",0.774746848668578
"319","c-319","1","2",0
"320","c-320","1","2",0.68569604397038
"321","c-321","1","2",0.505727801517752
"322","c-322","2","4",0.0754237148160562
"323","c-323","2","4",0.0475713782880621
"324","c-324","2","4",0.0524853812397617
"325","c-325","2","4",0.0949883965208718
"326","c-326","2","4",0.0651141188868492
"327","c-327","1","2",0.672987288263612
"328","c-328","1","2",0.584371409057286
"329","c-329","1","2",0.793323244801129
"330","c-330","1","2",0
"331","c-331","1","2",0.989416980067678
"332","c-332","1","2",0.232979154027434
"333","c-333","1","2",0.986459379588128
"334","c-334","2","4",0.148175197453615
"335","c-335","1","2",0.376660088870095
"336","c-336","2","4",0.0782300178800585
"337","c-337","2","4",0.0182595490668935
"338","c-338","2","4",0.124725121336306
"339","c-339","1","2",0.963989137626866
"340","c-340","1","2",0.238878428952888
"341","c-341","1","2",0.628166281636285
"342","c-342","1","2",0.555617730138907
"343","c-343","2","4",0.0930874716719602
"344","c-344","1","2",0.810729352376163
"345","c-345","1","2",0.796875669902497
"346","c-346","1","2",0.9909586672776
"347","c-347","1","2",0.668528578072723
"348","c-348","2","4",0.00513636493115098
"349","c-349","1","2",0.634076711522784
"350","c-350","1","2",0.624945789363743
"351","c-351","2","4",0.0278047545982433
"352","c-352","2","4",0.0238823307568814
"353","c-353","1","2",0.731362248996969
"354","c-354","1","2",0.729236350232164
"355","c-355","1","2",0.79296743861101
"356","c-356","2","4",0.00194343228899127
"357","c-357","1","2",0.560716206117545
"358","c-358","1","3",0.0850032280353945
"359","c-359","1","3",0.115260833197682
"360","c-360","1","2",0.723770957083147
"361","c-361","1","2",0.995196679534313
"362","c-362","1","2",0
"363","c-363","1","2",0.822103624261755
"364","c-364","2","4",0.0206965647047701
"365","c-365","2","4",0.0928984938881021
"366","c-366","1","2",0.640791017283117
"367","c-367","2","4",0.0514376596075435
"368","c-368","1","3",0.125487371920048
"369","c-369","1","2",0.502646368978821
"370","c-370","2","4",0.0471210356022165
"371","c-371","1","2",0.97820907566057
"372","c-372","1","2",0.699030593864677
"373","c-373","2","4",0.0491816492374598
"374","c-374","1","2",0.794925210968848
"375","c-375","1","2",0.155284855600574
"376","c-376","1","3",0
"377","c-377","2","4",0.00400123575748118
"378","c-378","2","4",0.0179275621521663
"379","c-379","1","3",0.119762100253213
"380","c-380","1","2",0.887082094964379
"381","c-381","1","2",0.904116304534656
"382","c-382","1","2",0.649143804985757
"383","c-383","1","2",0.908035812736192
"384","c-384","2","4",0.124327901528016
"385","c-385","2","4",0.00788708351807066
"386","c-386","2","4",0.0836710135597174
"387","c-387","1","3",0.0967608017438368
"388","c-388","1","2",0.849385538677381
"389","c-389","1","2",0.997763223553273
"390","c-390","1","2",0.837641576727935
"391","c-391","1","3",0.0744176937518135
"392","c-392","1","2",0.75974769380091
"393","c-393","1","2",0.99077520227296
"394","c-394","2","4",0.0514906085073549
"395","c-395","1","2",0.97183753251663
"396","c-396","1","3",0.11129595545148
"397","c-397","1","2",0.455596483223187
"398","c-398","1","2",0.935050420197599
"399","c-399","2","4",0.0202428557398825
"400","c-400","2","4",0.120018694169754
"401","c-401","1","2",0.557896709961755
"402","c-402","1","2",0.427385575362564
"403","c-403","2","4",0.0265053032210594
"404","c-404","2","4",0.109729501511934
"405","c-405","1","2",0.622981087986049
"406","c-406","2","4",0.0697415964043279
"407","c-407","1","2",0.889795006794424
"408","c-408","2","4",0.0126849116868852
"409","c-409","2","4",0.0720081988759898
"410","c-410","1","2",0.817103904385953
"411","c-411","2","4",0.0409854514972972
"412","c-412","2","4",0.0728312688367781
"413","c-413","1","2",0.227942740773226
"414","c-414","1","2",0.888238212203699
"415","c-415","2","4",0.0275961543078183
"416","c-416","1","2",0.719441550615236
"417","c-417","2","4",0.00907295949524662
"418","c-418","2","4",0.0511809568037699
"419","c-419","1","2",0
"420","c-420","1","3",0.080725889666157
"421","c-421","1","2",0.348719045417449
"422","c-422","1","2",0.267854391500762
"423","c-423","1","2",0.373643575031755
"424","c-424","2","4",0.00453103832899472
"425","c-425","1","2",0.714926393124926
"426","c-426","1","2",0.392297729579458
"427","c-427","1","2",0.978180649967247
"428","c-428","1","2",0.711537722328814
"429","c-429","1","2",0.761735472721149
"430","c-430","1","3",0.0748770457229475
"431","c-431","1","2",0.60958289724356
"432","c-432","2","4",0.0226018205366652
"433","c-433","1","2",0
"434","c-434","1","3",0.127460717087772
"435","c-435","2","4",0.0338775547443082
"436","c-436","2","4",0.0411432876089563
"437","c-437","1","3",0.0703649392427
"438","c-438","1","2",0.645983501567869
"439","c-439","1","2",0.333211536707683
"440","c-440","1","2",0
"441","c-441","2","4",0.0456448767317576
"442","c-442","2","4",0.0797308537424129
"443","c-443","1","2",0.632823447975865
"444","c-444","1","2",0.571821090291301
"445","c-445","2","4",0.0229394405247185
"446","c-446","1","2",0.841306712545357
"447","c-447","2","4",0.0615672260401927
