"","cell_id","from","to","percentage"
"1","c-1","Y_1","Y_7",0
"2","c-2","Y_1","Y_7",0
"3","c-3","Y_1","Y_7",0
"4","c-4","Y_1","Y_7",0
"5","c-5","Y_1","Y_7",0
"6","c-6","Y_1","Y_7",0
"7","c-7","Y_1","Y_7",0
"8","c-8","Y_1","Y_7",0
"9","c-9","Y_1","Y_7",0
"10","c-10","Y_1","Y_7",0
"11","c-11","Y_1","Y_7",0
"12","c-12","Y_1","Y_7",0
"13","c-13","Y_1","Y_7",0
"14","c-14","Y_1","Y_7",0
"15","c-15","Y_1","Y_7",0
"16","c-16","Y_1","Y_7",0
"17","c-17","Y_1","Y_7",0
"18","c-18","Y_1","Y_7",0
"19","c-19","Y_1","Y_7",0
"20","c-20","Y_1","Y_7",0
"21","c-21","Y_1","Y_7",0
"22","c-22","Y_1","Y_7",0
"23","c-23","Y_1","Y_7",0
"24","c-24","Y_1","Y_7",0
"25","c-25","Y_1","Y_7",0
"26","c-26","Y_1","Y_7",0
"27","c-27","Y_1","Y_7",0
"28","c-28","Y_1","Y_7",0
"29","c-29","Y_1","Y_7",0
"30","c-30","Y_1","Y_7",0
"31","c-31","Y_1","Y_7",0
"32","c-32","Y_1","Y_7",0
"33","c-33","Y_1","Y_7",0
"34","c-34","Y_1","Y_7",0
"35","c-35","Y_1","Y_7",0
"36","c-36","Y_1","Y_7",0
"37","c-37","Y_1","Y_7",0
"38","c-38","Y_1","Y_7",0
"39","c-39","Y_1","Y_7",0
"40","c-40","Y_1","Y_7",0
"41","c-41","Y_1","Y_7",0
"42","c-42","Y_1","Y_7",0
"43","c-43","Y_1","Y_7",0
"44","c-44","Y_1","Y_7",0
"45","c-45","Y_1","Y_7",0
"46","c-46","Y_1","Y_7",0
"47","c-47","Y_1","Y_7",0
"48","c-48","Y_1","Y_7",0
"49","c-49","Y_1","Y_7",0
"50","c-50","Y_1","Y_7",0
"51","c-51","Y_1","Y_7",0
"52","c-52","Y_1","Y_7",0
"53","c-53","Y_1","Y_7",0
"54","c-54","Y_1","Y_7",0
"55","c-55","Y_1","Y_7",0
"56","c-56","Y_1","Y_7",0
"57","c-57","Y_1","Y_7",0
"58","c-58","Y_1","Y_7",0
"59","c-59","Y_1","Y_7",0
"60","c-60","Y_1","Y_7",0
"61","c-61","Y_1","Y_7",0
"62","c-62","Y_1","Y_7",0
"63","c-63","Y_1","Y_7",0
"64","c-64","Y_1","Y_7",0
"65","c-65","Y_1","Y_7",0
"66","c-66","Y_1","Y_7",0
"67","c-67","Y_1","Y_7",0.123680501978256
"68","c-68","Y_1","Y_7",0
"69","c-69","Y_1","Y_7",0
"70","c-70","Y_1","Y_7",0
"71","c-71","Y_1","Y_7",0
"72","c-72","Y_1","Y_7",0
"73","c-73","Y_1","Y_7",0
"74","c-74","Y_1","Y_7",0
"75","c-75","Y_1","Y_7",0
"76","c-76","Y_1","Y_7",0
"77","c-77","Y_1","Y_7",0
"78","c-78","Y_1","Y_7",0
"79","c-79","Y_1","Y_7",0
"80","c-80","Y_1","Y_7",0
"81","c-81","Y_1","Y_7",0
"82","c-82","Y_1","Y_7",0
"83","c-83","Y_1","Y_7",0
"84","c-84","Y_1","Y_7",0
"85","c-85","Y_1","Y_7",0
"86","c-86","Y_1","Y_7",0
"87","c-87","Y_1","Y_7",0
"88","c-88","Y_1","Y_7",0.0626096908406473
"89","c-89","Y_1","Y_7",0
