"","cell_id","from","to","percentage"
"1","c-1","1","4",0.494532763957977
"2","c-2","1","4",0.573081970214844
"3","c-3","1","4",0.363139301538467
"4","c-4","1","4",0.364602476358414
"5","c-5","1","4",0.358520716428757
"6","c-6","1","4",0.367595553398132
"7","c-7","1","4",0.626407384872437
"8","c-8","1","4",0.392570346593857
"9","c-9","1","4",0.374179720878601
"10","c-10","1","4",0.28885093331337
"11","c-11","1","4",0.542167842388153
"12","c-12","1","4",0.264606833457947
"13","c-13","1","4",0.367920935153961
"14","c-14","1","4",0.583989858627319
"15","c-15","1","4",0.585872530937195
"16","c-16","1","4",0.591879785060883
"17","c-17","1","4",0.619515538215637
"18","c-18","1","4",0.361315667629242
"19","c-19","1","4",0.430790573358536
"20","c-20","1","4",0.561930239200592
"21","c-21","1","4",0.475117623806
"22","c-22","1","4",0.479957938194275
"23","c-23","1","4",0.477667510509491
"24","c-24","1","4",0.287885993719101
"25","c-25","1","4",0.200579643249512
"26","c-26","1","4",0.152082815766335
"27","c-27","1","4",0.560979008674622
"28","c-28","1","4",0.430290758609772
"29","c-29","1","4",0.667514443397522
"30","c-30","1","4",0.468082129955292
"31","c-31","1","4",0.537992775440216
"32","c-32","1","4",0.294437378644943
"33","c-33","1","4",0.50159364938736
"34","c-34","1","4",0.253829061985016
"35","c-35","1","4",0.203321903944016
"36","c-36","1","4",0.434136360883713
"37","c-37","1","4",0.251011997461319
"38","c-38","1","4",0.481009036302567
"39","c-39","1","4",0.804221630096436
"40","c-40","1","4",0.155882954597473
"41","c-41","1","4",0.300411552190781
"42","c-42","1","4",0.351490348577499
"43","c-43","1","4",0.330692261457443
"44","c-44","1","4",0.301735818386078
"45","c-45","1","4",0.191194385290146
"46","c-46","1","4",0.184040367603302
"47","c-47","1","4",0.306365549564362
"48","c-48","1","4",0.24676513671875
"49","c-49","1","4",0.57017719745636
"50","c-50","1","4",0.530298829078674
"51","c-51","1","4",0.331229448318481
"52","c-52","2","1",0.462956815958023
"53","c-53","2","1",0.325649857521057
"54","c-54","2","1",0.780706822872162
"55","c-55","2","1",1
"56","c-56","2","1",0.423151254653931
"57","c-57","2","1",0.355875909328461
"58","c-58","2","1",0.6091029047966
"59","c-59","2","1",0.446531713008881
"60","c-60","2","1",0.905523896217346
"61","c-61","2","1",0.836899936199188
"62","c-62","2","1",0.84877747297287
"63","c-63","2","1",0.64782053232193
"64","c-64","2","1",0.161771327257156
"65","c-65","2","1",0.214098736643791
"66","c-66","2","1",0.445180356502533
"67","c-67","2","1",0.558252811431885
"68","c-68","2","1",0.642334342002869
"69","c-69","2","1",0.151120647788048
"70","c-70","2","1",0.666554272174835
"71","c-71","2","1",0.572500824928284
"72","c-72","2","1",0.289895713329315
"73","c-73","2","1",0.330414861440659
"74","c-74","2","1",0.0912698283791542
"75","c-75","2","1",0.607482075691223
"76","c-76","2","1",0.41313037276268
"77","c-77","2","1",0.175125524401665
"78","c-78","2","1",0.166374146938324
"79","c-79","2","1",0.112544991075993
"80","c-80","2","1",0.184222906827927
"81","c-81","2","1",0.677138686180115
"82","c-82","2","1",0.584867835044861
"83","c-83","2","1",0.119040757417679
"84","c-84","2","1",0.587760150432587
"85","c-85","2","1",0.795683622360229
"86","c-86","2","1",0.297853261232376
"87","c-87","2","1",0.291259765625
"88","c-88","2","1",0.205614224076271
"89","c-89","2","1",0.136374071240425
"90","c-90","2","1",0.753486752510071
"91","c-91","2","1",0.247071608901024
"92","c-92","2","1",0.695198953151703
"93","c-93","2","1",0.730148136615753
"94","c-94","2","1",0.239307403564453
"95","c-95","2","1",0.582167208194733
"96","c-96","2","1",0.108876302838326
"97","c-97","2","1",0.433893829584122
"98","c-98","2","1",0.186784833669662
"99","c-99","2","1",0.291347712278366
"100","c-100","2","1",0
"101","c-101","2","1",0.430958151817322
"102","c-102","2","1",0.351932257413864
"103","c-103","2","1",0.267375111579895
"104","c-104","2","1",0.184883505105972
"105","c-105","2","1",0.183179423213005
"106","c-106","2","1",0.196266710758209
"107","c-107","2","1",0.158281967043877
"108","c-108","2","1",0.243853554129601
"109","c-109","2","1",0.116935916244984
"110","c-110","2","1",0.527075886726379
"111","c-111","2","1",0.638582825660706
"112","c-112","2","1",0.298844456672668
"113","c-113","2","1",0.22683173418045
"114","c-114","2","1",0.171554461121559
"115","c-115","2","1",0.196083813905716
"116","c-116","2","1",0.316372364759445
"117","c-117","2","1",0.241853415966034
"118","c-118","2","1",0.385789394378662
"119","c-119","2","1",0.186588928103447
"120","c-120","2","1",0.131196707487106
"121","c-121","2","1",0.400734513998032
"122","c-122","2","1",0.174144372344017
"123","c-123","2","1",0.0722040086984634
"124","c-124","2","1",0.835749983787537
"125","c-125","2","1",0.626477122306824
"126","c-126","2","1",0.206222593784332
"127","c-127","2","1",0.183788776397705
"128","c-128","2","1",0.973218142986298
"129","c-129","2","1",0.378361821174622
"130","c-130","2","1",0.109225444495678
"131","c-131","2","1",0.318488568067551
"132","c-132","2","1",0.330553293228149
"133","c-133","2","1",0.152798146009445
"134","c-134","2","1",0.350424379110336
"135","c-135","2","1",0.4532191157341
"136","c-136","2","1",0.137421563267708
"137","c-137","2","1",0.16765396296978
"138","c-138","2","1",0.345805674791336
"139","c-139","2","1",0.620019137859344
"140","c-140","2","1",0.744077503681183
"141","c-141","2","1",0.693829119205475
"142","c-142","2","1",0.602129638195038
"143","c-143","2","1",0.8884357213974
"144","c-144","2","1",0.359112232923508
"145","c-145","2","1",0.427653223276138
"146","c-146","2","1",0.351831197738647
"147","c-147","2","1",0.771814525127411
"148","c-148","2","1",0.205752536654472
"149","c-149","2","1",0.767904579639435
"150","c-150","2","1",0.18400302529335
"151","c-151","2","1",0.86151784658432
"152","c-152","1","3",0.645570337772369
"153","c-153","1","3",0.43383800983429
"154","c-154","1","3",0.272398382425308
"155","c-155","1","3",0.327446013689041
"156","c-156","1","3",0.812674224376678
"157","c-157","1","3",0.101919531822205
"158","c-158","1","3",0.444654285907745
"159","c-159","1","3",0.255458891391754
"160","c-160","1","3",0.752964079380035
"161","c-161","1","3",0.709311604499817
"162","c-162","1","3",0.816542983055115
"163","c-163","1","3",0.299384236335754
"164","c-164","1","3",0.727193176746368
"165","c-165","1","3",0.852367997169495
"166","c-166","1","3",0.582821071147919
"167","c-167","1","3",0.837958872318268
"168","c-168","1","3",0.839105606079102
"169","c-169","1","3",0.691706717014313
"170","c-170","1","3",0.673767983913422
"171","c-171","1","3",0.725640892982483
"172","c-172","1","3",0.776747584342957
"173","c-173","1","3",0.640234768390656
"174","c-174","1","3",0.973894596099854
"175","c-175","1","3",0.648200750350952
"176","c-176","1","3",0.597861468791962
"177","c-177","1","3",0.824710667133331
"178","c-178","1","3",0.63362181186676
"179","c-179","1","3",0.614018082618713
"180","c-180","1","3",0.699810743331909
"181","c-181","1","3",0.82692563533783
"182","c-182","1","3",0.843206226825714
"183","c-183","1","3",0.693930625915527
"184","c-184","1","3",0.812761664390564
"185","c-185","1","3",0.830547571182251
"186","c-186","1","3",0.899934113025665
"187","c-187","1","3",0.81775289773941
"188","c-188","1","3",0.844908475875854
"189","c-189","1","3",0.751869857311249
"190","c-190","1","3",0.777860701084137
"191","c-191","1","3",0.820577621459961
"192","c-192","1","3",0.840933322906494
"193","c-193","1","3",0.739506363868713
"194","c-194","1","3",0.865212321281433
"195","c-195","1","3",0.919257819652557
"196","c-196","1","3",0.651089549064636
"197","c-197","1","3",0.918052136898041
"198","c-198","1","3",0.883608043193817
"199","c-199","1","3",0.832301318645477
"200","c-200","1","3",0.764272630214691
"201","c-201","1","3",0.828083693981171
"202","c-202","1","3",0.92495459318161
"203","c-203","1","3",0.758828699588776
"204","c-204","1","3",0.871589958667755
"205","c-205","1","3",0.851848661899567
"206","c-206","1","3",0.849492490291595
"207","c-207","1","3",0.905203521251678
"208","c-208","1","3",0.828486144542694
"209","c-209","1","3",0.863076984882355
"210","c-210","1","3",0.94801265001297
"211","c-211","1","3",0.877959907054901
"212","c-212","1","3",0.885680913925171
"213","c-213","1","3",0.941166043281555
"214","c-214","1","3",0.840277254581451
"215","c-215","1","3",0.879917144775391
"216","c-216","1","3",0.777742862701416
"217","c-217","1","3",0.932156145572662
"218","c-218","1","3",0.8899005651474
"219","c-219","1","3",0.871016085147858
"220","c-220","1","3",1
"221","c-221","1","3",0.736489772796631
"222","c-222","1","3",0.71266382932663
"223","c-223","1","3",0.849437534809113
"224","c-224","1","3",0.901894927024841
"225","c-225","1","3",0.8768110871315
"226","c-226","1","3",0.812533736228943
"227","c-227","1","3",0.846487164497375
"228","c-228","1","3",0.932899057865143
"229","c-229","1","3",0.908615112304688
"230","c-230","1","3",0.839334845542908
"231","c-231","1","3",0.95052045583725
"232","c-232","1","3",0.823287606239319
"233","c-233","1","3",0.911348104476929
"234","c-234","1","3",0.833845198154449
"235","c-235","1","3",0.919961333274841
"236","c-236","1","3",0.924656808376312
"237","c-237","1","3",0.795895516872406
"238","c-238","1","3",0.865274786949158
"239","c-239","1","3",0.90256142616272
"240","c-240","1","3",0.834400415420532
"241","c-241","1","3",0.689562141895294
"242","c-242","1","3",0.77413272857666
"243","c-243","1","3",0.835628569126129
"244","c-244","1","3",0.876549184322357
"245","c-245","1","3",0.888327896595001
"246","c-246","1","3",0.826499283313751
"247","c-247","1","3",0.79635763168335
"248","c-248","1","3",0.861051023006439
"249","c-249","1","3",0.88993626832962
"250","c-250","1","3",0.798832178115845
"251","c-251","1","3",0.851175367832184
"252","c-252","3","5",0.571240425109863
"253","c-253","3","5",0.411235719919205
"254","c-254","3","5",0.622844696044922
