"","cell_id","from","to","percentage"
"1","c-2","2","1",0
"2","c-3","2","1",0.124611850563442
"3","c-4","2","1",0
"4","c-5","1","3",0.58769446947777
"5","c-6","1","3",0.941454256385427
"6","c-7","1","3",1
"7","c-8","1","3",0.32420061972545
"8","c-10","1","3",0.29890771165965
"9","c-11","2","1",0.347366401393417
"10","c-12","1","3",0.359884726302766
"11","c-14","2","1",0.0620139891754291
"12","c-18","2","1",0
"13","c-19","1","3",1
"14","c-22","2","1",0
"15","c-23","1","3",1
"16","c-24","2","1",0.00707561295707561
"17","c-25","1","3",0.987447335865234
"18","c-26","1","3",0.72990403832845
"19","c-28","1","3",1
"20","c-29","1","3",1
"21","c-33","1","3",0.512362253037047
"22","c-34","1","3",0.924633499459886
"23","c-36","2","1",0
"24","c-37","1","3",0.130173455132891
"25","c-38","1","3",0.488058261932095
"26","c-40","1","3",0.64518345176114
"27","c-41","2","1",0.954740669606082
"28","c-42","2","1",0
"29","c-43","2","1",0.172391997301758
"30","c-45","1","3",1
"31","c-46","2","1",0.606562732761465
"32","c-48","2","1",0
"33","c-49","2","1",0.135177175438347
"34","c-50","2","1",0.250896109648688
"35","c-52","2","1",0.861302738524524
"36","c-54","2","1",0.103481607925993
"37","c-56","2","1",0.149784002101179
"38","c-58","1","3",0.356760881928799
"39","c-59","2","1",0.817490146290372
"40","c-62","1","3",0.426510710162858
"41","c-63","1","3",1
"42","c-66","2","1",0.664657985464741
"43","c-67","1","3",0.169803150777301
"44","c-70","2","1",0.337512118473629
"45","c-71","2","1",0
"46","c-73","2","1",0
"47","c-75","1","3",0.710524677591593
"48","c-78","2","1",0.263377824789028
"49","c-79","2","1",0
"50","c-80","2","1",0.425656844254839
"51","c-81","1","3",0.349066047091169
"52","c-82","1","3",0.159294067652874
"53","c-83","2","1",0
"54","c-85","1","3",0.0826211600420161
"55","c-86","2","1",0.835194724625902
"56","c-87","1","3",0.460631662373765
"57","c-90","2","1",0
"58","c-91","1","3",1
"59","c-95","1","3",0.824547785141333
"60","c-96","2","1",0
"61","c-97","1","3",0.608900620547871
"62","c-98","1","3",0.450150388827504
"63","c-99","1","3",0.756638518301432
"64","c-101","2","1",0
"65","c-102","1","3",1
"66","c-103","2","1",0
"67","c-104","2","1",0.640326864900902
"68","c-106","1","3",0.56549305803638
"69","c-107","2","1",0
"70","c-109","2","1",0
"71","c-110","2","1",0
"72","c-113","1","3",0.751119262836509
"73","c-115","1","3",1
"74","c-117","1","3",1
"75","c-119","1","3",1
"76","c-120","2","1",0.491792034058039
"77","c-125","1","3",0.901704415812327
"78","c-126","2","1",0
"79","c-127","1","3",0.33561989101075
"80","c-128","2","1",0.818855389273374
"81","c-129","2","1",0.692738432560322
"82","c-131","1","3",1
"83","c-133","1","3",0.0297924677353598
"84","c-134","1","3",0.417818108884256
"85","c-135","2","1",0
