"","cell_id","from","to","percentage"
"1","c-17","Y_51","Y_60",0
"2","c-158","Y_51","Y_60",0
"3","c-325","Y_51","Y_60",1
"4","c-377","Y_51","Y_60",0
"5","c-432","Y_51","Y_60",0
"6","c-463","Y_51","Y_60",1
"7","c-481","Y_51","Y_60",0
"8","c-494","Y_51","Y_60",0
"9","c-544","Y_51","Y_60",1
"10","c-568","Y_51","Y_60",0
"11","c-610","Y_51","Y_60",0
"12","c-619","Y_51","Y_60",0
"13","c-631","Y_51","Y_60",0
"14","c-688","Y_51","Y_60",0
"15","c-729","Y_51","Y_60",1
"16","c-881","Y_51","Y_60",1
"17","c-915","Y_51","Y_60",0
"18","c-925","Y_51","Y_60",0
"19","c-1141","Y_51","Y_60",1
"20","c-1358","Y_51","Y_60",0
"21","c-1391","Y_51","Y_60",0
"22","c-1411","Y_51","Y_60",1
"23","c-1435","Y_51","Y_60",0
"24","c-1481","Y_51","Y_60",0
"25","c-1528","Y_51","Y_60",1
"26","c-1600","Y_51","Y_60",1
"27","c-1606","Y_51","Y_60",0
"28","c-1779","Y_51","Y_60",0
"29","c-1792","Y_51","Y_60",0
"30","c-1831","Y_51","Y_60",1
"31","c-1886","Y_51","Y_60",1
"32","c-1919","Y_51","Y_60",0
"33","c-1955","Y_51","Y_60",1
"34","c-1976","Y_51","Y_60",1
"35","c-1","Y_1","Y_2",0
"36","c-37","Y_1","Y_2",0
"37","c-90","Y_1","Y_2",1
"38","c-118","Y_1","Y_2",0
"39","c-187","Y_1","Y_2",0
"40","c-200","Y_1","Y_2",0
"41","c-211","Y_1","Y_2",0
"42","c-238","Y_1","Y_2",1
"43","c-390","Y_1","Y_2",1
"44","c-422","Y_1","Y_2",1
"45","c-452","Y_1","Y_2",0
"46","c-507","Y_1","Y_2",0
"47","c-551","Y_1","Y_2",0
"48","c-577","Y_1","Y_2",1
"49","c-589","Y_1","Y_2",1
"50","c-606","Y_1","Y_2",0
"51","c-649","Y_1","Y_2",1
"52","c-659","Y_1","Y_2",1
"53","c-666","Y_1","Y_2",1
"54","c-718","Y_1","Y_2",0
"55","c-738","Y_1","Y_2",0
"56","c-740","Y_1","Y_2",1
"57","c-805","Y_1","Y_2",0
"58","c-815","Y_1","Y_2",0
"59","c-882","Y_1","Y_2",0
"60","c-885","Y_1","Y_2",0
"61","c-912","Y_1","Y_2",0
"62","c-921","Y_1","Y_2",1
"63","c-927","Y_1","Y_2",0
"64","c-930","Y_1","Y_2",0
"65","c-971","Y_1","Y_2",1
"66","c-1001","Y_1","Y_2",0
"67","c-1075","Y_1","Y_2",0
"68","c-1160","Y_1","Y_2",0
"69","c-1196","Y_1","Y_2",0
"70","c-1201","Y_1","Y_2",1
"71","c-1272","Y_1","Y_2",0
"72","c-1367","Y_1","Y_2",1
"73","c-1671","Y_1","Y_2",0
"74","c-1770","Y_1","Y_2",0
"75","c-1857","Y_1","Y_2",0
"76","c-1885","Y_1","Y_2",0
"77","c-1936","Y_1","Y_2",0
"78","c-185","Y_2","Y_28",0.121910825243448
"79","c-415","Y_2","Y_28",0.121910825243448
"80","c-691","Y_2","Y_28",0.121910825243448
"81","c-756","Y_2","Y_28",0.121910825243448
"82","c-1443","Y_2","Y_28",0.121910825243448
"83","c-1455","Y_2","Y_28",0.121910825243448
"84","c-1478","Y_2","Y_28",0.121910825243448
"85","c-1570","Y_2","Y_28",0.121910825243448
"86","c-1687","Y_2","Y_28",0.121910825243448
"87","c-1940","Y_2","Y_28",0.121910825243448
"88","c-1983","Y_2","Y_28",0.121910825243448
"89","c-2","Y_2","Y_28",0.655016703019153
"90","c-67","Y_2","Y_28",0.655016703019153
"91","c-97","Y_2","Y_28",0.702373161271534
"92","c-167","Y_2","Y_28",0.702373161271534
"93","c-243","Y_2","Y_28",0.702373161271534
"94","c-337","Y_2","Y_28",0.702373161271534
"95","c-485","Y_2","Y_28",0.655016703019153
"96","c-555","Y_2","Y_28",0.655016703019153
"97","c-590","Y_2","Y_28",0.702373161271534
"98","c-698","Y_2","Y_28",0.655016703019153
"99","c-922","Y_2","Y_28",0.702373161271534
"100","c-934","Y_2","Y_28",0.655016703019153
"101","c-1055","Y_2","Y_28",0.655016703019153
"102","c-1231","Y_2","Y_28",0.655016703019153
"103","c-1301","Y_2","Y_28",0.655016703019153
"104","c-1305","Y_2","Y_28",0.655016703019153
"105","c-1514","Y_2","Y_28",0.702373161271534
"106","c-1546","Y_2","Y_28",0.655016703019153
"107","c-1615","Y_2","Y_28",0.702373161271534
"108","c-1686","Y_2","Y_28",0.655016703019153
"109","c-1850","Y_2","Y_28",0.702373161271534
"110","c-113","Y_2","Y_28",0.613601042163374
"111","c-130","Y_2","Y_28",0.558562481491906
"112","c-353","Y_2","Y_28",0.558562481491906
"113","c-451","Y_2","Y_28",0.558562481491906
"114","c-907","Y_2","Y_28",0.558562481491906
"115","c-956","Y_2","Y_28",0.558562481491906
"116","c-990","Y_2","Y_28",0.558562481491906
"117","c-1101","Y_2","Y_28",0.558562481491906
"118","c-1318","Y_2","Y_28",0.558562481491906
"119","c-1327","Y_2","Y_28",0.558562481491906
"120","c-1432","Y_2","Y_28",0.558562481491906
"121","c-1487","Y_2","Y_28",0.558562481491906
"122","c-1616","Y_2","Y_28",0.558562481491906
"123","c-1679","Y_2","Y_28",0.558562481491906
"124","c-1766","Y_2","Y_28",0.558562481491906
"125","c-293","Y_2","Y_28",0.43396661231896
"126","c-609","Y_2","Y_28",0.43396661231896
