"","cell_id","from","to","percentage"
"1","c-1","4","7",0.485228449106216
"2","c-2","5","4",0.0660161226987839
"3","c-3","2","6",0.666383147239685
"4","c-4","6","1",0.823109805583954
"5","c-5","2","6",0.60702645778656
"6","c-6","6","1",0.677012503147125
"7","c-7","2","6",0.597016394138336
"8","c-8","5","4",0.245039999485016
"9","c-9","1","9",0.84157806634903
"10","c-10","1","9",0.8116614818573
"11","c-11","4","7",0.244362384080887
"12","c-12","3","5",0.0932967737317085
"13","c-13","1","9",0.763001084327698
"14","c-14","5","4",0.157130360603333
"15","c-15","8","3",0.426841616630554
"16","c-16","6","1",0.816737234592438
"17","c-17","5","4",0.387999087572098
"18","c-18","7","2",0.693524956703186
"19","c-19","1","9",0.534489214420319
"20","c-20","7","2",0.499559849500656
"21","c-21","2","6",0.795084238052368
"22","c-22","7","2",0.790644109249115
"23","c-23","6","1",0.744815349578857
"24","c-24","4","7",0.481924116611481
"25","c-25","3","5",0.392743945121765
"26","c-26","2","6",0.442726314067841
"27","c-27","2","6",0.795224905014038
"28","c-28","2","6",0.645799458026886
"29","c-29","1","9",0.47514221072197
"30","c-30","2","6",0.267609864473343
"31","c-31","2","6",0.659730434417725
"32","c-32","2","6",0.621980369091034
"33","c-33","2","6",0.090577594935894
"34","c-34","2","6",0.814887762069702
"35","c-35","4","7",0.318139940500259
"36","c-36","3","5",0.629675328731537
"37","c-37","1","9",0.573801577091217
"38","c-38","8","3",0
"39","c-39","1","9",0.625768423080444
"40","c-40","3","5",0.510896325111389
"41","c-41","6","1",0.211579963564873
"42","c-42","3","5",0.704460561275482
"43","c-43","7","2",0.599198341369629
"44","c-44","3","5",0.133503451943398
"45","c-45","4","7",0.17872741818428
"46","c-46","1","9",0.324087917804718
"47","c-47","5","4",0.974842011928558
"48","c-48","2","6",0.597391426563263
"49","c-49","7","2",0.496927887201309
"50","c-50","5","4",0.171998977661133
"51","c-51","1","9",0.552030742168427
"52","c-52","4","7",0.285923928022385
"53","c-53","6","1",0.490103244781494
"54","c-54","5","4",0.6302809715271
"55","c-55","6","1",0.590491712093353
"56","c-56","3","5",0.751226425170898
"57","c-57","6","1",0.747551202774048
"58","c-58","3","5",0.716171860694885
"59","c-59","1","9",0.565809726715088
"60","c-60","3","5",0.689297795295715
"61","c-61","6","1",0.619367837905884
"62","c-62","8","3",0.0924119427800179
"63","c-63","6","1",0.173159345984459
"64","c-64","5","4",0.35427650809288
"65","c-65","7","2",0.640830516815186
"66","c-66","6","1",0.735387861728668
"67","c-67","6","1",0.0392482168972492
"68","c-68","1","9",0.211806684732437
"69","c-69","2","6",0.988593757152557
"70","c-70","6","1",0.863813638687134
"71","c-71","2","6",0.586912870407104
"72","c-72","2","6",0.735123872756958
"73","c-73","5","4",0.483013063669205
"74","c-74","4","7",0.49555829167366
"75","c-75","5","4",0.2806057035923
"76","c-76","4","7",0.115491710603237
"77","c-77","5","4",0.27796795964241
"78","c-78","7","2",0.154194965958595
"79","c-79","1","9",0.746380388736725
"80","c-80","5","4",0.458494782447815
"81","c-81","2","6",0.743170559406281
"82","c-82","2","6",0.573368549346924
"83","c-83","1","9",0.667556524276733
"84","c-84","4","7",0.462175130844116
"85","c-85","7","2",0.565427839756012
"86","c-86","6","1",0.15765868127346
"87","c-87","2","6",0.526656746864319
"88","c-88","1","9",0.765489995479584
"89","c-89","2","6",0.679673373699188
"90","c-90","7","2",0.141007676720619
"91","c-91","8","3",0.279365926980972
"92","c-92","7","2",0.731464624404907
"93","c-93","2","6",0.72665923833847
"94","c-94","2","6",0.598064064979553
"95","c-95","1","9",0.647927641868591
"96","c-96","1","9",0.792274594306946
"97","c-97","2","6",0.738453507423401
"98","c-98","4","7",0.526545226573944
"99","c-99","1","9",0.827786803245544
"100","c-100","4","7",0.38119575381279
"101","c-101","5","4",0.306181341409683
"102","c-102","3","5",0.525119602680206
"103","c-103","6","1",0.310854583978653
"104","c-104","7","2",1
"105","c-105","5","4",0.0428500548005104
"106","c-106","3","5",0.532840490341187
"107","c-107","6","1",0.181624978780746
"108","c-108","3","5",0.629193007946014
"109","c-109","5","4",0.0215887445956469
"110","c-110","7","2",0.326596170663834
"111","c-111","4","7",0.20562818646431
"112","c-112","1","9",0.570549845695496
"113","c-113","1","9",0.623393833637238
"114","c-114","7","2",0.864357531070709
"115","c-115","6","1",0.884179770946503
"116","c-116","1","9",0.564124703407288
"117","c-117","4","7",0.382947534322739
"118","c-118","6","1",0.887173891067505
"119","c-119","1","9",0.697878897190094
"120","c-120","3","5",0.398046106100082
"121","c-121","3","5",0.165276497602463
"122","c-122","3","5",0.677327930927277
"123","c-123","5","4",0.594085037708282
"124","c-124","3","5",0.359568566083908
"125","c-125","4","7",0.437132298946381
"126","c-126","1","9",0.548146724700928
"127","c-127","1","9",0.877729177474976
"128","c-128","2","6",0.684891700744629
"129","c-129","1","9",0.728848397731781
"130","c-130","1","9",0.718560934066772
"131","c-131","1","9",0.7339146733284
"132","c-132","1","9",0.333465814590454
"133","c-133","1","9",0.83707594871521
"134","c-134","1","9",0.56293123960495
"135","c-135","4","7",0.453220993280411
"136","c-136","7","2",0.392531186342239
"137","c-137","4","7",0.625936150550842
"138","c-138","2","6",0.18217046558857
"139","c-139","6","1",0.608980238437653
"140","c-140","4","7",0.624129295349121
"141","c-141","2","6",0.781850636005402
"142","c-142","1","9",0.452454566955566
"143","c-143","8","3",0.48368313908577
"144","c-144","4","7",0.279237031936646
"145","c-145","1","9",0.927459418773651
"146","c-146","1","9",0.294336259365082
"147","c-147","5","4",0.154761508107185
"148","c-148","4","7",0.341592788696289
"149","c-149","5","4",0.306143492460251
"150","c-150","8","3",0.462635278701782
"151","c-151","4","7",0.129976540803909
"152","c-152","2","6",0.824277877807617
"153","c-153","5","4",0.259054809808731
"154","c-154","2","6",0.804702401161194
"155","c-155","5","4",0.28011280298233
"156","c-156","7","2",0.648705065250397
"157","c-157","5","4",0.603397369384766
"158","c-158","2","6",0.601328313350677
"159","c-159","5","4",0.174892425537109
"160","c-160","4","7",0.43981921672821
"161","c-161","6","1",0.854768216609955
"162","c-162","3","5",0.495502442121506
"163","c-163","3","5",0.534650146961212
"164","c-164","1","9",0.757794082164764
"165","c-165","2","6",0.36869540810585
"166","c-166","1","9",0.678650438785553
"167","c-167","8","3",0.881413161754608
"168","c-168","5","4",0.379998713731766
"169","c-169","4","7",0.544937670230865
"170","c-170","3","5",0.716309607028961
"171","c-171","6","1",0.808283388614655
"172","c-172","3","5",0.709884643554688
"173","c-173","3","5",0.67070072889328
"174","c-174","2","6",0.315637290477753
"175","c-175","5","4",0.31260746717453
"176","c-176","1","9",0.937478542327881
"177","c-177","6","1",0.197172522544861
"178","c-178","7","2",0.638856887817383
"179","c-179","1","9",0.793562114238739
"180","c-180","3","5",0.526548027992249
"181","c-181","7","2",0.308472663164139
"182","c-182","2","6",0.82659125328064
"183","c-183","4","7",0.704214334487915
"184","c-184","4","7",0.438631057739258
"185","c-185","4","7",0.812097132205963
"186","c-186","1","9",0.603538393974304
"187","c-187","1","9",0.659935772418976
"188","c-188","2","6",0.685841679573059
"189","c-189","1","9",0.667962670326233
"190","c-190","3","5",0.524751424789429
"191","c-191","3","5",0.3067786693573
"192","c-192","2","6",0.601684093475342
"193","c-193","1","9",0.650279104709625
"194","c-194","5","4",0.053899023681879
"195","c-195","4","7",0.524936139583588
"196","c-196","3","5",0.0289223697036505
"197","c-197","8","3",0.515760362148285
"198","c-198","2","6",0.672227144241333
"199","c-199","2","6",0.625146269798279
"200","c-200","3","5",0.512175440788269
"201","c-201","2","6",0.766215562820435
"202","c-202","5","4",0
"203","c-203","4","7",0.520303010940552
"204","c-204","7","2",0.690284490585327
"205","c-205","8","3",0.077154316008091
"206","c-206","5","4",0.348128974437714
"207","c-207","2","6",0.450318038463593
"208","c-208","1","9",0.573656976222992
"209","c-209","8","3",0.542246699333191
"210","c-210","6","1",0.768308520317078
"211","c-211","2","6",1
"212","c-212","5","4",0.492671310901642
"213","c-213","1","9",0.0681656748056412
"214","c-214","6","1",0.360138863325119
"215","c-215","1","9",0.929854810237885
"216","c-216","8","3",0.276976615190506
"217","c-217","8","3",0.533999621868134
"218","c-218","4","7",0.402453184127808
"219","c-219","4","7",0.642005205154419
"220","c-220","1","9",0.839142501354218
"221","c-221","2","6",0.669140040874481
"222","c-222","1","9",0.519642293453217
"223","c-223","5","4",0.203672423958778
"224","c-224","2","6",0.446167707443237
"225","c-225","6","1",0.812852084636688
"226","c-226","7","2",0.38095811009407
"227","c-227","5","4",0.265785068273544
"228","c-228","4","7",0.449954390525818
"229","c-229","1","9",0.435198396444321
"230","c-230","4","7",0.399906158447266
"231","c-231","4","7",0.137768372893333
"232","c-232","2","6",0.129491806030273
