"","cell_id","from","to","percentage"
"1","c-1","1","5",0.398359907670937
"2","c-2","1","5",0.0122817842264584
"3","c-3","5","2",0.914736910712457
"4","c-4","2","3",0.837000419147505
"5","c-5","5","2",0.797391780166157
"6","c-6","2","3",0.794542363899805
"7","c-7","5","2",0.870448617815898
"8","c-8","4","1",0.961978021221965
"9","c-9","2","3",1
"10","c-10","2","3",1
"11","c-11","1","5",0.16009477321062
"12","c-12","4","1",0.130491434231815
"13","c-13","2","3",1
"14","c-14","1","5",0.058044224320525
"15","c-15","4","1",0
"16","c-16","2","3",0.813663887876647
"17","c-17","1","5",0.00742464086685229
"18","c-18","5","2",0.325366671944689
"19","c-19","2","3",1
"20","c-20","1","5",0.973653648563471
"21","c-21","5","2",0.881094964272166
"22","c-22","5","2",0.314287791511912
"23","c-23","2","3",0.859551006860384
"24","c-24","1","5",0.237583609231238
"25","c-25","4","1",0.330861357105481
"26","c-26","5","2",0.674743310590881
"27","c-27","2","3",0.0308116084708026
"28","c-28","5","2",0.839379223414762
"29","c-29","2","3",1
"30","c-30","5","2",0.614532091980322
"31","c-31","2","3",0.0175748114179387
"32","c-32","5","2",0.860939502420448
"33","c-33","5","2",0.387471805653264
"34","c-34","5","2",0.919616502515657
"35","c-35","1","5",0.234730420524519
"36","c-36","4","1",0.670460564422936
"37","c-37","2","3",1
"38","c-38","4","1",0
"39","c-39","2","3",1
"40","c-40","4","1",0.57926552297787
"41","c-41","2","3",0.20076014552704
"42","c-42","4","1",0.854207237578036
"43","c-43","5","2",0.157872416246383
"44","c-44","4","1",0.134717678105407
"45","c-45","1","5",0.121753180817316
"46","c-46","2","3",1
"47","c-47","4","1",0.973432169439472
"48","c-48","5","2",0.711175210747536
"49","c-49","1","5",0.918697601273252
"50","c-50","4","1",0.969451326230479
"51","c-51","2","3",1
"52","c-52","1","5",0.263294988400459
"53","c-53","2","3",0.52224637025738
"54","c-54","1","5",0.0502199793849493
"55","c-55","2","3",0.719157862448408
"56","c-56","4","1",0.833506200602649
"57","c-57","2","3",0.768090921667632
"58","c-58","4","1",0.870421960014667
"59","c-59","2","3",1
"60","c-60","4","1",0.877179198376326
"61","c-61","2","3",0.612170643218528
"62","c-62","4","1",0
"63","c-63","2","3",0.231752941866632
"64","c-64","1","5",0.0646517271701305
