"","cell_id","from","to","percentage"
"1","c-266","Y_107","Y_111",0
"2","c-274","Y_107","Y_111",0
"3","c-278","Y_107","Y_111",1
"4","c-280","Y_107","Y_111",0
"5","c-285","Y_107","Y_111",0
"6","c-288","Y_107","Y_111",0
"7","c-289","Y_107","Y_111",1
"8","c-290","Y_107","Y_111",0
"9","c-293","Y_107","Y_111",0
"10","c-294","Y_107","Y_111",0
"11","c-296","Y_107","Y_111",0
"12","c-297","Y_107","Y_111",0
"13","c-299","Y_107","Y_111",0
"14","c-301","Y_107","Y_111",1
"15","c-302","Y_107","Y_111",0
"16","c-310","Y_107","Y_111",0
"17","c-311","Y_107","Y_111",0
"18","c-312","Y_107","Y_111",0
"19","c-427","Y_15","Y_168",0.942783688428146
"20","c-440","Y_15","Y_168",0.942783688428146
"21","c-443","Y_15","Y_168",0.911279950218463
"22","c-450","Y_15","Y_168",0.911279950218463
"23","c-456","Y_15","Y_168",0.911279950218463
"24","c-475","Y_15","Y_168",0.911279950218463
"25","c-497","Y_15","Y_168",0.942783688428146
"26","c-445","Y_15","Y_168",0.911279950218463
"27","c-465","Y_15","Y_168",0.911279950218463
"28","c-469","Y_15","Y_168",0.911279950218463
"29","c-432","Y_15","Y_168",1
"30","c-452","Y_15","Y_168",1
"31","c-422","Y_15","Y_168",0.942783688428146
"32","c-448","Y_15","Y_168",0.942783688428146
"33","c-449","Y_15","Y_168",0.972676764324238
"34","c-463","Y_15","Y_168",0.972676764324238
"35","c-490","Y_15","Y_168",0.972676764324238
"36","c-491","Y_15","Y_168",0.972676764324238
"37","c-492","Y_15","Y_168",0.972676764324238
"38","c-5","Y_15","Y_168",0.0255592228393019
"39","c-27","Y_15","Y_168",0.0255592228393019
"40","c-40","Y_7","Y_15",0.617371889064942
"41","c-47","Y_7","Y_15",0.238066936597634
"42","c-49","Y_7","Y_15",0.617371889064942
"43","c-4","Y_7","Y_15",0.238066936597634
"44","c-7","Y_7","Y_15",0
"45","c-9","Y_7","Y_15",0
"46","c-14","Y_7","Y_15",0
"47","c-15","Y_7","Y_15",0
"48","c-18","Y_7","Y_15",0
"49","c-21","Y_7","Y_15",0
"50","c-28","Y_7","Y_15",0
"51","c-30","Y_7","Y_15",0
"52","c-33","Y_7","Y_15",0
"53","c-34","Y_7","Y_15",0
"54","c-37","Y_7","Y_15",0
"55","c-42","Y_7","Y_15",0
"56","c-45","Y_7","Y_15",0
"57","c-46","Y_7","Y_15",0
"58","c-48","Y_7","Y_15",0
"59","c-52","Y_7","Y_15",0
"60","c-6","Y_7","Y_15",1
"61","c-13","Y_7","Y_15",1
"62","c-19","Y_7","Y_15",0.617371889064942
"63","c-20","Y_7","Y_15",1
"64","c-38","Y_7","Y_15",1
"65","c-44","Y_7","Y_15",0.617371889064942
"66","c-53","Y_7","Y_15",1
"67","c-1","Y_9","Y_15",0.462110799199985
"68","c-3","Y_9","Y_15",0.733443391576274
"69","c-24","Y_9","Y_15",0.462110799199985
"70","c-29","Y_9","Y_15",0.462110799199985
"71","c-35","Y_9","Y_15",0.733443391576274
"72","c-41","Y_9","Y_15",0.462110799199985
"73","c-2","Y_9","Y_15",0.127697069008748
"74","c-11","Y_9","Y_15",0.127697069008748
"75","c-23","Y_9","Y_15",0.127697069008748
"76","c-32","Y_9","Y_15",0.283461427819271
"77","c-51","Y_9","Y_15",0.127697069008748
"78","c-54","Y_9","Y_15",0.127697069008748
"79","c-8","Y_9","Y_15",0.283461427819271
"80","c-25","Y_9","Y_15",0.283461427819271
"81","c-26","Y_9","Y_15",0.283461427819271
"82","c-31","Y_9","Y_15",0.283461427819271
"83","c-36","Y_9","Y_15",0.283461427819271
"84","c-50","Y_9","Y_15",0.462110799199985
"85","c-10","Y_9","Y_15",0
"86","c-12","Y_9","Y_15",0
"87","c-16","Y_9","Y_15",0
"88","c-17","Y_9","Y_15",0
"89","c-22","Y_9","Y_15",0
"90","c-39","Y_9","Y_15",0
"91","c-43","Y_9","Y_15",0.127697069008748
"92","c-213","Y_30","Y_83",0.836460465504841
"93","c-217","Y_30","Y_83",0.836460465504841
"94","c-218","Y_30","Y_83",0.836460465504841
"95","c-221","Y_30","Y_83",0.867907527338539
"96","c-223","Y_30","Y_83",0.867907527338539
"97","c-226","Y_30","Y_83",0.836460465504841
"98","c-229","Y_30","Y_83",0.836460465504841
"99","c-236","Y_30","Y_83",0.836460465504841
"100","c-237","Y_30","Y_83",0.836460465504841
"101","c-240","Y_30","Y_83",0.836460465504841
"102","c-241","Y_30","Y_83",0.836460465504841
"103","c-245","Y_30","Y_83",0.836460465504841
"104","c-251","Y_30","Y_83",0.836460465504841
"105","c-119","Y_30","Y_83",0.163453999839915
"106","c-121","Y_30","Y_83",0.163453999839915
"107","c-122","Y_30","Y_83",0.163453999839915
"108","c-125","Y_30","Y_83",0.163453999839915
"109","c-132","Y_30","Y_83",0.163453999839915
