"","from","to","length","directed"
"1","1","2",0.035348117351532,TRUE
"2","2","2-H7_derived_D2LtMa",0.0285413265228271,TRUE
"3","2","8",0.0196074247360229,TRUE
"4","3","9",0.160679459571838,TRUE
"5","4","10",0.0692843198776245,TRUE
"6","5","1",0.10497123003006,TRUE
"7","2","2-H7_derived_Sclrtma",0.0563095808029175,TRUE
"8","6","11",0.102994382381439,TRUE
"9","7","12",0.0790672227740288,TRUE
"10","2-H7_derived_D2LtMa","2-H7_derived_D2LtMb",0.000729781182275878,TRUE
"11","2-H7_derived_D2LtMb","2",0.000729781182275878,TRUE
"12","2-H7_derived_Sclrtma","2-H7_derived_Sclrtmb",0.000729781182275878,TRUE
"13","2-H7_derived_Sclrtmb","2",0.000729781182275878,TRUE
