"","cell_id","from","to","percentage"
"1","c-1","6","9",0.670361876487732
"2","c-2","6","9",0.931019425392151
"3","c-3","6","9",0
"4","c-4","6","9",0.14151756465435
"5","c-5","6","9",0.453189343214035
"6","c-6","6","9",0.204468831419945
"7","c-7","6","9",0.868679940700531
"8","c-8","6","9",0.13612861931324
"9","c-9","6","9",0.14450615644455
"10","c-10","6","9",0.0415293350815773
"11","c-11","6","9",0.762130737304688
"12","c-12","6","9",0.0170235838741064
"13","c-13","6","9",0.0433474220335484
"14","c-14","6","9",0.430330693721771
"15","c-15","6","9",0.794648826122284
"16","c-16","6","9",0.236729323863983
"17","c-17","6","9",0.277114659547806
"18","c-18","6","9",0.650324761867523
"19","c-19","6","9",0.616665124893188
"20","c-20","6","9",0.393369197845459
"21","c-21","6","9",0.00883596576750278
"22","c-22","6","9",0.13370355963707
"23","c-23","6","9",1
"24","c-24","6","9",0.209419339895248
"25","c-25","6","9",0.168626740574837
"26","c-26","6","9",0.373433738946915
"27","c-27","6","9",0.43934577703476
"28","c-28","6","9",0.615567564964294
"29","c-29","6","9",0.309995204210281
"30","c-30","6","9",0.223817124962807
"31","c-31","6","9",0.149441748857498
"32","c-32","6","9",0.0433367341756821
"33","c-33","6","9",0.64965683221817
"34","c-34","6","9",0.204834878444672
"35","c-35","6","9",0.0808453410863876
"36","c-36","6","9",0.0657485723495483
"37","c-37","6","9",0.117331460118294
"38","c-38","6","9",0.409689635038376
"39","c-39","6","9",0.125787034630775
"40","c-40","6","9",0.353053450584412
"41","c-41","6","9",0.330254256725311
"42","c-42","6","9",0.0618656575679779
"43","c-43","6","9",0.0523186959326267
"44","c-44","6","9",0.304497480392456
"45","c-45","6","9",0.386759966611862
"46","c-46","6","9",0.293487906455994
"47","c-47","6","9",0.440145999193192
"48","c-48","6","9",0.0457553118467331
"49","c-49","6","9",0.508787989616394
"50","c-50","6","9",0.246506825089455
"51","c-51","6","9",0.293037950992584
"52","c-52","6","9",0.146417573094368
"53","c-53","6","9",0.68355119228363
"54","c-54","6","9",0.0738275349140167
"55","c-55","3","4",0.295691221952438
"56","c-56","3","4",0.283160656690598
"57","c-57","3","4",0.392472922801971
"58","c-58","3","4",0.486868619918823
"59","c-59","3","4",0.304112911224365
"60","c-60","3","4",0.561826169490814
"61","c-61","3","4",0.22366738319397
"62","c-62","3","4",0.408690005540848
"63","c-63","3","4",0.366522669792175
"64","c-64","3","4",0.293699413537979
"65","c-65","3","4",0
"66","c-66","3","4",0.404585987329483
"67","c-67","3","4",0.372431844472885
"68","c-68","3","4",0.327133119106293
"69","c-69","3","4",0.342979341745377
"70","c-70","3","4",0.326303005218506
"71","c-71","3","4",0.29109725356102
"72","c-72","3","4",0.360464930534363
"73","c-73","3","4",0.310368359088898
"74","c-74","3","4",0.395294904708862
"75","c-75","3","4",0.268395096063614
"76","c-76","3","4",0.467828363180161
"77","c-77","3","4",0.022727956995368
"78","c-78","3","4",0.432397902011871
"79","c-79","3","4",0.418167740106583
"80","c-80","3","4",0.369086772203445
"81","c-81","3","4",0.521693646907806
"82","c-82","3","4",0.400984257459641
"83","c-83","3","4",0.418575435876846
"84","c-84","3","4",0.275905579328537
"85","c-85","3","4",0.339240044355392
"86","c-86","3","4",0.451947778463364
"87","c-87","3","4",0.467322409152985
"88","c-88","3","4",0.310136288404465
"89","c-89","3","4",0.302418261766434
"90","c-90","3","4",0.283058732748032
"91","c-91","3","4",0.454439401626587
"92","c-92","3","4",0.579972445964813
"93","c-93","3","4",0.0674274191260338
"94","c-94","3","4",0.655839920043945
"95","c-95","3","4",0.467696964740753
"96","c-96","3","4",0.32214742898941
"97","c-97","3","4",0.386858493089676
"98","c-98","3","4",0.521272480487823
"99","c-99","3","4",0.581324458122253
"100","c-100","3","4",0.59832376241684
"101","c-101","3","4",0.389248192310333
