"","cell_id","from","to","percentage"
"1","c-1","1","3",0
"2","c-2","1","3",0.0353281571513693
"3","c-3","1","3",0
"4","c-4","1","3",0.197870885852415
"5","c-5","1","3",0
"6","c-6","1","3",0.00555621463220858
"7","c-7","1","3",0.114461516656964
"8","c-8","1","3",0
"9","c-9","1","3",0.149304597346666
"10","c-10","1","3",0.0313219508566905
"11","c-11","1","3",0
"12","c-12","1","3",0.039534744950241
"13","c-13","1","3",0
"14","c-14","1","3",0.0748896010971246
"15","c-15","1","3",0.0643762418234394
"16","c-16","1","3",0
"17","c-17","1","3",0.073772892586347
"18","c-18","1","3",0.170440648346122
"19","c-19","1","3",0.162960948806217
"20","c-20","1","3",0
"21","c-21","1","3",0.142755240370705
"22","c-22","1","3",0
"23","c-23","1","3",0
"24","c-24","1","3",0
"25","c-25","1","3",0
"26","c-26","1","3",0.0591833418717286
"27","c-27","1","3",0.0672172267666016
"28","c-28","1","3",0
"29","c-29","1","3",0
"30","c-30","1","3",0.0988288943611692
"31","c-31","1","3",0.0318690820510938
"32","c-32","1","3",0.0795135499083547
"33","c-33","1","3",0.311563651896151
"34","c-34","1","3",0
"35","c-35","1","3",0.124196932853443
"36","c-36","1","3",0
"37","c-37","1","3",0.0729168781852605
"38","c-38","1","3",0
"39","c-39","1","3",0
"40","c-40","1","3",0
"41","c-41","1","3",0.108426539062794
"42","c-42","1","3",0
"43","c-43","1","3",0
"44","c-44","1","3",0.010524791330724
"45","c-45","1","3",0.33418580941576
"46","c-46","1","3",0.0450460503454517
"47","c-47","1","3",0
"48","c-48","1","3",0
"49","c-49","1","3",0
"50","c-50","1","3",0.104418746325681
"51","c-51","1","3",0
"52","c-52","1","3",0
"53","c-53","1","3",0.0156711353048543
"54","c-54","1","3",0.019070213974747
"55","c-55","3","2",0.765507910377035
"56","c-56","3","2",0.775466877246714
"57","c-57","3","2",1
"58","c-58","3","2",1
"59","c-59","3","2",0.857035527167912
"60","c-60","3","2",1
"61","c-61","3","2",0.621679321349392
"62","c-62","3","2",0.878661589394332
"63","c-63","3","2",1
"64","c-64","3","2",0.777980363058916
"65","c-65","3","2",0.262485036536418
"66","c-66","3","2",0.789508622075651
"67","c-67","3","2",1
"68","c-68","3","2",0.956311905361297
"69","c-69","3","2",0.536205070967687
"70","c-70","3","2",0.941625058949977
"71","c-71","3","2",0.872457656470843
"72","c-72","3","2",0.964936483457369
"73","c-73","3","2",0.957697491722916
"74","c-74","3","2",0.956686846461945
"75","c-75","3","2",0.761380928290517
"76","c-76","3","2",1
"77","c-77","3","2",0.318703844907423
"78","c-78","3","2",0.8595247764635
"79","c-79","3","2",0.989875956104693
"80","c-80","3","2",0.848159683692474
"81","c-81","3","2",0.808809363814507
"82","c-82","3","2",0.395921482929965
"83","c-83","3","2",1
"84","c-84","3","2",0.880832009051074
"85","c-85","3","2",0.513795594311149
"86","c-86","3","2",0.9977731825697
"87","c-87","3","2",0.974653617716498
"88","c-88","3","2",0.80062150350743
"89","c-89","3","2",0.964231694092985
"90","c-90","3","2",0.841619764360794
"91","c-91","3","2",0.818008024909608
"92","c-92","3","2",1
"93","c-93","3","2",0.589092795754494
"94","c-94","3","2",1
"95","c-95","3","2",0.994159449983421
"96","c-96","3","2",0.822879165943623
"97","c-97","3","2",0.829230482381112
"98","c-98","3","2",1
"99","c-99","3","2",1
"100","c-100","3","2",1
"101","c-101","3","2",0.720725899044045
"102","c-102","3","2",0.727444640846383
"103","c-103","3","2",0.8634040669312
"104","c-104","3","2",0.912038722276821
"105","c-105","3","2",0.716690375949872
"106","c-106","3","2",1
"107","c-107","3","2",0.829196631035409
"108","c-108","3","2",1
"109","c-109","3","2",0.764082682036125
"110","c-110","3","2",0.742670270875509
"111","c-111","3","2",0.940195788383671
"112","c-112","3","2",0.900899476015721
"113","c-113","3","2",0.919296410600236
"114","c-114","3","2",1
"115","c-115","3","2",0.896422502216441
"116","c-116","3","2",0.779218499320471
"117","c-117","1","3",0.883221000846287
"118","c-118","3","2",0.154943532085404
"119","c-119","1","3",0.916448567841583
"120","c-120","1","3",0.913189097358604
"121","c-121","1","3",0.945775704709041
"122","c-122","1","3",0.988600881551972
"123","c-123","3","9",0.277732847936629
"124","c-124","3","9",0.133246017381755
"125","c-125","3","9",0.115367897115984
"126","c-126","3","2",0.370542676910458
"127","c-127","1","3",0.968736549981926
"128","c-128","1","3",0.808076046685088
"129","c-129","3","2",0.509850453253516
"130","c-130","3","9",0.226636645855253
"131","c-131","1","3",0.873034509642827
"132","c-132","3","9",0.0909243578276918
"133","c-133","1","3",0.792220612162338
"134","c-134","3","9",0.109498350321749
"135","c-135","3","9",0.0388293644106648
"136","c-136","3","9",0.00694897105563644
"137","c-137","1","3",0.81149789565435
"138","c-138","3","9",0.107062061946724
"139","c-139","6","4",0.974785767155463
"140","c-140","6","4",1
"141","c-141","6","4",1
"142","c-142","6","4",0.971796851726444
"143","c-143","6","4",0.975006894530705
"144","c-144","6","4",0.914720328461238
"145","c-145","6","4",0.975002462509814
"146","c-146","6","4",1
"147","c-147","6","4",1
"148","c-148","6","4",0.736613160338392
"149","c-149","6","4",0.938466816733249
"150","c-150","6","4",0.821549748116852
"151","c-151","6","4",0.987867836682699
"152","c-152","6","4",1
"153","c-153","6","4",0.855390697350562
"154","c-154","6","4",0.894708486634053
"155","c-155","6","4",0.80143419453431
"156","c-156","6","4",1
"157","c-157","6","4",0.941937653832452
"158","c-158","6","4",1
"159","c-159","6","4",1
"160","c-160","6","4",1
"161","c-161","6","4",0.974557627225684
"162","c-162","6","4",1
"163","c-163","6","4",0.936441210986263
"164","c-164","6","4",0.955227225749431
"165","c-165","6","4",1
"166","c-166","6","4",0.922446093848733
"167","c-167","6","4",1
"168","c-168","6","4",1
"169","c-169","6","4",1
"170","c-170","6","4",1
"171","c-171","6","4",1
"172","c-172","6","4",1
"173","c-173","6","4",0.778601367000447
"174","c-174","6","4",0.835369357081011
"175","c-175","6","4",0.931435459204582
"176","c-176","6","4",0.943262657478042
"177","c-177","6","4",0.833223892245621
"178","c-178","6","4",1
"179","c-179","6","4",0.965399364807122
"180","c-180","6","4",1
"181","c-181","6","4",0.923515584346604
"182","c-182","6","4",1
"183","c-183","6","4",0.983684689232752
"184","c-184","6","4",0.878071777644776
"185","c-185","6","4",1
"186","c-186","6","4",0.859024623148293
"187","c-187","6","4",1
"188","c-188","6","4",0.713167592736102
"189","c-189","6","4",1
"190","c-190","6","4",1
"191","c-191","6","4",0.958123040426899
"192","c-192","6","4",0.964417783832133
"193","c-193","6","4",0.994263091293154
"194","c-194","6","4",1
"195","c-195","6","4",1
"196","c-196","6","4",1
"197","c-197","6","4",0.713448934030942
"198","c-198","6","4",0.97709835614467
"199","c-199","6","4",1
"200","c-200","6","4",0.866581483812492
"201","c-201","6","4",1
"202","c-202","6","4",0.932758434836452
"203","c-203","6","4",1
"204","c-204","6","4",0.830501648349683
"205","c-205","6","4",0.683976452028938
"206","c-206","6","4",1
"207","c-207","6","4",1
"208","c-208","6","4",1
"209","c-209","6","4",0.931648922332138
"210","c-210","6","4",0.901060104550674
"211","c-211","6","4",0.885727671980676
"212","c-212","6","5",0.811717375301683
"213","c-213","6","5",1
"214","c-214","6","5",1
"215","c-215","6","5",1
"216","c-216","6","5",1
"217","c-217","6","5",1
"218","c-218","6","5",1
"219","c-219","6","5",1
"220","c-220","6","5",0.952757305852283
"221","c-221","6","5",0.994045549734469
"222","c-222","6","5",0.928432760062101
"223","c-223","6","5",0.803743472266883
"224","c-224","6","5",1
"225","c-225","6","5",0.73674886120561
"226","c-226","6","5",1
"227","c-227","6","5",0.930178693315068
"228","c-228","6","5",0.940375154514374
"229","c-229","6","5",0.911283457574123
"230","c-230","6","5",1
"231","c-231","6","5",1
"232","c-232","6","5",1
"233","c-233","6","5",1
"234","c-234","6","5",0.972981290208531
"235","c-235","3","6",0.284141212464679
"236","c-236","6","5",0.845777992110998
"237","c-237","6","5",0.682534525071403
"238","c-238","6","5",1
"239","c-239","6","5",1
"240","c-240","3","6",0.367674602620031
"241","c-241","6","5",1
"242","c-242","6","5",0.752241764503128
"243","c-243","6","5",1
"244","c-244","6","5",1
"245","c-245","6","5",0.845900476290372
"246","c-246","6","5",1
"247","c-247","6","5",0.782563724155483
"248","c-248","6","5",0.860216444354812
"249","c-249","6","5",0.808776643379745
"250","c-250","6","5",1
"251","c-251","6","5",0.987804671693338
"252","c-252","7","8",0.0134857003639746
"253","c-253","3","7",0.767037416321067
"254","c-254","7","8",0.150258225473003
"255","c-255","7","8",0.0569600906594953
"256","c-256","3","7",0.948800051282853
"257","c-257","7","8",0.00855583586842184
"258","c-258","3","7",0.913642292075242
"259","c-259","7","8",0.0367950779523227
"260","c-260","7","8",0.00166824524418794
"261","c-261","7","8",0.0422843790903568
"262","c-262","7","8",0.0603177956044345
"263","c-263","3","7",0.868878967874308
"264","c-264","3","7",0.973981254112262
"265","c-265","3","2",1
"266","c-266","3","7",0.978094954155866
"267","c-267","3","7",0.805902725296034
"268","c-268","7","8",0.0900594820908574
"269","c-269","3","7",0.996633034624907
"270","c-270","7","8",0.436885041770189
"271","c-271","7","8",0.0416383682912117
"272","c-272","3","2",1
"273","c-273","7","8",0.0327077137910486
"274","c-274","3","7",0.987359355982004
"275","c-275","3","7",0.638120213510582
"276","c-276","7","8",0.185495951916823
"277","c-277","3","7",0.880259494693209
"278","c-278","7","8",0.0357474566521548
"279","c-279","7","8",0.0315713214427703
"280","c-280","7","8",0.0773866732983696
"281","c-281","3","7",0.83269264210955
"282","c-282","3","7",0.979549535191425
"283","c-283","3","7",0.938433369379127
"284","c-284","3","7",0.662352961538718
"285","c-285","7","8",0.048455556590586
"286","c-286","7","8",0.0788132925345097
"287","c-287","7","8",0.0159280842510907
"288","c-288","7","8",0.0173039355496018
"289","c-289","7","8",0.199001175504861
"290","c-290","3","7",0.994626151941269
"291","c-291","3","7",0.911718235445094
"292","c-292","7","8",0.00689356369578322
"293","c-293","7","8",0.0640804497703045
"294","c-294","7","8",0.00334974649704139
"295","c-295","3","7",0.859851777553308
"296","c-296","7","8",0.0859751512521777
"297","c-297","7","8",0.0263724599264537
"298","c-298","3","7",0.398533928389501
"299","c-299","7","8",0.0287748814596363
"300","c-300","3","7",0.525515482289656
"301","c-301","7","8",0.215070376532708
"302","c-302","7","8",0.0946033282883879
"303","c-303","3","7",0.791997958732825
"304","c-304","7","8",0.137899655098776
"305","c-305","3","7",0.448112348340976
"306","c-306","7","8",0.475802331472658
"307","c-307","7","8",0.0327077137910486
"308","c-308","7","8",0.256235300371501
"309","c-309","3","7",0.915822950988328
"310","c-310","7","8",0.0221406775810763
"311","c-311","3","7",0.994626151941269
"312","c-312","7","8",0.0695249111096787
"313","c-313","7","8",0.313981408091407
"314","c-314","7","8",1
"315","c-315","7","8",1
"316","c-316","7","8",1
"317","c-317","7","8",1
"318","c-318","7","8",0.874917881007401
"319","c-319","7","8",0.98553167625692
"320","c-320","7","8",1
"321","c-321","7","8",1
"322","c-322","7","8",1
"323","c-323","7","8",1
"324","c-324","7","8",0.951784405358633
"325","c-325","7","8",1
"326","c-326","7","8",1
"327","c-327","7","8",1
"328","c-328","7","8",0.935157984836676
"329","c-329","7","8",0.826510933242289
"330","c-330","7","8",0.820727269528569
"331","c-331","7","8",0.818283973124916
"332","c-332","7","8",0.923290225468534
"333","c-333","7","8",1
"334","c-334","7","8",1
"335","c-335","7","8",0.897536680912936
"336","c-336","7","8",0.893444050747007
"337","c-337","7","8",1
"338","c-338","7","8",0.958278236574009
"339","c-339","7","8",0.911329154155118
"340","c-340","7","8",0.896482169381238
"341","c-341","7","8",0.961165286357351
"342","c-342","7","8",1
"343","c-343","7","8",0.97598044960823
"344","c-344","7","8",0.943657662664997
"345","c-345","7","8",1
"346","c-346","7","8",0.999609043804989
"347","c-347","7","8",1
"348","c-348","7","8",0.845428851850883
"349","c-349","7","8",0.944414939196272
"350","c-350","7","8",0.951883592486875
"351","c-351","7","8",0.961517557194662
"352","c-352","7","8",0.859976486911066
"353","c-353","7","8",0.969748135070226
"354","c-354","7","8",1
"355","c-355","7","8",1
"356","c-356","7","8",0.739145361633558
"357","c-357","7","8",0.923854568185103
"358","c-358","7","8",1
"359","c-359","7","8",1
"360","c-360","7","8",1
"361","c-361","7","8",1
"362","c-362","7","8",0.841672937472653
"363","c-363","7","8",1
"364","c-364","7","8",1
"365","c-365","7","8",1
"366","c-366","7","8",0.982304414616704
"367","c-367","7","8",0.959865200176195
"368","c-368","7","8",1
"369","c-369","7","8",0.974490527320715
"370","c-370","7","8",0.884039687991459
"371","c-371","7","8",0.844569165774113
"372","c-372","7","8",1
"373","c-373","3","9",0.963619532314161
"374","c-374","3","9",1
"375","c-375","3","9",1
"376","c-376","3","9",0.94002661946081
"377","c-377","3","9",1
"378","c-378","3","9",1
"379","c-379","3","9",1
"380","c-380","3","9",1
"381","c-381","3","9",1
"382","c-382","3","9",0.847963937493608
"383","c-383","3","9",0.881893954988753
"384","c-384","3","9",0.994658109955889
"385","c-385","3","9",1
"386","c-386","3","9",0.977978539607495
"387","c-387","3","9",0.919223937857881
"388","c-388","3","9",0.90870537669185
"389","c-389","3","9",0.935496354455276
"390","c-390","3","9",1
"391","c-391","3","9",0.887516208820055
"392","c-392","3","9",1
"393","c-393","3","9",1
"394","c-394","3","9",0.476340580349687
"395","c-395","3","9",0.962233009597801
"396","c-396","3","9",1
"397","c-397","3","9",1
"398","c-398","3","9",1
"399","c-399","3","9",0.982319439931378
"400","c-400","3","9",1
"401","c-401","3","9",1
"402","c-402","3","9",1
"403","c-403","3","9",1
"404","c-404","3","9",1
"405","c-405","3","9",1
"406","c-406","3","9",0.710865367277065
"407","c-407","3","9",0.988523724405445
"408","c-408","3","9",0.949458869027344
"409","c-409","3","9",0.803726045630945
"410","c-410","3","9",0.995556874089265
"411","c-411","3","9",1
"412","c-412","3","9",1
"413","c-413","3","9",1
"414","c-414","3","9",0.940962116368138
"415","c-415","3","9",0.993371303045277
"416","c-416","3","9",0.825102704449784
"417","c-417","3","9",1
"418","c-418","3","9",0.990810712681109
"419","c-419","3","9",1
"420","c-420","3","9",0.991908272750354
"421","c-421","3","6",0.874021540061056
"422","c-422","6","4",0.098166132037043
"423","c-423","6","5",0.0432130323770376
"424","c-424","6","5",0.0880887600778668
"425","c-425","3","6",0.867652593787583
"426","c-426","6","5",0.11898870875299
"427","c-427","6","5",0.0308253978340464
"428","c-428","6","5",0.106144443010284
"429","c-429","6","4",0.147806898209456
"430","c-430","6","4",0.184183039719761
"431","c-431","6","5",0.305531631686968
"432","c-432","6","4",0.0061106892291316
"433","c-433","6","5",0.0594391956107328
"434","c-434","6","5",0.161670390186713
"435","c-435","6","5",0.143945315912357
"436","c-436","3","6",0.929334516599899
"437","c-437","6","5",0.376486514653427
"438","c-438","6","5",0.160388350707696
"439","c-439","6","4",0.0915141867580622
"440","c-440","3","6",0.656633238046732
"441","c-441","3","6",0.874335707157429
"442","c-442","6","5",0.187318881370187
"443","c-443","3","6",0.605994267247646
"444","c-444","6","5",0.108443505693192
"445","c-445","3","6",0.692310449498478
"446","c-446","6","5",0.120578149737217
"447","c-447","6","5",0.0211735250188902
"448","c-448","3","6",0.789084454741645
"449","c-449","3","6",0.739556838415621
