"","cell_id","from","to","percentage"
"1","c-1","Y_6","Y_38",1
"2","c-2","Y_6","Y_38",0.85269459211828
"3","c-3","Y_6","Y_38",0.85269459211828
"4","c-4","Y_6","Y_38",0.431239438434358
"5","c-5","Y_3","Y_6",0
"6","c-6","Y_6","Y_38",1
"7","c-7","Y_6","Y_38",0.669730797057912
"8","c-8","Y_6","Y_38",0.582611304700771
"9","c-9","Y_6","Y_38",1
"10","c-10","Y_6","Y_38",0.352993155148461
"11","c-11","Y_6","Y_38",0.218434501484783
"12","c-12","Y_6","Y_38",0.669730797057912
"13","c-13","Y_6","Y_38",0.158392636181834
"14","c-14","Y_6","Y_38",0.669730797057912
"15","c-15","Y_6","Y_38",1
"16","c-16","Y_6","Y_38",1
"17","c-17","Y_6","Y_38",0.352993155148461
"18","c-18","Y_3","Y_6",0
"19","c-19","Y_6","Y_38",0.669730797057912
"20","c-20","Y_6","Y_38",1
"21","c-21","Y_6","Y_38",0.766423207282526
"22","c-22","Y_6","Y_38",0.352993155148461
"23","c-23","Y_6","Y_38",0.508827181763757
"24","c-24","Y_3","Y_6",0
"25","c-25","Y_6","Y_38",1
"26","c-26","Y_6","Y_38",1
"27","c-27","Y_6","Y_38",1
"28","c-28","Y_6","Y_38",0.352993155148461
"29","c-29","Y_6","Y_38",1
"30","c-30","Y_6","Y_25",0.0382478615098539
"31","c-31","Y_6","Y_38",0.766423207282526
"32","c-32","Y_6","Y_25",0.416824046935641
"33","c-33","Y_6","Y_38",0.921103022260524
"34","c-34","Y_6","Y_38",0.669730797057912
"35","c-35","Y_6","Y_25",0.467639967145629
"36","c-36","Y_6","Y_38",0.352993155148461
"37","c-37","Y_6","Y_38",0.158392636181834
"38","c-38","Y_6","Y_38",0.158392636181834
"39","c-39","Y_6","Y_38",0.766423207282526
"40","c-40","Y_6","Y_38",1
"41","c-41","Y_6","Y_38",0.352993155148461
"42","c-42","Y_6","Y_38",0.352993155148461
"43","c-43","Y_3","Y_6",0
"44","c-44","Y_3","Y_6",0
"45","c-45","Y_6","Y_38",0.352993155148461
"46","c-46","Y_6","Y_38",0.352993155148461
"47","c-47","Y_6","Y_25",0.0382478615098539
"48","c-48","Y_6","Y_38",0.352993155148461
"49","c-49","Y_6","Y_25",0.112406499969382
"50","c-50","Y_6","Y_38",0.079806696802278
"51","c-51","Y_3","Y_6",1
"52","c-52","Y_6","Y_25",0.272694482739129
"53","c-53","Y_6","Y_38",0.85269459211828
"54","c-54","Y_6","Y_38",1
"55","c-55","Y_3","Y_6",0
"56","c-56","Y_6","Y_25",0.14544250386523
"57","c-57","Y_6","Y_38",1
"58","c-58","Y_3","Y_6",1
"59","c-59","Y_6","Y_38",0.158392636181834
"60","c-60","Y_6","Y_38",0.158392636181834
"61","c-61","Y_6","Y_25",0.112406499969382
"62","c-62","Y_6","Y_38",0.158392636181834
"63","c-63","Y_6","Y_38",0.431239438434358
"64","c-64","Y_6","Y_25",0.416824046935641
"65","c-65","Y_6","Y_38",0
"66","c-66","Y_6","Y_38",0.079806696802278
"67","c-67","Y_6","Y_38",0.158392636181834
"68","c-68","Y_6","Y_25",0.0382478615098539
"69","c-69","Y_6","Y_25",0.112406499969382
"70","c-70","Y_6","Y_25",0.491814188090639
"71","c-71","Y_6","Y_25",0.352061703148796
"72","c-72","Y_6","Y_25",0.299987856796879
"73","c-73","Y_6","Y_25",0.0382478615098539
"74","c-74","Y_3","Y_6",0
"75","c-75","Y_6","Y_25",0.467639967145629
"76","c-76","Y_6","Y_25",0.202245369390415
"77","c-77","Y_6","Y_25",0.0382478615098539
"78","c-78","Y_6","Y_25",0.112406499969382
"79","c-79","Y_6","Y_25",0.272694482739129
"80","c-80","Y_6","Y_25",0.327175689149028
"81","c-81","Y_6","Y_25",0.14544250386523
"82","c-82","Y_6","Y_25",0.272694482739129
"83","c-83","Y_6","Y_25",0.112406499969382
"84","c-84","Y_6","Y_25",0.557634595426812
"85","c-85","Y_6","Y_25",0.272694482739129
"86","c-86","Y_6","Y_25",0.238947481319033
"87","c-87","Y_6","Y_25",0.467639967145629
"88","c-88","Y_6","Y_25",0.171220133845846
"89","c-89","Y_6","Y_25",0.202245369390415
"90","c-90","Y_6","Y_25",0.112406499969382
"91","c-91","Y_6","Y_25",0.14544250386523
"92","c-92","Y_6","Y_25",0.272694482739129
"93","c-93","Y_6","Y_25",0.327175689149028
"94","c-94","Y_6","Y_25",0.533409222464482
"95","c-95","Y_6","Y_25",0.272694482739129
"96","c-96","Y_6","Y_25",0.327175689149028
"97","c-97","Y_6","Y_25",0.238947481319033
"98","c-98","Y_6","Y_25",0.467639967145629
"99","c-99","Y_6","Y_25",0.0752857743164002
"100","c-100","Y_6","Y_25",0.299987856796879
"101","c-101","Y_6","Y_25",0.238947481319033
"102","c-102","Y_6","Y_25",0.202245369390415
"103","c-103","Y_6","Y_25",0.467639967145629
