"","cell_id","from","to","percentage"
"1","c-1","1","4",0.891465425491333
"2","c-2","1","4",0.665330111980438
"3","c-3","1","4",0.598211348056793
"4","c-4","1","4",0.592599213123322
"5","c-5","1","4",0.3809614777565
"6","c-6","1","4",0.617212653160095
"7","c-7","1","4",0.723712861537933
"8","c-8","1","4",0.629571497440338
"9","c-9","1","4",0.716930270195007
"10","c-10","1","4",0.60712081193924
"11","c-11","1","4",0.352196753025055
"12","c-12","1","4",0.542822360992432
"13","c-13","1","4",0.50673246383667
"14","c-14","1","4",0.468269884586334
"15","c-15","1","4",0.423294991254807
"16","c-16","1","4",0.513902306556702
"17","c-17","1","4",0.6242795586586
"18","c-18","1","4",0.380863457918167
"19","c-19","1","4",0.771953940391541
"20","c-20","1","4",0.679161071777344
"21","c-21","1","4",0.665137887001038
"22","c-22","1","4",0.549387037754059
"23","c-23","1","4",0.555604815483093
"24","c-24","1","4",0.161662712693214
"25","c-25","1","4",0.667884826660156
"26","c-26","1","4",0.375176340341568
"27","c-27","1","4",0.715582489967346
"28","c-28","1","4",0.562927961349487
"29","c-29","1","4",0.699885427951813
"30","c-30","1","4",0.165744662284851
"31","c-31","1","4",0.692498028278351
"32","c-32","1","4",0.0461567305028439
"33","c-33","1","4",0.311708301305771
"34","c-34","1","4",0.394443452358246
"35","c-35","1","4",0.00516951037570834
"36","c-36","1","4",0.516335308551788
"37","c-37","1","4",0.324575066566467
"38","c-38","1","4",0.390453964471817
"39","c-39","1","4",0.463682800531387
"40","c-40","1","4",0.648349165916443
"41","c-41","1","4",0.657345414161682
"42","c-42","1","4",0.509198188781738
"43","c-43","1","4",0.0367337726056576
"44","c-44","1","4",0.322137773036957
"45","c-45","1","4",0.412297904491425
"46","c-46","1","4",0.671201229095459
"47","c-47","1","4",0.11454601585865
"48","c-48","1","4",0.387359887361526
"49","c-49","1","4",0.0582477487623692
"50","c-50","1","4",0.413433820009232
"51","c-51","1","4",0.214956313371658
"52","c-52","2","1",0.237506791949272
"53","c-53","2","1",0.941385805606842
"54","c-54","2","1",0.235267445445061
"55","c-55","2","1",0.456422328948975
"56","c-56","2","1",0.154712736606598
"57","c-57","2","1",1
"58","c-58","2","1",0.807087600231171
"59","c-59","2","1",0.270177751779556
