"","cell_id","from","to","percentage"
"1","c-1","2","1",1
"2","c-2","2","1",1
"3","c-3","2","1",1
"4","c-4","2","1",1
"5","c-5","2","1",1
"6","c-6","2","1",1
"7","c-7","2","1",1
"8","c-8","2","1",1
"9","c-9","2","1",1
"10","c-10","2","1",1
"11","c-11","2","1",0.856479147943706
"12","c-12","2","1",1
"13","c-13","2","1",1
"14","c-14","2","1",0.981077767086953
"15","c-15","2","1",0.806942612416036
"16","c-16","2","1",1
"17","c-17","2","1",1
"18","c-18","2","1",0.970001454571758
"19","c-19","2","1",1
"20","c-20","2","1",1
"21","c-21","2","1",1
"22","c-22","2","1",1
"23","c-23","2","1",1
"24","c-24","2","1",0.925502823573137
"25","c-25","2","1",1
"26","c-26","2","1",0.774165581818675
"27","c-27","2","1",1
"28","c-28","2","1",1
"29","c-29","2","1",1
"30","c-30","2","1",0.753062000458699
"31","c-31","2","1",1
"32","c-32","2","1",0.605073928931913
"33","c-33","2","1",0.925717783209928
"34","c-34","2","1",0.880828965851692
"35","c-35","2","1",0.429963427721752
"36","c-36","2","1",1
"37","c-37","2","1",0.843949783689462
"38","c-38","2","1",1
"39","c-39","2","1",0.970445164933508
"40","c-40","2","1",1
"41","c-41","2","1",1
"42","c-42","2","1",1
"43","c-43","2","1",0.796940536150721
"44","c-44","2","1",0.987407551957124
"45","c-45","2","1",1
"46","c-46","2","1",1
"47","c-47","2","1",0.814359750413061
"48","c-48","2","1",0.999116330819926
"49","c-49","2","1",0.798018429134403
"50","c-50","2","1",1
"51","c-51","2","1",0.906552423552775
"52","c-52","2","1",0.796657385697971
"53","c-53","2","1",1
"54","c-54","2","1",0.697127143904979
"55","c-55","2","1",0.858659843454547
"56","c-56","2","1",0.766171316022982
"57","c-57","2","1",1
"58","c-58","2","1",1
"59","c-59","2","1",0.734761788651159
"60","c-60","2","1",1
"61","c-61","2","1",0.672733246186633
"62","c-62","2","1",0.847609851902578
"63","c-63","2","1",0.843202203386701
"64","c-64","2","1",0.554094752773094
"65","c-65","2","1",0.703398964997605
"66","c-66","2","1",0.919082123697505
"67","c-67","2","1",0.912313569227678
"68","c-68","2","1",0.908256131067043
"69","c-69","2","1",0.785632057856024
"70","c-70","2","1",0.212855629466982
"71","c-71","2","1",0.774138890828456
"72","c-72","2","1",0.682922195145973
"73","c-73","2","1",0.876116995839212
"74","c-74","2","1",1
"75","c-75","2","1",0.462817880874408
"76","c-76","2","1",0.417364088915943
"77","c-77","2","1",0.931590692677547
"78","c-78","2","1",0.63583571093637
"79","c-79","2","1",0.723801199455892
"80","c-80","2","1",0.368491033426715
"81","c-81","2","1",1
"82","c-82","2","1",0.829131963586232
"83","c-83","2","1",0.895055067456632
"84","c-84","2","1",0.336708647193656
"85","c-85","2","1",0.638082678202821
