"","cell_id","from","to","percentage"
"1","c-1","Y_101","Y_219",0
"2","c-2","Y_288","Y_308",0
"3","c-3","Y_345","Y_359",0.4136409926268
"4","c-4","Y_324","Y_334",0.464468846170772
"5","c-5","Y_345","Y_359",0.267266476192601
"6","c-6","Y_2","Y_196",0
"7","c-7","Y_2","Y_196",0.109240484652972
"8","c-8","Y_288","Y_308",0
"9","c-9","Y_324","Y_334",0.464468846170772
"10","c-10","Y_263","Y_286",0.701155673587268
"11","c-11","Y_2","Y_196",0.476840907881859
"12","c-12","Y_2","Y_196",0.476840907881859
"13","c-13","Y_196","Y_206",0.148202053976404
"14","c-14","Y_2","Y_196",0.376506703309593
"15","c-15","Y_2","Y_196",0.258147105250292
"16","c-16","Y_101","Y_219",0.234152079897224
"17","c-17","Y_2","Y_196",0.258147105250292
"18","c-18","Y_196","Y_206",0.278124974140333
"19","c-19","Y_318","Y_336",0.400660317566933
"20","c-20","Y_2","Y_196",0.258147105250292
"21","c-21","Y_2","Y_196",0.376506703309593
"22","c-22","Y_2","Y_196",0
"23","c-23","Y_2","Y_196",0.476840907881859
"24","c-24","Y_2","Y_196",0.109240484652972
"25","c-25","Y_263","Y_286",0.701155673587268
"26","c-26","Y_2","Y_196",0.258147105250292
"27","c-27","Y_2","Y_196",0.633843145701049
"28","c-28","Y_2","Y_196",0.109240484652972
"29","c-29","Y_318","Y_336",0.64214961993258
"30","c-30","Y_2","Y_196",0.476840907881859
"31","c-31","Y_2","Y_196",0
"32","c-32","Y_196","Y_206",0.278124974140333
"33","c-33","Y_279","Y_287",1
"34","c-34","Y_288","Y_308",0.300883240413628
"35","c-35","Y_2","Y_196",0.109240484652972
"36","c-36","Y_2","Y_196",0.476840907881859
"37","c-37","Y_2","Y_196",0.376506703309593
"38","c-38","Y_2","Y_196",0.376506703309593
"39","c-39","Y_288","Y_308",0
"40","c-40","Y_2","Y_196",0.376506703309593
"41","c-41","Y_324","Y_334",0.517593081286009
"42","c-42","Y_2","Y_196",0.109240484652972
"43","c-43","Y_2","Y_196",0.258147105250292
"44","c-44","Y_77","Y_196",0.880258027447046
"45","c-45","Y_324","Y_334",0.37815985811409
"46","c-46","Y_2","Y_196",0.376506703309593
"47","c-47","Y_2","Y_196",0.258147105250292
"48","c-48","Y_77","Y_196",0.207662119933213
"49","c-49","Y_324","Y_334",0.464468846170772
"50","c-50","Y_318","Y_336",0.879467697744724
"51","c-51","Y_21","Y_139",0
"52","c-52","Y_263","Y_286",0.701155673587268
"53","c-53","Y_2","Y_196",0.476840907881859
"54","c-54","Y_2","Y_196",0
"55","c-55","Y_2","Y_196",0
"56","c-56","Y_279","Y_287",1
"57","c-57","Y_2","Y_196",0.476840907881859
"58","c-58","Y_21","Y_139",0.525854291583794
"59","c-59","Y_2","Y_196",0.841464481790282
"60","c-60","Y_2","Y_196",0.756369981375507
