"","from","to","length","directed"
"1","1","16",0.0704857558012009,TRUE
"2","2","6",0.0592716820538044,TRUE
"3","2","14",0.0521209202706814,TRUE
"4","3","8",0.0640261694788933,TRUE
"5","4","11",0.0870402008295059,TRUE
"6","5","17",0.122614696621895,TRUE
"7","6","5",0.126222729682922,TRUE
"8","2","9",0.193349555134773,TRUE
"9","7","18",0.295098602771759,TRUE
"10","8","2",0.0107110105454922,TRUE
"11","8","1",0.0662529394030571,TRUE
"12","9","19",0.377160489559174,TRUE
"13","10","20",0.470473855733871,TRUE
"14","11","15",0.0305797234177589,TRUE
"15","12","6",0.0180832929909229,TRUE
"16","9","21",0.644194960594177,TRUE
"17","13","7",0.246869161725044,TRUE
"18","9","22",0.362508177757263,TRUE
"19","10","23",0.644798338413239,TRUE
"20","14","10",0.212381258606911,TRUE
"21","13","24",0.528567552566528,TRUE
"22","5","25",0.768343031406403,TRUE
"23","6","26",0.105522021651268,TRUE
"24","6","13",0.0826137736439705,TRUE
"25","15","27",0.0312949866056442,TRUE
"26","8","28",0.0471099615097046,TRUE
"27","11","14",0.00931973103433847,TRUE
"28","14","29",0.0102134486660361,TRUE
