"","cell_id","from","to","percentage"
"1","c-1","27","59",0.182334512472153
"2","c-2","27","59",0.274746775627136
"3","c-3","26","58",0.654263257980347
"4","c-4","9","41",0.977605998516083
"5","c-5","26","58",0.559670031070709
"6","c-6","15","47",0.0852969288825989
"7","c-7","15","47",0.047698087990284
"8","c-8","12","44",0.101342856884003
"9","c-9","9","41",0.925336182117462
"10","c-10","5","36",0.185008063912392
"11","c-11","15","47",0.0334734171628952
"12","c-12","15","47",0.0500150248408318
"13","c-13","15","47",0.0624676309525967
"14","c-14","15","47",0.0357430279254913
"15","c-15","15","47",0.0739531964063644
"16","c-16","30","62",0.0451276637613773
"17","c-17","15","47",0.0185394268482924
"18","c-18","15","47",0.0506407916545868
"19","c-19","7","38",0.437700539827347
"20","c-20","15","47",0.0926351472735405
"21","c-21","15","47",0.014512243680656
"22","c-22","15","47",0.0805621892213821
"23","c-23","15","47",0.0503795556724072
"24","c-24","15","47",0.0696396827697754
"25","c-25","5","36",0.136079832911491
"26","c-26","15","47",0.0530707687139511
"27","c-27","15","47",0.065169095993042
"28","c-28","15","47",0.0568351708352566
"29","c-29","7","38",0.704502403736115
"30","c-30","15","47",0.0248901639133692
"31","c-31","27","59",0.129109770059586
"32","c-32","15","47",0.0780479907989502
"33","c-33","5","36",0.239972710609436
"34","c-34","12","44",0.804784595966339
"35","c-35","15","47",0.0530055351555347
"36","c-36","15","47",0.0175230223685503
"37","c-37","15","47",0.0777634978294373
"38","c-38","15","47",0.0647620782256126
"39","c-39","12","44",0.155844256281853
"40","c-40","15","47",0.0393489599227905
"41","c-41","9","41",0.801954686641693
"42","c-42","15","47",0.104840897023678
"43","c-43","15","47",0.0374492965638638
"44","c-44","15","47",0.0742390975356102
"45","c-45","9","41",0.954088628292084
"46","c-46","15","47",0.0307268742471933
"47","c-47","15","47",0.0751030966639519
"48","c-48","15","47",0.0446993298828602
"49","c-49","10","42",0.997542798519135
"50","c-50","7","38",1
"51","c-51","21","53",0.889106333255768
"52","c-52","5","36",0.121737770736217
"53","c-53","15","47",0.0540561676025391
"54","c-54","15","47",0.0494751557707787
"55","c-55","15","47",0.0716997161507607
"56","c-56","9","41",0.409486383199692
"57","c-57","15","47",0.0576117448508739
"58","c-58","8","40",0.0401429869234562
"59","c-59","15","47",0.0696173161268234
"60","c-60","15","47",0.023425055667758
"61","c-61","5","36",0.156123772263527
"62","c-62","15","47",0.0546561479568481
"63","c-63","10","42",0.825213491916656
"64","c-64","15","47",0.0913520306348801
"65","c-65","10","42",1
"66","c-66","15","47",0.070044182240963
"67","c-67","8","40",0.0134710092097521
"68","c-68","15","47",0.0479095540940762
"69","c-69","15","47",0.047645840793848
"70","c-70","15","47",0.0129700032994151
"71","c-71","15","47",0.0376073829829693
"72","c-72","11","43",0.767996728420258
"73","c-73","15","47",0.0422048456966877
"74","c-74","10","42",0.850833296775818
"75","c-75","5","36",0.180889904499054
"76","c-76","15","47",0.0412248894572258
"77","c-77","15","47",0.0210842657834291
"78","c-78","30","62",0.0772139877080917
"79","c-79","15","47",0.0453039780259132
"80","c-80","15","47",0.0391362980008125
"81","c-81","5","36",0.165695339441299
"82","c-82","7","38",0.0408649668097496
"83","c-83","15","47",0.016746761277318
"84","c-84","15","47",0.0904985442757607
"85","c-85","15","47",0.0526762679219246
"86","c-86","20","52",0.0700055062770844
"87","c-87","15","47",0.0956415757536888
"88","c-88","11","43",0.338496953248978
"89","c-89","8","40",0.0306643191725016
"90","c-90","10","42",0.54302579164505
"91","c-91","15","47",0.0602984428405762
"92","c-92","21","53",0.899206340312958
"93","c-93","15","47",0.071853406727314
"94","c-94","15","47",0.0482988953590393
"95","c-95","8","40",0.191686004400253
"96","c-96","15","47",0.048893965780735
"97","c-97","15","47",0.0464056693017483
"98","c-98","15","47",0.0592631995677948
"99","c-99","15","47",0.0646227300167084
"100","c-100","15","47",0.073081910610199
"101","c-101","14","46",0.278142392635345
"102","c-102","15","47",0.0548840165138245
"103","c-103","15","47",0.020419055595994
"104","c-104","15","47",0.0446915253996849
"105","c-105","15","47",0.0345574207603931
"106","c-106","15","47",0.0610359907150269
"107","c-107","10","42",0.821384966373444
"108","c-108","10","42",0.586879014968872
"109","c-109","5","36",0.130690842866898
"110","c-110","15","47",0.0520714335143566
"111","c-111","15","47",0.0246024690568447
"112","c-112","15","47",0.0425922237336636
"113","c-113","15","47",0.049880038946867
"114","c-114","15","47",0.0446103066205978
"115","c-115","15","47",0.024032162502408
"116","c-116","9","41",0.386362880468369
"117","c-117","15","47",0.0449549965560436
"118","c-118","11","43",0.357127130031586
"119","c-119","8","40",0.0628136917948723
"120","c-120","15","47",0.0575611144304276
"121","c-121","19","51",0.0618838556110859
"122","c-122","15","47",0.0707599520683289
"123","c-123","15","47",0.0631459653377533
"124","c-124","15","47",0.0223466064780951
"125","c-125","5","36",0.202766284346581
"126","c-126","15","47",0.0681231766939163
"127","c-127","15","47",0.0120070297271013
"128","c-128","5","36",0.446423262357712
"129","c-129","15","47",0.0374362133443356
"130","c-130","15","47",0.0672087296843529
"131","c-131","15","47",0.058858260512352
"132","c-132","15","47",0.0425302982330322
"133","c-133","15","47",0.0403619632124901
"134","c-134","15","47",0.0404000319540501
"135","c-135","15","47",0.0282002501189709
"136","c-136","15","47",0.0434785820543766
"137","c-137","15","47",0.019830321893096
"138","c-138","7","38",0.641416251659393
"139","c-139","15","47",0.0297153517603874
"140","c-140","15","47",0.0252154991030693
"141","c-141","15","47",0.074948325753212
"142","c-142","21","53",0.566641390323639
"143","c-143","15","47",0.0686814859509468
"144","c-144","30","62",0.035486675798893
"145","c-145","15","47",0.071739450097084
"146","c-146","15","47",0.0586682371795177
"147","c-147","15","47",0.0565489791333675
"148","c-148","8","40",0.0616147369146347
"149","c-149","15","47",0.0581422373652458
"150","c-150","14","46",0.112141154706478
"151","c-151","5","36",0.18489408493042
"152","c-152","15","47",0.0362131409347057
"153","c-153","15","47",0.0528043881058693
"154","c-154","15","47",0.0622841417789459
"155","c-155","15","47",0.0685290917754173
"156","c-156","15","47",0.0216854866594076
"157","c-157","15","47",0.0734417662024498
