"","cell_id","from","to","percentage"
"1","c-1","1","3",0.120658270372294
"2","c-2","1","2",0.606278675843164
"3","c-3","1","3",1
"4","c-4","5","4",1
"5","c-5","1","3",0.914054534049566
"6","c-6","1","5",0.584930815856466
"7","c-7","1","5",0.390671652431378
"8","c-8","1","2",0.47556970075768
"9","c-9","5","4",1
"10","c-10","5","4",0.100326819971002
"11","c-11","1","2",0.017814017986705
"12","c-12","1","5",0.0728181728966579
"13","c-13","1","5",0
"14","c-14","1","3",0.0582025381079982
"15","c-15","1","5",0.192322937545018
"16","c-16","1","5",0.0919346902770888
"17","c-17","1","3",0.0453657393967452
"18","c-18","1","3",0
"19","c-19","5","4",0.374351700000181
"20","c-20","1","3",0.0633755944728942
"21","c-21","1","3",0.129833993568099
"22","c-22","1","5",0.471764760697803
"23","c-23","1","5",0.0165454298097945
"24","c-24","1","5",0
"25","c-25","1","5",0.728145726680088
"26","c-26","1","3",0.0528871932632135
"27","c-27","1","5",0.0310978741704097
"28","c-28","1","5",0.300259493093286
"29","c-29","5","4",1
"30","c-30","1","5",0.249268004834598
"31","c-31","1","2",0.278475959695425
"32","c-32","1","5",0.0962770198890833
"33","c-33","5","4",0.191688643631853
"34","c-34","1","2",1
"35","c-35","1","2",0.224698580258229
"36","c-36","1","2",0.0815218411194275
"37","c-37","1","5",0.337201524297115
"38","c-38","1","2",0.043465132511383
"39","c-39","1","2",0.871779126725841
"40","c-40","1","2",0.0787157682699142
"41","c-41","5","4",1
"42","c-42","1","5",0.344714099557778
"43","c-43","1","2",0.0390026425114288
"44","c-44","1","5",0.111545591263731
"45","c-45","5","4",1
"46","c-46","1","2",0
"47","c-47","1","5",0.314918682690434
"48","c-48","1","5",0
"49","c-49","5","4",1
"50","c-50","5","4",1
"51","c-51","1","3",1
"52","c-52","1","5",0.587483394523777
"53","c-53","1","5",0.225917135183238
"54","c-54","1","5",0.211016466278364
"55","c-55","1","5",0.394985011099819
"56","c-56","5","4",0.62545447511211
"57","c-57","1","5",0.13498650987614
"58","c-58","1","3",0.190442416517789
"59","c-59","1","5",0
"60","c-60","1","5",0
"61","c-61","5","4",0.025786398466503
"62","c-62","1","2",0.0703982366039144
"63","c-63","5","4",1
"64","c-64","1","5",0.165600921202688
"65","c-65","5","4",1
"66","c-66","1","3",0.0590289639522822
"67","c-67","1","5",0.249536707555391
"68","c-68","1","3",0.0564256048864814
"69","c-69","1","5",0
"70","c-70","1","3",0.0552057536672085
"71","c-71","1","5",0
"72","c-72","1","3",0.876171001988534
"73","c-73","1","5",0.154038508776933
