"","cell_id","from","to","percentage"
"1","c-1","Y_7","Y_8",0.955820136485442
"2","c-2","Y_16","Y_18",0.311503219216667
"3","c-3","Y_7","Y_8",1
"4","c-4","Y_7","Y_8",0.90265573045291
"5","c-5","Y_7","Y_8",1
"6","c-6","Y_7","Y_8",0.831406010168912
"7","c-7","Y_7","Y_8",0.831406010168912
"8","c-8","Y_16","Y_18",0.404568972182293
"9","c-9","Y_7","Y_8",0.598435353672749
"10","c-10","Y_7","Y_8",0.598435353672749
"11","c-11","Y_7","Y_8",0.90265573045291
"12","c-12","Y_16","Y_18",0.21862859634245
"13","c-13","Y_7","Y_8",0.831406010168912
"14","c-14","Y_7","Y_8",0.831406010168912
"15","c-15","Y_7","Y_8",0.777145861448631
"16","c-16","Y_16","Y_18",0.404568972182293
"17","c-17","Y_16","Y_18",0.404568972182293
"18","c-18","Y_16","Y_18",0.404568972182293
"19","c-19","Y_7","Y_8",0.831406010168912
"20","c-20","Y_16","Y_18",0.311503219216667
"21","c-21","Y_7","Y_8",0.709970349660564
"22","c-22","Y_7","Y_8",0.650233363877032
"23","c-23","Y_7","Y_8",0.831406010168912
"24","c-24","Y_7","Y_8",0.650233363877032
"25","c-25","Y_16","Y_18",0.404568972182293
"26","c-26","Y_16","Y_18",0.404568972182293
"27","c-27","Y_7","Y_8",0.650233363877032
"28","c-28","Y_7","Y_8",0.598435353672749
"29","c-29","Y_16","Y_18",0.404568972182293
"30","c-30","Y_16","Y_18",0.21862859634245
"31","c-31","Y_16","Y_18",0.311503219216667
"32","c-32","Y_7","Y_18",1
"33","c-33","Y_7","Y_18",1
"34","c-34","Y_7","Y_8",0.598435353672749
"35","c-35","Y_16","Y_18",0.311503219216667
"36","c-36","Y_7","Y_8",0.598435353672749
"37","c-37","Y_7","Y_8",0.777145861448631
"38","c-38","Y_16","Y_18",0.404568972182293
"39","c-39","Y_7","Y_8",0.532806801118781
"40","c-40","Y_7","Y_8",0.831406010168912
"41","c-41","Y_7","Y_8",0.831406010168912
"42","c-42","Y_7","Y_8",0.777145861448631
"43","c-43","Y_16","Y_18",0.404568972182293
"44","c-44","Y_7","Y_8",0.650233363877032
"45","c-45","Y_16","Y_18",0.404568972182293
"46","c-46","Y_7","Y_8",1
"47","c-47","Y_7","Y_8",0.598435353672749
"48","c-48","Y_7","Y_8",1
"49","c-49","Y_7","Y_8",0.650233363877032
"50","c-50","Y_16","Y_18",0.404568972182293
"51","c-51","Y_7","Y_8",0.598435353672749
"52","c-52","Y_16","Y_18",0.21862859634245
"53","c-53","Y_16","Y_18",0.404568972182293
"54","c-54","Y_16","Y_18",0.404568972182293
"55","c-55","Y_7","Y_8",0.709970349660564
"56","c-56","Y_7","Y_8",0.650233363877032
"57","c-57","Y_16","Y_18",0.404568972182293
"58","c-58","Y_16","Y_18",0.877277950494284
"59","c-59","Y_7","Y_8",0.650233363877032
"60","c-60","Y_16","Y_18",0.311503219216667
"61","c-61","Y_7","Y_8",0.90265573045291
"62","c-62","Y_7","Y_8",0.360261323266641
"63","c-63","Y_16","Y_18",0.311503219216667
"64","c-64","Y_16","Y_18",0.311503219216667
"65","c-65","Y_16","Y_18",0.404568972182293
"66","c-66","Y_7","Y_8",0.650233363877032
"67","c-67","Y_7","Y_8",0.709970349660564
"68","c-68","Y_7","Y_8",0.598435353672749
"69","c-69","Y_7","Y_8",0.598435353672749
"70","c-70","Y_16","Y_18",0.710363531735454
"71","c-71","Y_7","Y_8",0.468677830304634
"72","c-72","Y_7","Y_8",0
"73","c-73","Y_7","Y_8",0.709970349660564
"74","c-74","Y_16","Y_18",0.21862859634245
"75","c-75","Y_7","Y_8",0.598435353672749
"76","c-76","Y_7","Y_8",0.468677830304634
"77","c-77","Y_16","Y_18",0.21862859634245
"78","c-78","Y_16","Y_18",0.404568972182293
"79","c-79","Y_16","Y_18",0.404568972182293
"80","c-80","Y_7","Y_8",0.709970349660564
"81","c-81","Y_16","Y_18",0.311503219216667
"82","c-82","Y_7","Y_8",0.532806801118781
"83","c-83","Y_7","Y_8",0.468677830304634
"84","c-84","Y_7","Y_8",0.709970349660564
"85","c-85","Y_7","Y_8",0.416683583774868
"86","c-86","Y_7","Y_8",0.532806801118781
"87","c-87","Y_16","Y_18",0
"88","c-88","Y_7","Y_8",0.598435353672749
"89","c-89","Y_16","Y_18",0.311503219216667
"90","c-90","Y_16","Y_18",0.404568972182293
"91","c-91","Y_16","Y_18",0.5984308728263
"92","c-92","Y_16","Y_18",0.311503219216667
"93","c-93","Y_7","Y_8",0.532806801118781
"94","c-94","Y_16","Y_18",0.311503219216667
"95","c-95","Y_7","Y_8",0.598435353672749
"96","c-96","Y_7","Y_8",0.598435353672749
"97","c-97","Y_7","Y_8",0.650233363877032
"98","c-98","Y_7","Y_8",0.709970349660564
"99","c-99","Y_7","Y_16",1
"100","c-100","Y_16","Y_18",0.311503219216667
"101","c-101","Y_7","Y_8",0.468677830304634
"102","c-102","Y_7","Y_16",0
"103","c-103","Y_7","Y_8",0.0706374532929872
"104","c-104","Y_16","Y_18",0.877277950494284
"105","c-105","Y_7","Y_8",0.468677830304634
"106","c-106","Y_7","Y_8",0.468677830304634
"107","c-107","Y_16","Y_18",0.404568972182293
"108","c-108","Y_16","Y_18",0.404568972182293
"109","c-109","Y_7","Y_8",0.709970349660564
"110","c-110","Y_7","Y_8",0.532806801118781
"111","c-111","Y_16","Y_18",0.404568972182293
"112","c-112","Y_7","Y_8",0.532806801118781
"113","c-113","Y_16","Y_18",0.5984308728263
"114","c-114","Y_7","Y_8",0.416683583774868
"115","c-115","Y_7","Y_8",0.468677830304634
"116","c-116","Y_16","Y_18",0.21862859634245
"117","c-117","Y_7","Y_8",0.777145861448631
"118","c-118","Y_7","Y_8",0.955820136485442
"119","c-119","Y_7","Y_8",0.167994963431197
"120","c-120","Y_7","Y_8",0.532806801118781
"121","c-121","Y_7","Y_8",0.532806801118781
"122","c-122","Y_16","Y_18",0.404568972182293
"123","c-123","Y_7","Y_8",0.650233363877032
"124","c-124","Y_7","Y_8",0.598435353672749
"125","c-125","Y_7","Y_8",0.468677830304634
"126","c-126","Y_7","Y_8",0.416683583774868
"127","c-127","Y_16","Y_18",0.404568972182293
"128","c-128","Y_7","Y_8",0.532806801118781
"129","c-129","Y_16","Y_18",0.5984308728263
"130","c-130","Y_16","Y_18",0.21862859634245
"131","c-131","Y_16","Y_18",0.21862859634245
"132","c-132","Y_7","Y_8",0.650233363877032
"133","c-133","Y_16","Y_18",0.311503219216667
"134","c-134","Y_7","Y_8",0.532806801118781
"135","c-135","Y_7","Y_8",0.532806801118781
"136","c-136","Y_16","Y_18",0.404568972182293
"137","c-137","Y_16","Y_18",0.404568972182293
"138","c-138","Y_16","Y_18",0.21862859634245
"139","c-139","Y_16","Y_18",0.877277950494284
"140","c-140","Y_16","Y_18",0.404568972182293
"141","c-141","Y_7","Y_8",0.468677830304634
"142","c-142","Y_16","Y_18",0.21862859634245
"143","c-143","Y_7","Y_8",0.532806801118781
"144","c-144","Y_16","Y_18",0.311503219216667
"145","c-145","Y_7","Y_8",0.239973028843128
"146","c-146","Y_16","Y_18",0.21862859634245
"147","c-147","Y_7","Y_8",0.416683583774868
"148","c-148","Y_7","Y_8",0.416683583774868
"149","c-149","Y_16","Y_18",0
"150","c-150","Y_7","Y_8",0.709970349660564
"151","c-151","Y_16","Y_18",0.404568972182293
"152","c-152","Y_16","Y_18",0.404568972182293
"153","c-153","Y_16","Y_18",0.877277950494284
"154","c-154","Y_7","Y_8",0.532806801118781
"155","c-155","Y_7","Y_8",0.532806801118781
"156","c-156","Y_16","Y_18",0.311503219216667
"157","c-157","Y_16","Y_18",0.311503219216667
"158","c-158","Y_7","Y_8",0.468677830304634
"159","c-159","Y_7","Y_8",0.360261323266641
"160","c-160","Y_16","Y_18",0.21862859634245
"161","c-161","Y_16","Y_18",0.21862859634245
"162","c-162","Y_16","Y_18",0.311503219216667
"163","c-163","Y_7","Y_8",0.709970349660564
"164","c-164","Y_7","Y_8",0.416683583774868
"165","c-165","Y_7","Y_8",0.416683583774868
"166","c-166","Y_7","Y_8",0.239973028843128
"167","c-167","Y_16","Y_18",0.877277950494284
"168","c-168","Y_7","Y_8",0.532806801118781
"169","c-169","Y_7","Y_8",0.360261323266641
"170","c-170","Y_7","Y_8",0.468677830304634
"171","c-171","Y_16","Y_18",0.877277950494284
"172","c-172","Y_7","Y_8",0.0706374532929872
"173","c-173","Y_16","Y_18",0.311503219216667
"174","c-174","Y_16","Y_18",0.404568972182293
"175","c-175","Y_16","Y_18",0
"176","c-176","Y_16","Y_18",0.311503219216667
"177","c-177","Y_16","Y_18",0.21862859634245
"178","c-178","Y_7","Y_8",0.468677830304634
"179","c-179","Y_16","Y_18",0.404568972182293
"180","c-180","Y_16","Y_18",0.404568972182293
"181","c-181","Y_7","Y_16",1
"182","c-182","Y_16","Y_18",0.21862859634245
"183","c-183","Y_7","Y_8",0.0706374532929872
"184","c-184","Y_16","Y_18",0.877277950494284
"185","c-185","Y_7","Y_8",0.167994963431197
"186","c-186","Y_7","Y_8",0.0706374532929872
"187","c-187","Y_7","Y_8",0.239973028843128
"188","c-188","Y_7","Y_8",0.301893543697208
"189","c-189","Y_16","Y_18",0
"190","c-190","Y_16","Y_18",0.21862859634245
"191","c-191","Y_7","Y_8",0.468677830304634
"192","c-192","Y_7","Y_8",1
"193","c-193","Y_16","Y_18",0.21862859634245
"194","c-194","Y_7","Y_8",0.301893543697208
"195","c-195","Y_7","Y_8",0.0706374532929872
"196","c-196","Y_7","Y_8",0.468677830304634
"197","c-197","Y_16","Y_18",0.504562131653388
"198","c-198","Y_16","Y_18",0.21862859634245
"199","c-199","Y_16","Y_18",0.404568972182293
"200","c-200","Y_7","Y_18",1
"201","c-201","Y_7","Y_8",0.360261323266641
"202","c-202","Y_16","Y_18",0.311503219216667
"203","c-203","Y_7","Y_8",0.360261323266641
"204","c-204","Y_7","Y_8",0.239973028843128
"205","c-205","Y_16","Y_18",0.877277950494284
"206","c-206","Y_7","Y_8",0.239973028843128
"207","c-207","Y_16","Y_18",0.404568972182293
"208","c-208","Y_16","Y_18",0.21862859634245
"209","c-209","Y_7","Y_16",0
"210","c-210","Y_7","Y_8",0.0706374532929872
"211","c-211","Y_7","Y_8",0.416683583774868
"212","c-212","Y_7","Y_8",0.416683583774868
"213","c-213","Y_16","Y_18",0.404568972182293
"214","c-214","Y_7","Y_8",0.532806801118781
"215","c-215","Y_16","Y_18",0.504562131653388
"216","c-216","Y_16","Y_18",0.710363531735454
"217","c-217","Y_16","Y_18",0.710363531735454
"218","c-218","Y_7","Y_8",0.360261323266641
"219","c-219","Y_16","Y_18",0.404568972182293
"220","c-220","Y_7","Y_8",0.532806801118781
"221","c-221","Y_7","Y_16",1
"222","c-222","Y_7","Y_8",0.360261323266641
"223","c-223","Y_7","Y_8",0.239973028843128
"224","c-224","Y_16","Y_18",0.877277950494284
"225","c-225","Y_16","Y_18",0.311503219216667
"226","c-226","Y_16","Y_18",0.877277950494284
"227","c-227","Y_7","Y_8",0.532806801118781
"228","c-228","Y_16","Y_18",0.311503219216667
"229","c-229","Y_16","Y_18",0.21862859634245
"230","c-230","Y_7","Y_8",0.468677830304634
"231","c-231","Y_16","Y_18",0.877277950494284
"232","c-232","Y_7","Y_8",0.468677830304634
"233","c-233","Y_16","Y_18",0.5984308728263
"234","c-234","Y_7","Y_8",0.532806801118781
"235","c-235","Y_7","Y_8",0
"236","c-236","Y_16","Y_18",0.21862859634245
"237","c-237","Y_16","Y_18",0.5984308728263
"238","c-238","Y_7","Y_8",0.360261323266641
"239","c-239","Y_7","Y_8",0.416683583774868
"240","c-240","Y_7","Y_8",0.239973028843128
"241","c-241","Y_16","Y_18",0.21862859634245
"242","c-242","Y_16","Y_18",0.21862859634245
"243","c-243","Y_7","Y_18",1
"244","c-244","Y_16","Y_18",0.404568972182293
"245","c-245","Y_7","Y_8",0.360261323266641
"246","c-246","Y_7","Y_8",0.239973028843128
"247","c-247","Y_16","Y_18",0.877277950494284
"248","c-248","Y_16","Y_18",0.877277950494284
"249","c-249","Y_7","Y_8",0
"250","c-250","Y_16","Y_18",0.104644197267119
"251","c-251","Y_16","Y_18",0.710363531735454
"252","c-252","Y_16","Y_18",0.404568972182293
"253","c-253","Y_16","Y_18",0.21862859634245
"254","c-254","Y_7","Y_8",0.239973028843128
"255","c-255","Y_16","Y_18",0.21862859634245
"256","c-256","Y_16","Y_18",0.404568972182293
"257","c-257","Y_7","Y_8",0.301893543697208
"258","c-258","Y_7","Y_8",0.360261323266641
"259","c-259","Y_7","Y_8",0.0706374532929872
"260","c-260","Y_7","Y_18",0
"261","c-261","Y_7","Y_8",0.301893543697208
"262","c-262","Y_7","Y_8",0.301893543697208
"263","c-263","Y_7","Y_8",0.360261323266641
"264","c-264","Y_16","Y_18",0.21862859634245
"265","c-265","Y_16","Y_18",0.21862859634245
"266","c-266","Y_7","Y_16",1
"267","c-267","Y_16","Y_18",0.404568972182293
"268","c-268","Y_16","Y_18",0
"269","c-269","Y_7","Y_16",1
"270","c-270","Y_7","Y_8",0.416683583774868
"271","c-271","Y_16","Y_18",0.710363531735454
"272","c-272","Y_16","Y_18",0.21862859634245
"273","c-273","Y_7","Y_8",0.167994963431197
"274","c-274","Y_16","Y_18",0.21862859634245
"275","c-275","Y_7","Y_8",0.416683583774868
"276","c-276","Y_7","Y_8",0.239973028843128
"277","c-277","Y_7","Y_8",0.301893543697208
"278","c-278","Y_7","Y_8",0.532806801118781
"279","c-279","Y_7","Y_16",0
"280","c-280","Y_7","Y_8",0.239973028843128
"281","c-281","Y_16","Y_18",0.504562131653388
"282","c-282","Y_7","Y_8",0.301893543697208
"283","c-283","Y_16","Y_18",0.710363531735454
"284","c-284","Y_7","Y_8",0.360261323266641
"285","c-285","Y_16","Y_18",0.21862859634245
"286","c-286","Y_16","Y_18",0.710363531735454
"287","c-287","Y_7","Y_8",0.360261323266641
"288","c-288","Y_7","Y_8",0.416683583774868
"289","c-289","Y_7","Y_8",0.301893543697208
"290","c-290","Y_16","Y_18",0.10464419726712
"291","c-291","Y_7","Y_16",1
"292","c-292","Y_16","Y_18",0.404568972182293
"293","c-293","Y_16","Y_18",0.21862859634245
"294","c-294","Y_7","Y_8",0.360261323266641
"295","c-295","Y_16","Y_18",0.10464419726712
"296","c-296","Y_16","Y_18",0.21862859634245
"297","c-297","Y_16","Y_18",0.21862859634245
"298","c-298","Y_16","Y_18",0.710363531735454
"299","c-299","Y_16","Y_18",0.5984308728263
