"","cell_id","from","to","percentage"
"1","c-1","1","1-muscle bodya",0.646073877811432
"2","c-2","1","1-muscle bodya",0.0824791193008423
"3","c-3","1","1-muscle bodya",1
"4","c-4","1","3",0.20020954310894
"5","c-5","1","3",1
"6","c-6","1","3",0.196933954954147
"7","c-7","1","3",0.318140417337418
"8","c-8","1","1-muscle bodya",0.0750906094908714
"9","c-9","1","1-muscle bodya",0.0643539056181908
"10","c-10","1","1-muscle bodya",0.0392524190247059
"11","c-11","1","1-muscle bodya",0.0466986633837223
"12","c-12","1","1-muscle bodya",0.0505506470799446
"13","c-13","1","3",0.412251085042953
"14","c-14","1","1-muscle bodya",0.359493225812912
"15","c-15","1","3",0.197557970881462
"16","c-16","1","1-muscle bodya",0.0683490484952927
"17","c-17","2","1",0.0881519764661789
"18","c-18","1","1-muscle bodya",0.0425516776740551
"19","c-19","1","3",0.193566396832466
"20","c-20","1","1-muscle bodya",0.0623119696974754
"21","c-21","1","3",0.150247812271118
"22","c-22","1","1-muscle bodya",0.0602249205112457
"23","c-23","1","1-muscle bodya",0.036745548248291
"24","c-24","1","3",0.0875504538416862
"25","c-25","1","1-muscle bodya",0.0616175904870033
"26","c-26","1","1-muscle bodya",0.0818169564008713
"27","c-27","1","1-muscle bodya",0.0572889298200607
"28","c-28","1","3",0.119214780628681
"29","c-29","1","1-muscle bodya",0.0595968849956989
"30","c-30","1","1-muscle bodya",0.0998585969209671
"31","c-31","1","1-muscle bodya",0.136843547224998
"32","c-32","1","1-muscle bodya",0.0395371951162815
"33","c-33","2","1",0.256910234689713
"34","c-34","1","1-muscle bodya",0.049917321652174
"35","c-35","1","1-muscle bodya",0.100529924035072
"36","c-36","1","1-muscle bodya",0.056458655744791
"37","c-37","1","1-muscle bodya",0.0720478445291519
"38","c-38","1","1-muscle bodya",0.0573687441647053
"39","c-39","1","3",0.0578158535063267
"40","c-40","1","3",0.322580903768539
"41","c-41","1","3",0.428897738456726
"42","c-42","1","3",0.308289587497711
"43","c-43","1","1-muscle bodya",0.0435628890991211
"44","c-44","1","3",0.0860495269298553
"45","c-45","1","1-muscle bodya",0.0663867965340614
"46","c-46","1","3",0.548030078411102
"47","c-47","1","1-muscle bodya",0.0292096491903067
"48","c-48","1","3",0.630977928638458
"49","c-49","1","3",0.114540070295334
"50","c-50","1","1-muscle bodya",0.0835036337375641
