"","cell_id","from","to","percentage"
"1","c-1","3","1",1
"2","c-2","4","2",1
"3","c-3","3","1",1
"4","c-4","3","1",1
"5","c-5","3","1",1
"6","c-6","3","1",1
"7","c-7","3","1",1
"8","c-8","4","2",1
"9","c-9","3","1",0.88012543744597
"10","c-10","3","1",0.173547434984867
"11","c-11","3","1",0.969954132250567
"12","c-12","4","2",0.733216752958767
"13","c-13","3","1",1
"14","c-14","3","1",1
"15","c-15","3","1",0.864503503724055
"16","c-16","4","2",1
"17","c-17","4","2",1
"18","c-18","4","2",1
"19","c-19","3","1",0.62628123443094
"20","c-20","4","2",1
"21","c-21","3","1",0.461731768082115
"22","c-22","3","1",0.373397858460468
"23","c-23","3","1",0.551592712882119
"24","c-24","3","1",0.168904691692528
"25","c-25","4","2",1
"26","c-26","4","2",1
"27","c-27","3","1",0.0908782770008068
"28","c-28","3","1",0.33340557253637
"29","c-29","4","2",1
"30","c-30","4","2",1
"31","c-31","4","2",1
"32","c-32","4","2",0.183191809213023
"33","c-33","5","4",0.681066604953999
"34","c-34","5","3",0.805171938649043
"35","c-35","4","2",1
"36","c-36","3","1",0.158367097576711
"37","c-37","3","1",0.227828708031586
"38","c-38","4","2",1
"39","c-39","3","1",0.157544630198105
"40","c-40","3","1",0.676122409676574
"41","c-41","3","1",0.837842085083057
"42","c-42","3","1",0.443564191680154
"43","c-43","4","2",1
"44","c-44","5","3",0.890375468172581
"45","c-45","4","2",1
"46","c-46","3","1",0.0106145565968628
"47","c-47","4","2",1
"48","c-48","3","1",0.0104810596971988
"49","c-49","3","1",0.369218251125373
"50","c-50","4","2",1
"51","c-51","3","1",0.159626704694054
"52","c-52","4","2",0.0683923849086629
"53","c-53","4","2",1
"54","c-54","4","2",1
"55","c-55","3","1",0.410832474814793
"56","c-56","3","1",0.075044213940275
"57","c-57","4","2",1
"58","c-58","4","2",1
"59","c-59","3","1",0.350072108450613
"60","c-60","4","2",1
"61","c-61","4","2",1
"62","c-62","5","3",0.51043046225173
"63","c-63","4","2",0.773992266472772
"64","c-64","4","2",0.740904977960157
"65","c-65","4","2",1
"66","c-66","3","1",0.0679846986706686
"67","c-67","3","1",0.366988864309378
"68","c-68","5","3",0.981508442299134
"69","c-69","4","2",1
"70","c-70","5","4",0.734172371373303
"71","c-71","3","1",0.0315379956934977
"72","c-72","5","4",0.61204213614741
"73","c-73","5","3",0.837198820618502
"74","c-74","4","2",0.173299364875131
"75","c-75","3","1",0.0997590706440911
"76","c-76","5","3",0.873698518740832
"77","c-77","4","2",0.181733427608257
"78","c-78","4","2",0.362504798162646
"79","c-79","4","2",0.864640487447408
"80","c-80","3","1",0.178138687590578
"81","c-81","4","2",0.402027088551559
"82","c-82","5","3",0.396784761999019
"83","c-83","5","3",0.421684206394294
"84","c-84","3","1",0.304957270230106
"85","c-85","5","3",0.732118209824755
"86","c-86","5","3",0.814064011207473
"87","c-87","4","2",0.256069578399509
"88","c-88","5","3",0.73512685403952
"89","c-89","4","2",1
"90","c-90","4","2",0.861319974438272
"91","c-91","4","2",1
"92","c-92","4","2",1
"93","c-93","5","3",0.930030858782444
"94","c-94","4","2",1
"95","c-95","5","3",0.731735872670826
"96","c-96","3","1",0.122720001977335
"97","c-97","3","1",0.174350196806663
"98","c-98","3","1",0.171939943564479
"99","c-99","5","4",0.199144105644615
"100","c-100","4","2",0.64878135937311
"101","c-101","5","3",0.315762415803467
"102","c-102","5","4",0.802439820852478
"103","c-103","5","4",0.447308059508456
"104","c-104","4","2",0.289701960304048
"105","c-105","5","3",0.349919214697431
"106","c-106","5","4",0.188308417717507
"107","c-107","4","2",1
"108","c-108","4","2",0.862667986219676
"109","c-109","5","3",0.913024272680904
"110","c-110","5","3",0.725380522224311
"111","c-111","4","2",1
"112","c-112","5","3",0.812172947736867
"113","c-113","4","2",0.170407251289157
"114","c-114","5","3",0
"115","c-115","5","3",0.82876099423384
"116","c-116","4","2",0.706748015364518
"117","c-117","5","3",0.95645881783423
"118","c-118","3","1",0.0140527241408923
"119","c-119","5","4",0.173829683560953
"120","c-120","5","3",0.659680683998353
"121","c-121","5","4",0.414408343570961
"122","c-122","4","2",0.89468545682928
"123","c-123","3","1",0.0882597262028573
"124","c-124","3","1",0.061943789037799
"125","c-125","5","3",0.0943745931794325
"126","c-126","5","3",0.366207773010073
"127","c-127","4","2",1
"128","c-128","3","1",0.00420430931218236
"129","c-129","4","2",0.879446315785425
"130","c-130","4","2",0.851883270756978
"131","c-131","4","2",0.258835541369662
"132","c-132","3","1",0.146172453478428
"133","c-133","4","2",0.722373275267055
"134","c-134","5","3",0.767993295446949
"135","c-135","5","3",0.94284810165825
"136","c-136","4","2",0.547577025097202
"137","c-137","4","2",0.958532995656957
"138","c-138","4","2",0.485616167476084
"139","c-139","4","2",0.88306440622064
"140","c-140","4","2",1
"141","c-141","5","3",0.626722205794495
"142","c-142","4","2",0.408627785722281
"143","c-143","5","3",0.486244592638928
"144","c-144","4","2",0.822895697343135
"145","c-145","5","3",0.215053793138026
"146","c-146","4","2",0.224516596540876
"147","c-147","5","3",0
"148","c-148","5","3",0.143163475657576
"149","c-149","5","4",0.84068600151013
"150","c-150","3","1",0.0824086678305216
"151","c-151","4","2",0.872286248766417
"152","c-152","4","2",0.642199735423179
"153","c-153","4","2",0.53826881811213
"154","c-154","5","3",0.723079396105455
"155","c-155","5","3",0.701794099291123
"156","c-156","4","2",0.933449897989573
"157","c-157","4","2",0.596967175663674
"158","c-158","5","3",0.41684116805821
"159","c-159","5","3",0.224238646129918
"160","c-160","4","2",0.580806260005189
"161","c-161","4","2",0.60683319539736
"162","c-162","4","2",1
"163","c-163","5","3",0.292465934300593
"164","c-164","5","3",0.405545260767577
"165","c-165","5","3",0.343249402048069
"166","c-166","5","3",0.272119720896889
"167","c-167","4","2",0.781078870858404
"168","c-168","5","3",0.862757469865147
"169","c-169","5","3",0.800674823599295
"170","c-170","5","4",0.16244650727721
"171","c-171","4","2",0.746255324569418
"172","c-172","5","4",0.532453587138462
"173","c-173","4","2",0.767435305785908
"174","c-174","4","2",1
"175","c-175","5","4",0.600430419653533
"176","c-176","4","2",0.557042044375115
"177","c-177","4","2",0.406248240307074
"178","c-178","5","3",0.442847333326682
"179","c-179","4","2",0.53051870847478
"180","c-180","4","2",0.265595119363769
"181","c-181","5","4",0.753157973347869
"182","c-182","4","2",0.826478502347607
"183","c-183","5","4",0.502361646673676
"184","c-184","4","2",0.0707815985254601
"185","c-185","5","4",0.158410069918025
"186","c-186","5","4",0.579593971097454
"187","c-187","5","3",0
"188","c-188","5","3",0.0530715171286216
"189","c-189","5","4",0.748514860099798
"190","c-190","5","4",0.98489512311575
"191","c-191","5","3",0
"192","c-192","5","4",0.422555873362566
"193","c-193","4","2",0.71189897818167
"194","c-194","5","3",0.454143898423285
"195","c-195","5","4",0.658806793141929
"196","c-196","5","3",0.464147497662423
"197","c-197","4","2",0.575916912862406
"198","c-198","4","2",0.59522491753966
"199","c-199","4","2",0.642640327474369
"200","c-200","5","4",0.794640591763127
"201","c-201","5","3",0.393599678231491
"202","c-202","4","2",0.477982593034853
"203","c-203","5","3",0.468557582686163
"204","c-204","5","3",0
"205","c-205","4","2",0.132813675083902
"206","c-206","5","4",0.0842835435289172
"207","c-207","4","2",0.498871076429468
"208","c-208","4","2",0.237500440533436
"209","c-209","5","4",0.649888245757491
"210","c-210","5","4",0.502868246097194
"211","c-211","5","3",0.012883653910673
"212","c-212","5","3",0
"213","c-213","4","2",0.602932110655025
"214","c-214","5","3",0.547014483646975
"215","c-215","4","2",0.213300738241555
"216","c-216","5","4",0.911306951277167
"217","c-217","4","2",0.0825261476094176
"218","c-218","5","3",0
"219","c-219","4","2",0.686082214811501
"220","c-220","5","3",0.535746034225461
"221","c-221","5","4",0.752040509839872
"222","c-222","5","3",0.35961470281329
"223","c-223","5","3",0
"224","c-224","4","2",0.305067633530043
"225","c-225","4","2",0.397961003111198
"226","c-226","4","2",0.828991025565917
"227","c-227","5","3",0.959557782352782
"228","c-228","4","2",0.512507709043755
"229","c-229","4","2",0.284227639386441
"230","c-230","5","3",0.0469307445862478
"231","c-231","4","2",0.0891813548901491
"232","c-232","5","3",0.525330018567387
"233","c-233","4","2",0.17535281479682
"234","c-234","5","3",0.216842510093436
"235","c-235","5","4",0.706084973999674
"236","c-236","4","2",0.353920902652163
"237","c-237","4","2",0.311773399586841
"238","c-238","5","3",0.338149023646101
"239","c-239","5","3",0.254204441405049
"240","c-240","5","3",0.198457712138321
"241","c-241","4","2",0.194364834007287
"242","c-242","4","2",0.184091844165138
"243","c-243","5","4",0.926386075399616
"244","c-244","4","2",0.0370143629535395
"245","c-245","5","3",0
"246","c-246","5","3",0
"247","c-247","4","2",0.403760317689486
"248","c-248","4","2",0.0920481360758848
"249","c-249","5","4",0.463402604277215
"250","c-250","4","2",0.0381202289879112
"251","c-251","4","2",0.25700992614019
"252","c-252","4","2",0.744591206481404
"253","c-253","4","2",0.187818422790907
"254","c-254","5","3",0.234411134641239
"255","c-255","5","4",0.959141992578144
"256","c-256","4","2",0.507538010604187
"257","c-257","5","3",0
"258","c-258","5","3",0.518768478304671
"259","c-259","5","4",0.44610167638736
"260","c-260","5","4",0.865276789282866
"261","c-261","5","3",0
"262","c-262","5","4",0.280486968375944
"263","c-263","5","3",0
"264","c-264","4","2",0.206319258102586
"265","c-265","4","2",0.457173421710779
"266","c-266","5","4",0.447425460733614
"267","c-267","4","2",0.554089363394077
"268","c-268","5","4",0.341626129561177
"269","c-269","4","2",0.0823553526506848
"270","c-270","5","3",0.530324541063955
"271","c-271","4","2",0.132653466851024
"272","c-272","4","2",0.404164949023709
"273","c-273","5","4",0.361521473246032
"274","c-274","4","2",0.339948453042952
"275","c-275","5","3",0.469427385693973
"276","c-276","5","3",0
"277","c-277","5","3",0
"278","c-278","5","3",0.270264341271182
"279","c-279","5","4",0.618385178384492
"280","c-280","5","4",0.324989148560312
