"","cell_id","from","to","percentage"
"1","c-7","Y_3","Y_11",0.428936890677212
"2","c-25","Y_3","Y_11",0.428936890677212
"3","c-86","Y_3","Y_11",0.393685903648138
"4","c-88","Y_3","Y_11",0.393685903648138
"5","c-130","Y_3","Y_11",0.428936890677212
"6","c-174","Y_3","Y_11",0.393685903648138
"7","c-180","Y_3","Y_11",0.393685903648138
"8","c-238","Y_3","Y_11",0.393685903648138
"9","c-289","Y_3","Y_11",0.393685903648138
"10","c-302","Y_3","Y_11",0.428936890677212
"11","c-315","Y_3","Y_11",0.428936890677212
"12","c-356","Y_3","Y_11",0.393685903648138
"13","c-363","Y_3","Y_11",0.428936890677212
"14","c-401","Y_3","Y_11",0.393685903648138
"15","c-419","Y_3","Y_11",0.393685903648138
"16","c-441","Y_3","Y_11",0.393685903648138
"17","c-512","Y_3","Y_11",0.428936890677212
"18","c-533","Y_3","Y_11",0.393685903648138
"19","c-552","Y_3","Y_11",0.428936890677212
"20","c-553","Y_3","Y_11",0.428936890677212
"21","c-556","Y_3","Y_11",0.428936890677212
"22","c-560","Y_3","Y_11",0.393685903648138
"23","c-596","Y_3","Y_11",0.428936890677212
"24","c-603","Y_3","Y_11",0.428936890677212
"25","c-609","Y_3","Y_11",0.428936890677212
"26","c-709","Y_3","Y_11",0.428936890677212
"27","c-763","Y_3","Y_11",0.393685903648138
"28","c-823","Y_3","Y_11",0.428936890677212
"29","c-844","Y_3","Y_11",0.428936890677212
"30","c-927","Y_3","Y_11",0.428936890677212
"31","c-965","Y_3","Y_11",0.428936890677212
"32","c-1037","Y_3","Y_11",0.428936890677212
"33","c-1046","Y_3","Y_11",0.428936890677212
"34","c-1100","Y_3","Y_11",0.393685903648138
"35","c-1105","Y_3","Y_11",0.428936890677212
"36","c-1117","Y_3","Y_11",0.393685903648138
"37","c-1123","Y_3","Y_11",0.393685903648138
"38","c-1145","Y_3","Y_11",0.393685903648138
"39","c-1155","Y_3","Y_11",0.428936890677212
"40","c-1165","Y_3","Y_11",0.428936890677212
"41","c-1236","Y_3","Y_11",0.428936890677212
"42","c-1282","Y_3","Y_11",0.428936890677212
"43","c-1285","Y_3","Y_11",0.393685903648138
"44","c-1311","Y_3","Y_11",0.428936890677212
"45","c-1325","Y_3","Y_11",0.428936890677212
"46","c-1330","Y_3","Y_11",0.428936890677212
"47","c-1353","Y_3","Y_11",0.393685903648138
"48","c-1364","Y_3","Y_11",0.393685903648138
"49","c-1375","Y_3","Y_11",0.428936890677212
"50","c-1404","Y_3","Y_11",0.428936890677212
"51","c-1413","Y_3","Y_11",0.393685903648138
"52","c-1438","Y_3","Y_11",0.428936890677212
"53","c-1485","Y_3","Y_11",0.428936890677212
"54","c-1487","Y_3","Y_11",0.428936890677212
"55","c-1503","Y_3","Y_11",0.428936890677212
"56","c-1521","Y_3","Y_11",0.428936890677212
"57","c-1523","Y_3","Y_11",0.428936890677212
"58","c-1546","Y_3","Y_11",0.428936890677212
"59","c-1578","Y_3","Y_11",0.428936890677212
"60","c-1582","Y_3","Y_11",0.393685903648138
"61","c-1598","Y_3","Y_11",0.428936890677212
"62","c-1636","Y_3","Y_11",0.428936890677212
"63","c-1701","Y_3","Y_11",0.428936890677212
"64","c-1704","Y_3","Y_11",0.428936890677212
"65","c-1743","Y_3","Y_11",0.428936890677212
"66","c-1751","Y_3","Y_11",0.428936890677212
"67","c-1770","Y_3","Y_11",0.393685903648138
"68","c-1810","Y_3","Y_11",0.428936890677212
"69","c-1849","Y_3","Y_11",0.428936890677212
"70","c-1904","Y_3","Y_11",0.428936890677212
"71","c-1918","Y_3","Y_11",0.428936890677212
"72","c-1965","Y_3","Y_11",0.393685903648138
"73","c-1968","Y_3","Y_11",0.428936890677212
"74","c-1990","Y_3","Y_11",0.428936890677212
"75","c-263","Y_3","Y_11",0.35799237152808
"76","c-375","Y_3","Y_11",0.35799237152808
"77","c-646","Y_3","Y_11",0.35799237152808
"78","c-810","Y_3","Y_11",0.35799237152808
"79","c-991","Y_3","Y_11",0.35799237152808
"80","c-1070","Y_3","Y_11",0.35799237152808
"81","c-1104","Y_3","Y_11",0.35799237152808
"82","c-1342","Y_3","Y_11",0.35799237152808
"83","c-1555","Y_3","Y_11",0.35799237152808
"84","c-1686","Y_3","Y_11",0.35799237152808
"85","c-1775","Y_3","Y_11",0.35799237152808
"86","c-104","Y_3","Y_11",0.845211124392304
"87","c-408","Y_3","Y_11",0.872864066927121
"88","c-455","Y_3","Y_11",0.845211124392304
"89","c-485","Y_3","Y_11",0.872864066927121
"90","c-489","Y_3","Y_11",0.845211124392304
"91","c-546","Y_3","Y_11",0.845211124392304
"92","c-582","Y_3","Y_11",0.845211124392304
"93","c-617","Y_3","Y_11",0.845211124392304
"94","c-634","Y_3","Y_11",0.845211124392304
"95","c-660","Y_3","Y_11",0.845211124392304
"96","c-719","Y_3","Y_11",0.845211124392304
"97","c-746","Y_3","Y_11",0.845211124392304
"98","c-751","Y_3","Y_11",0.872864066927121
"99","c-774","Y_3","Y_11",0.845211124392304
"100","c-812","Y_3","Y_11",0.845211124392304
"101","c-945","Y_3","Y_11",0.872864066927121
"102","c-999","Y_3","Y_11",0.845211124392304
"103","c-1038","Y_3","Y_11",0.845211124392304
"104","c-1514","Y_3","Y_11",0.845211124392304
"105","c-1537","Y_3","Y_11",0.845211124392304
"106","c-1597","Y_3","Y_11",0.845211124392304
"107","c-1633","Y_3","Y_11",0.845211124392304
"108","c-1740","Y_3","Y_11",0.845211124392304
"109","c-1771","Y_3","Y_11",0.845211124392304
"110","c-1870","Y_3","Y_11",0.845211124392304
"111","c-1931","Y_3","Y_11",0.845211124392304
"112","c-194","Y_3","Y_11",0.195080139688451
"113","c-509","Y_3","Y_11",0.195080139688451
