"","cell_id","from","to","percentage"
"1","c-1","4","3",0
"2","c-2","4","3",0.10447496175766
"3","c-3","4","3",0.0495933927595615
"4","c-4","4","3",0.0916848182678223
"5","c-5","4","3",0.323604941368103
"6","c-6","4","3",0.0829559713602066
"7","c-7","4","3",0.185107439756393
"8","c-8","4","3",0.278848439455032
"9","c-9","4","3",0.251282304525375
"10","c-10","4","3",0.0479786433279514
"11","c-11","4","3",0.199200615286827
"12","c-12","4","3",0.0768329873681068
"13","c-13","4","3",0.0438285544514656
"14","c-14","4","3",0.224379524588585
"15","c-15","4","3",0.296486228704453
"16","c-16","4","3",0.497167229652405
"17","c-17","4","3",0.259722977876663
"18","c-18","4","3",0.266732722520828
"19","c-19","4","3",0.200457632541656
"20","c-20","4","3",0.0909820348024368
"21","c-21","4","3",0.248797163367271
"22","c-22","4","3",0.179690316319466
"23","c-23","4","3",0.827702045440674
"24","c-24","4","3",0.462056189775467
"25","c-25","4","3",0.340125441551208
"26","c-26","4","3",0.0680559575557709
"27","c-27","4","3",0.393532037734985
"28","c-28","4","3",0.414662927389145
"29","c-29","4","3",0.45000809431076
"30","c-30","4","3",0.250867575407028
"31","c-31","4","3",0.205142512917519
"32","c-32","4","3",0.538614869117737
"33","c-33","4","3",0.373754262924194
"34","c-34","3","5",0
"35","c-35","3","5",0.474690765142441
"36","c-36","4","3",0.169855520129204
"37","c-37","4","3",0.483356386423111
"38","c-38","4","3",0.442263752222061
"39","c-39","6","7",0.0156470816582441
"40","c-40","4","3",0.73975670337677
"41","c-41","4","3",0.595633745193481
"42","c-42","4","3",0.547066390514374
"43","c-43","4","3",0.0806521996855736
"44","c-44","4","3",0.520000755786896
"45","c-45","4","3",0.303722083568573
"46","c-46","4","3",0.54161125421524
"47","c-47","4","3",0.496064305305481
"48","c-48","3","5",0.348343551158905
"49","c-49","4","3",0.518361151218414
"50","c-50","4","3",0.535754978656769
"51","c-51","3","5",0.55169266462326
"52","c-52","3","5",0.654915273189545
"53","c-53","3","5",0.636794447898865
"54","c-54","3","5",0.690065264701843
"55","c-55","3","5",0.23472173511982
"56","c-56","4","3",0.590341567993164
"57","c-57","3","5",0.408791899681091
"58","c-58","3","5",0.526801586151123
"59","c-59","3","5",0.377490758895874
"60","c-60","3","5",0.428514420986176
"61","c-61","3","5",0.208077758550644
"62","c-62","3","5",0.504842758178711
"63","c-63","3","5",0.524917304515839
"64","c-64","3","5",0.307738244533539
"65","c-65","3","5",0.250609338283539
"66","c-66","3","5",0.414360255002975
"67","c-67","3","5",0.354827761650085
"68","c-68","3","5",0.427994400262833
"69","c-69","3","5",0.631915271282196
"70","c-70","3","5",0.711822807788849
"71","c-71","3","5",0.483969330787659
"72","c-72","3","5",0.490315616130829
"73","c-73","3","5",0.3784319460392
"74","c-74","3","5",0.72571986913681
"75","c-75","3","5",0.724237143993378
"76","c-76","3","5",0.669985055923462
"77","c-77","3","5",0.658816874027252
"78","c-78","3","5",0.517945647239685
"79","c-79","3","5",0.698396384716034
"80","c-80","3","5",0.583721041679382
"81","c-81","3","5",0.345462143421173
"82","c-82","3","5",0.665614366531372
"83","c-83","3","5",0.626411318778992
"84","c-84","3","5",0.537910938262939
"85","c-85","3","5",0.597565591335297
"86","c-86","3","5",0.584811687469482
"87","c-87","3","5",0.664908707141876
"88","c-88","3","5",0.701571345329285
"89","c-89","3","5",0.64997661113739
"90","c-90","3","5",0.611808240413666
"91","c-91","3","5",0.730162620544434
"92","c-92","3","5",0.669225633144379
"93","c-93","3","5",0.614305734634399
"94","c-94","3","5",0.731554865837097
"95","c-95","3","5",0.651813209056854
"96","c-96","3","5",0.287288695573807
"97","c-97","3","5",0.742854535579681
"98","c-98","3","5",0.652634918689728
"99","c-99","3","5",0.740282773971558
"100","c-100","3","5",0.784435153007507
"101","c-101","4","3",0.107465572655201
"102","c-102","4","3",0.0723853632807732
"103","c-103","4","3",0.0893238037824631
"104","c-104","4","3",0.129227131605148
"105","c-105","4","3",0.170964851975441
"106","c-106","4","3",0.208402544260025
"107","c-107","4","3",0.17951200902462
"108","c-108","4","3",0.445465356111526
"109","c-109","4","3",0.190270021557808
"110","c-110","4","3",0.204238668084145
"111","c-111","4","3",0.178570762276649
"112","c-112","4","3",0.382118195295334
"113","c-113","4","3",0.248645171523094
"114","c-114","4","3",0.466206192970276
"115","c-115","4","3",0.227010950446129
"116","c-116","4","3",0.47535914182663
"117","c-117","4","3",0.0242631360888481
"118","c-118","4","3",0.165291309356689
"119","c-119","4","3",0.427029639482498
"120","c-120","4","3",0.470992058515549
"121","c-121","4","3",0.367089688777924
"122","c-122","4","3",0.493263751268387
"123","c-123","4","3",0.353618621826172
"124","c-124","4","3",0.153956770896912
"125","c-125","4","3",0.233645394444466
"126","c-126","4","3",0.417780667543411
"127","c-127","4","3",0.341105878353119
"128","c-128","4","3",0.409714668989182
"129","c-129","4","3",0.390991717576981
"130","c-130","4","3",0.254095524549484
"131","c-131","4","3",0.787787020206451
"132","c-132","4","3",0.495520949363708
"133","c-133","4","3",0.607481241226196
"134","c-134","4","3",0.785920023918152
"135","c-135","4","3",0.604174971580505
"136","c-136","4","3",0.237363010644913
"137","c-137","4","3",0.360137760639191
"138","c-138","4","3",0.242761820554733
"139","c-139","4","3",0.412817597389221
"140","c-140","4","3",0.533006608486176
"141","c-141","4","3",0.562247633934021
"142","c-142","3","5",0.387775450944901
"143","c-143","4","3",0.336134940385818
"144","c-144","4","3",0.572801351547241
"145","c-145","4","3",0.7403843998909
"146","c-146","4","3",0.700567364692688
"147","c-147","3","5",0.14861424267292
"148","c-148","4","3",0.247441321611404
"149","c-149","4","3",0.768158793449402
"150","c-150","3","5",0.401434391736984
"151","c-151","4","3",0.71506530046463
"152","c-152","3","5",0.333110272884369
"153","c-153","3","5",0.541668593883514
"154","c-154","3","5",0.603861391544342
"155","c-155","5","1",0.425369143486023
"156","c-156","4","3",0.291190594434738
"157","c-157","3","5",0.148451328277588
"158","c-158","3","5",0.34675607085228
"159","c-159","3","5",0.614615082740784
"160","c-160","3","5",0.731104910373688
"161","c-161","3","5",0.309730559587479
"162","c-162","3","5",0.2686527967453
"163","c-163","4","3",0.733813941478729
"164","c-164","3","5",0.287787795066833
"165","c-165","3","5",0.46022817492485
"166","c-166","3","5",0.808733582496643
"167","c-167","3","5",0.53558748960495
"168","c-168","3","5",0.587864458560944
"169","c-169","3","5",0.771385848522186
"170","c-170","3","5",0.691083610057831
"171","c-171","3","5",0.32911291718483
"172","c-172","3","5",0.638821065425873
"173","c-173","3","5",0.399530589580536
"174","c-174","4","3",0.418750673532486
"175","c-175","3","5",0.286077797412872
"176","c-176","3","5",0.603477954864502
"177","c-177","3","5",0.599447250366211
"178","c-178","3","5",0.374406725168228
"179","c-179","3","5",0.781124413013458
"180","c-180","3","5",0.658816337585449
"181","c-181","3","5",0.652904510498047
"182","c-182","3","5",0.553246557712555
"183","c-183","3","5",0.442769557237625
"184","c-184","3","5",0.618320882320404
"185","c-185","3","5",0.610970735549927
"186","c-186","3","5",0.543778598308563
"187","c-187","3","5",0.648623943328857
"188","c-188","3","5",0.652381420135498
"189","c-189","3","5",0.755586504936218
"190","c-190","3","5",0.641796469688416
"191","c-191","3","5",0.692999839782715
"192","c-192","3","5",0.733936190605164
"193","c-193","3","5",0.658244013786316
"194","c-194","3","5",0.667640686035156
"195","c-195","3","5",0.748601019382477
"196","c-196","3","5",0.625865995883942
"197","c-197","3","5",0.627686619758606
"198","c-198","3","5",0.668454527854919
"199","c-199","3","5",0.711493015289307
"200","c-200","3","5",0.681099653244019
"201","c-201","3","5",0.66398149728775
"202","c-202","3","5",0.730716943740845
"203","c-203","3","5",0.803283870220184
"204","c-204","3","5",0.700067400932312
"205","c-205","3","5",0.754429936408997
"206","c-206","3","5",0.642386794090271
"207","c-207","3","5",0.605973541736603
"208","c-208","3","5",0.650456190109253
"209","c-209","3","5",0.662494957447052
"210","c-210","3","5",0.403900384902954
"211","c-211","3","5",0.605340480804443
"212","c-212","3","5",0.652769923210144
"213","c-213","3","5",0.586750149726868
"214","c-214","3","5",0.606192469596863
"215","c-215","3","5",0.749296426773071
"216","c-216","3","5",0.688333451747894
"217","c-217","3","5",0.681745707988739
"218","c-218","3","5",0.744678497314453
"219","c-219","3","5",0.712067902088165
"220","c-220","3","5",0.791275203227997
"221","c-221","3","5",0.836108326911926
"222","c-222","3","5",0.69483482837677
"223","c-223","1","6",0.145005658268929
"224","c-224","3","5",0.79720675945282
"225","c-225","3","5",0.775522589683533
"226","c-226","3","5",0.732635855674744
"227","c-227","3","5",0.725364029407501
"228","c-228","3","5",0.700110971927643
"229","c-229","1","6",0.243093967437744
"230","c-230","3","5",0.575409471988678
"231","c-231","3","5",0.586445331573486
"232","c-232","3","5",0.723703861236572
"233","c-233","3","5",0.730626821517944
"234","c-234","3","5",0.809231638908386
"235","c-235","3","5",0.729218661785126
"236","c-236","6","7",0.0763165205717087
"237","c-237","3","5",0.699225604534149
"238","c-238","6","7",0.0467506423592567
"239","c-239","3","5",0.736152589321136
"240","c-240","6","7",0.0410466976463795
"241","c-241","1","6",0.0217178035527468
"242","c-242","1","6",0.223245605826378
"243","c-243","6","7",0.242205172777176
"244","c-244","6","7",0.044611718505621
"245","c-245","6","7",0.214481234550476
"246","c-246","3","5",0.824573636054993
"247","c-247","6","7",0.0939971506595612
"248","c-248","6","7",0.0686366409063339
"249","c-249","3","5",0.693995535373688
"250","c-250","6","7",0.161651968955994
"251","c-251","6","7",0.099908210337162
"252","c-252","6","7",0.126569733023643
"253","c-253","6","7",0.120047718286514
"254","c-254","6","7",0.0659085214138031
"255","c-255","6","7",0.145574539899826
"256","c-256","6","7",0.247197359800339
"257","c-257","6","7",0.112634941935539
"258","c-258","6","7",0.0723659619688988
"259","c-259","1","6",0.4432313144207
"260","c-260","6","7",0.208625093102455
"261","c-261","1","6",0.0838400200009346
"262","c-262","6","7",0.0161166526377201
"263","c-263","6","7",0.242873445153236
"264","c-264","6","7",0.31769734621048
"265","c-265","6","7",0.530208826065063
"266","c-266","3","5",0.891730129718781
"267","c-267","6","7",0.254163086414337
"268","c-268","6","7",0.0707555413246155
"269","c-269","7","9",0.489712029695511
"270","c-270","6","7",0.270602822303772
"271","c-271","6","7",0.219070196151733
"272","c-272","6","7",0.568808913230896
"273","c-273","6","7",0.430276930332184
"274","c-274","6","7",0.193948984146118
"275","c-275","6","7",0.450019598007202
"276","c-276","6","7",0.30276358127594
"277","c-277","6","7",0.739477336406708
"278","c-278","6","7",0.405965954065323
"279","c-279","6","7",0.176797226071358
"280","c-280","6","7",0.178434073925018
"281","c-281","6","7",0.283084183931351
"282","c-282","6","7",0.196952044963837
"283","c-283","6","7",0.26580935716629
"284","c-284","7","9",0.801389217376709
"285","c-285","6","7",0.429498434066772
"286","c-286","6","7",0.151977956295013
"287","c-287","6","7",0.709332525730133
"288","c-288","6","7",0.185553818941116
"289","c-289","6","7",0.343398451805115
"290","c-290","6","7",0.765813291072845
"291","c-291","7","9",0.789846062660217
"292","c-292","6","7",0.341642171144485
"293","c-293","7","9",0.865066111087799
"294","c-294","6","7",0.282625138759613
"295","c-295","7","9",0.799162983894348
"296","c-296","6","7",0.629862010478973
"297","c-297","6","7",0.720032095909119
"298","c-298","6","7",0.343987643718719
"299","c-299","7","9",0.740751922130585
"300","c-300","7","9",0.790526151657104
"301","c-301","7","9",0.577820360660553
"302","c-302","7","9",0.964265286922455
"303","c-303","7","9",0.866174757480621
"304","c-304","6","7",0.12658354640007
"305","c-305","7","9",0.785437405109406
"306","c-306","7","9",0.604589641094208
"307","c-307","7","9",0.85542368888855
"308","c-308","7","9",0.969824135303497
"309","c-309","7","9",0.481544852256775
"310","c-310","7","9",0.60806405544281
"311","c-311","6","7",0.368699043989182
"312","c-312","6","7",0.771160960197449
"313","c-313","6","7",0.518745601177216
"314","c-314","6","7",0.237311705946922
"315","c-315","7","9",0.635005593299866
"316","c-316","6","7",0.900992512702942
"317","c-317","6","7",0.151151031255722
"318","c-318","7","9",0.611380994319916
"319","c-319","6","7",0.444841533899307
"320","c-320","6","7",0.312277019023895
"321","c-321","6","7",0.645822286605835
"322","c-322","6","7",0.256765246391296
"323","c-323","6","7",0.164547279477119
"324","c-324","7","9",0.560034394264221
"325","c-325","6","7",0.38060587644577
"326","c-326","6","7",0.334052115678787
"327","c-327","7","9",0.52466881275177
"328","c-328","6","7",0.115889109671116
"329","c-329","6","7",0.187348261475563
"330","c-330","6","7",0.223227724432945
