"","cell_id","from","to","percentage"
"1","c-1","1","2",0
"2","c-2","1","2",0
"3","c-3","1","2",0
"4","c-4","1","2",0
"5","c-5","1","2",0.0516706427923345
"6","c-6","1","2",0
"7","c-7","1","2",0
"8","c-8","1","2",0
"9","c-9","1","2",0
"10","c-10","1","2",0
"11","c-11","1","2",0.0599750940556715
"12","c-12","1","2",0
"13","c-13","1","2",0
"14","c-14","1","2",0.211149003027779
"15","c-15","1","2",0.272921065663543
"16","c-16","1","2",0.128656217850848
"17","c-17","1","2",0
"18","c-18","1","2",0
"19","c-19","1","2",0.168820943215315
"20","c-20","1","2",0.01459472746833
"21","c-21","1","2",0
"22","c-22","1","2",0.124648090660818
"23","c-23","1","2",0.621436142087388
"24","c-24","1","2",0.349222009700617
"25","c-25","1","2",0.204904587305195
"26","c-26","1","2",0
"27","c-27","1","2",0.247931593143452
"28","c-28","1","2",0.272446667730799
"29","c-29","1","2",0.306773258521649
"30","c-30","1","2",0.201742429632812
"31","c-31","1","2",0.0841374167347674
"32","c-32","1","2",0.427229018069119
"33","c-33","1","2",0.125543256251615
"34","c-34","1","2",0.48818771374127
"35","c-35","1","2",0.59643561296683
"36","c-36","1","2",0.0845953639924176
"37","c-37","1","2",0.401456961251408
"38","c-38","1","2",0.156147790694489
"39","c-39","2","4",0.368125809679324
"40","c-40","1","2",0.570290516569519
"41","c-41","1","2",0.49589250030312
"42","c-42","1","2",0.36338795232082
"43","c-43","1","2",0.112685176481988
"44","c-44","1","2",0.362292589464245
"45","c-45","1","2",0.403391427395635
"46","c-46","1","2",0.383687414805373
"47","c-47","1","2",0.411081358551028
"48","c-48","1","2",0.747291143577965
"49","c-49","1","2",0.52910801657607
"50","c-50","1","2",0.377786651938955
"51","c-51","1","2",0.845612472081042
"52","c-52","1","2",0.899011915418084
"53","c-53","1","2",0.81563129195068
"54","c-54","1","2",0.927129562739107
"55","c-55","1","2",0.783416728443254
"56","c-56","1","2",0.516260704541731
"57","c-57","1","2",0.800621299197341
"58","c-58","1","2",0.701915626753893
"59","c-59","1","2",0.715779359133398
"60","c-60","1","2",0.761793630561171
"61","c-61","1","2",0.78689217235081
"62","c-62","1","2",0.692355610128173
"63","c-63","1","2",0.915225566603863
"64","c-64","1","2",0.779861733857504
"65","c-65","1","2",0.695868095513023
"66","c-66","1","2",0.819529234231802
"67","c-67","1","2",0.828482337840253
"68","c-68","1","2",0.83263643567311
"69","c-69","2","3",0.0444608998119451
"70","c-70","2","3",0.307203685338561
"71","c-71","1","2",0.940514543268179
"72","c-72","1","2",0.696434430800532
"73","c-73","1","2",0.770008435236004
"74","c-74","2","3",0.271323645424464
"75","c-75","2","3",0.484492573987866
"76","c-76","2","4",0.0319025982959704
"77","c-77","1","2",0.957797058545052
"78","c-78","1","2",0.957917552056125
"79","c-79","2","3",0.181066344865552
"80","c-80","1","2",0.867181962921814
"81","c-81","1","2",0.827300985240794
"82","c-82","2","4",0.0506958741003349
"83","c-83","1","2",0.915636274617186
"84","c-84","1","2",0.866276714584542
"85","c-85","1","2",0.94667447264295
"86","c-86","1","2",0.959839674050176
"87","c-87","2","3",0.112144282201867
"88","c-88","1","2",0.938006177487125
"89","c-89","1","2",0.94884075520858
"90","c-90","1","2",0.984637109804876
"91","c-91","2","3",0.338628091696149
"92","c-92","1","2",0.988081400822535
"93","c-93","1","2",0.98583559579617
"94","c-94","2","3",0.181098466810498
"95","c-95","2","3",0.0399637074428939
"96","c-96","1","2",0.770661120342515
"97","c-97","2","3",0.371552024169332
"98","c-98","2","3",0.135649249371453
"99","c-99","2","3",0.143992896248197
"100","c-100","2","3",0.505007449940389
"101","c-101","1","2",0
"102","c-102","1","2",0
"103","c-103","1","2",0
"104","c-104","1","2",0
"105","c-105","1","2",0
"106","c-106","1","2",0.010346859376222
"107","c-107","1","2",0
"108","c-108","1","2",0.269826663483242
"109","c-109","1","2",0
"110","c-110","1","2",0
"111","c-111","1","2",0.159743882334661
"112","c-112","1","2",0.191033367437686
"113","c-113","1","2",0
"114","c-114","1","2",0.0488687785490543
"115","c-115","1","2",0.0214082255358914
"116","c-116","1","2",0.200106927465277
"117","c-117","1","2",0
"118","c-118","1","2",0.264081435244305
"119","c-119","1","2",0.0343564822641725
"120","c-120","1","2",0.278137892177634
"121","c-121","1","2",0.265515667986056
"122","c-122","1","2",0.401654181278338
"123","c-123","1","2",0.124941573551837
"124","c-124","1","2",0.166771962552515
"125","c-125","1","2",0.0195977118375546
"126","c-126","1","2",0.253596164405369
"127","c-127","1","2",0.236764711494333
"128","c-128","1","2",0.349364946631128
"129","c-129","1","2",0.432331736082758
"130","c-130","1","2",0.230307867957698
"131","c-131","1","2",0.550773478572991
"132","c-132","1","2",0.411740667462535
"133","c-133","1","2",0.4749581873934
"134","c-134","1","2",0.604945449901135
"135","c-135","1","2",0.456246887780342
"136","c-136","1","2",0.188383967477761
"137","c-137","1","2",0.309907787008278
"138","c-138","1","2",0.203698023101304
"139","c-139","1","2",0.384744744821703
"140","c-140","1","2",0.376490651959348
"141","c-141","1","2",0.442192717692711
"142","c-142","1","2",0.78120189028703
"143","c-143","1","2",0.448382206271425
"144","c-144","1","2",0.405202906621194
"145","c-145","1","2",0.537677408077306
"146","c-146","1","2",0.569236579023668
"147","c-147","1","2",0.606350008110908
"148","c-148","1","2",0.0742715896796735
"149","c-149","1","2",0.488358674927212
"150","c-150","1","2",0.67536788368431
"151","c-151","1","2",0.501464260408235
"152","c-152","1","2",0.704861342572524
"153","c-153","1","2",0.843837516533639
"154","c-154","1","2",0.864014749277028
"155","c-155","2","3",0.56418369470382
"156","c-156","1","2",0.211118780373271
"157","c-157","1","2",0.712649854998266
"158","c-158","1","2",0.60850902277284
"159","c-159","2","3",0.0243749283609865
"160","c-160","2","3",0.063378606451504
"161","c-161","1","2",0.732686783561097
"162","c-162","1","2",0.580933643626769
"163","c-163","1","2",0.587756220368656
"164","c-164","1","2",0.612317061102702
"165","c-165","1","2",0.779605679191269
"166","c-166","2","3",0.224107479579619
"167","c-167","1","2",0.733163531540709
"168","c-168","1","2",0.905264804150716
"169","c-169","1","2",0.840225747887487
"170","c-170","1","2",0.955204355307205
"171","c-171","1","2",0.820135566051389
"172","c-172","2","3",0.0670628468313921
"173","c-173","1","2",0.885259157246866
"174","c-174","1","2",0.51362228711112
"175","c-175","1","2",0.653875770475141
"176","c-176","1","2",0.891426638272536
"177","c-177","1","2",0.815220071798094
"178","c-178","1","2",0.659390845626536
"179","c-179","2","4",0.240622922471412
